,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
61,Dennis A. Muilenburg,Aerospace & Defense,Aerospace and Defense,"Chicago, IL",http://www.boeing.com,23,"150,540",Boeing,2017
62,Timothy J. Sloan,Financials,Banks: Commercial and Savings,"San Francisco, CA",http://www.wellsfargo.com,20,"269,100",Wells Fargo,2017
63,Brian T. Moynihan,Financials,Banks: Commercial and Savings,"Charlotte, NC",http://www.bankofamerica.com,23,"208,024",Bank of America Corp.,2017
64,Alexey B. Miller,Energy,Energy,"Moscow, Russia",http://www.gazprom.com,21,"467,400",Gazprom,2017
65,Ulf Mark Schneider,"Food, Beverages & Tobacco",Food Consumer Products,"Vevey, Switzerland",http://www.nestle.com,23,"328,000",Nestle,2017
66,Larry Page,Technology,Internet Services and Retailing,"Mountain View, CA",http://www.abc.xyz,9,"72,053",Alphabet,2017
67,Josef Kaeser,Industrials,Industrial Machinery,"Munich, Germany",http://www.siemens.com,23,"351,000",Siemens,2017
68,Georges Plassat,Food & Drug Stores,Food and Drug Stores,"Boulogne-Billancourt, France",http://www.carrefour.com,23,"384,151",Carrefour,2017
69,Li Shaozhu,Motor Vehicles & Parts,Motor Vehicles and Parts,"Wuhan, China",http://www.dfmc.com.cn,8,"189,795",Dongfeng Motor,2017
70,Satya Nadella,Technology,Computer Software,"Redmond, WA",http://www.microsoft.com,20,"114,000",Microsoft,2017
71,Joseph R. Swedish,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",http://www.antheminc.com,16,"53,000",Anthem,2017
72,Toshiaki Higashihara,Technology,"Electronics, Electrical Equip.","Tokyo, Japan",http://www.hitachi.com,23,"303,887",Hitachi,2017
73,Masayoshi Son,Telecommunications,Telecommunications,"Tokyo, Japan",http://www.softbank.jp,10,"68,402",SoftBank Group,2017
74,Jose Antonio Alvarez,Financials,Banks: Commercial and Savings,"Madrid, Spain",http://www.santander.com,23,"185,606",Banco Santander,2017
75,Michael L. Corbat,Financials,Banks: Commercial and Savings,"New York, NY",http://www.citigroup.com,23,"219,000",Citigroup,2017
76,Pedro Pullen Parente,Energy,Petroleum Refining,"Rio de Janeiro, Brazil",http://www.petrobras.com.br,23,"68,829",Petrobras,2017
77,Volkmar Denner,Motor Vehicles & Parts,Motor Vehicles and Parts,"Stuttgart, Germany",http://www.bosch.com,23,"389,281",Robert Bosch,2017
78,Timotheus Hottges,Telecommunications,Telecommunications,"Bonn, Germany",http://www.telekom.com,23,"221,000",Deutsche Telekom,2017
79,Mong-Koo Chung,Motor Vehicles & Parts,Motor Vehicles and Parts,"Seoul, South Korea",http://worldwide.hyundai.com,22,"129,315",Hyundai Motor,2017
80,Brian L. Roberts,Telecommunications,Telecommunications,"Philadelphia, PA",http://www.comcastcorporation.com,15,"159,000",Comcast,2017
81,Philippe Brassac,Financials,Banks: Commercial and Savings,"Paris, France",http://www.credit-agricole.com,23,"70,830",Credit Agricole,2017
82,Virginia M. Rometty,Technology,Information Technology Services,"Armonk, NY",http://www.ibm.com,23,"414,400",IBM,2017
83,Jean-Bernard Levy,Energy,Utilities,"Paris, France",http://www.edf.fr,23,"154,808",Electricite de France,2017
84,Ren Zhengfei,Technology,Network and Other Communications Equipment,"Shenzhen, China",http://www.huawei.com,8,"180,000",Huawei Investment & Holding,2017
85,Francesco Starace,Energy,Utilities,"Rome, Italy",http://www.enel.com,23,"62,080",Enel,2017
86,Michael L. Tipsord,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",http://www.statefarm.com,23,"68,234",State Farm Insurance Cos.,2017
87,Luo Xi,Health Care,Pharmaceuticals,"Hong Kong, China",http://www.crc.com.hk,8,"420,572",China Resources National,2017
88,Motoya Okada,Retailing,General Merchandisers,"Chiba, Japan",http://www.aeon.info,23,"274,760",AEON,2017
89,Stuart T. Gulliver,Financials,Banks: Commercial and Savings,"London, Britain",http://www.hsbc.com,23,"241,000",HSBC Holdings,2017
90,Yan Hao,Engineering & Construction,"Engineering, Construction","Nanjing, China",http://www.cpcg.com.cn,4,"362,128",Pacific Construction Group,2017
91,Mark Wilson,Financials,"Insurance: Life, Health (stock)","London, Britain",http://www.aviva.com,23,"29,530",Aviva,2017
