,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
199,Richard J.B. Goyder,Food & Drug Stores,Food and Drug Stores,"Perth, Australia",http://www.wesfarmers.com.au,9,"220,000",Wesfarmers,2017
200,She Lulin,Health Care,Pharmaceuticals,"Beijing, China",http://www.sinopharm.com,5,"106,772",Sinopharm,2017
201,Frederic Lavenir,Financials,"Insurance: Life, Health (stock)","Paris, France",http://www.cnp.fr,23,"5,035",CNP Assurances,2017
202,Seong-Jin Jo,Technology,"Electronics, Electrical Equip.","Seoul, South Korea",http://www.lg.com,17,"75,000",LG Electronics,2017
203,Takeshi Kunibe,Financials,Banks: Commercial and Savings,"Tokyo, Japan",http://www.smfg.co.jp,23,"77,205",Sumitomo Mitsui Financial Group,2017
204,Mukesh D. Ambani,Energy,Petroleum Refining,"Mumbai, India",http://www.ril.com,14,"140,483",Reliance Industries,2017
205,Ma Guoqiang,Materials,Metals,"Shanghai, China",http://www.baowugroup.com,14,"169,344",China Baowu Steel Group,2017
206,William J. Randall,Wholesalers,Trading,"Hong Kong, China",http://www.thisisnoble.com,10,"1,000",Noble Group,2017
207,Carlos Brito,"Food, Beverages & Tobacco",Beverages,"Leuven, Belgium",http://www.ab-inbev.com,12,"206,633",Anheuser-Busch InBev,2017
208,Eldar Saetre,Energy,Petroleum Refining,"Stavanger, Norway",http://www.statoil.com,23,"20,539",Statoil,2017
209,Oh-Joon Kwon,Materials,Metals,"Seoul, South Korea",http://www.posco.com,23,"31,768",POSCO,2017
210,Hyoung-Keun Lee,Motor Vehicles & Parts,Motor Vehicles and Parts,"Seoul, South Korea",http://www.kia.com,6,"51,357",Kia Motors,2017
211,Stephane Richard,Telecommunications,Telecommunications,"Paris, France",http://www.orange.com,23,"155,202",Orange,2017
212,Ren Jianxin,Chemicals,Chemicals,"Beijing, China",http://www.chemchina.com,7,"110,614",ChemChina,2017
213,Richard Lutz,Transportation,Railroads,"Berlin, Germany",http://www.deutschebahn.com,23,"306,368",Deutsche Bahn,2017
214,Elmar Degenhart,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hanover, Germany",http://www.continental-corporation.com,15,"220,137",Continental,2017
215,R. Milton Johnson,Health Care,Health Care: Medical Facilities,"Nashville, TN",http://www.hcahealthcare.com,23,"210,500",HCA Holdings,2017
216,Masahiro Okafuji,Wholesalers,Trading,"Osaka, Japan",http://www.itochu.co.jp,23,"110,207",Itochu,2017
217,Tian Huiyu,Financials,Banks: Commercial and Savings,"Shenzhen, China",http://www.cmbchina.com,6,"70,461",China Merchants Bank,2017
218,Arundhati Bhattacharya,Financials,Banks: Commercial and Savings,"Mumbai, India",http://www.sbi.co.in,12,"278,872",State Bank of India,2017
219,Brad Banducci,Food & Drug Stores,Food and Drug Stores,"Bella Vista, Australia",http://www.woolworthslimited.com.au,21,"205,000",Woolworths,2017
220,Takashi Tanaka,Telecommunications,Telecommunications,"Tokyo, Japan",http://www.kddi.com,20,"35,032",KDDI,2017
221,Christian Mumenthaler,Financials,Insurance: Property and Casualty (Stock),"Zurich, Switzerland",http://www.swissre.com,23,"14,053",Swiss Re,2017
222,Yu Yong,Materials,Metals,"Shijiazhuang, China",http://www.hbisco.com,9,"125,552",HBIS Group,2017
223,Chan Chauto,Energy,Energy,"Shanghai, China",http://www.cefc.co,4,"29,637",CEFC China Energy,2017
224,Carlos Torres Vila,Financials,Banks: Commercial and Savings,"Bilbao, Spain",http://www.bbva.com,23,"134,792",Banco Bilbao Vizcaya Argentaria,2017
225,Heinrich Hiesinger,Materials,Metals,"Essen, Germany",http://www.thyssenkrupp.com,23,"156,487",ThyssenKrupp,2017
226,Pierre-Andre de Chalendar,Materials,"Building Materials, Glass","Courbevoie, France",http://www.saint-gobain.com,23,"172,696",Saint-Gobain,2017
227,Yang Yuanqing,Technology,"Computers, Office Equipment","Hong Kong, China",http://www.lenovo.com,8,"52,000",Lenovo Group,2017
228,Xavier Huillard,Engineering & Construction,"Engineering, Construction","Rueil-Malmaison, France",http://www.vinci.com,17,"183,487",Vinci,2017
229,Kosei Shindo,Materials,Metals,"Tokyo, Japan",http://www.nssmc.com,23,"100,169",Nippon Steel & Sumitomo Metal,2017
230,Soren W. Schroder,"Food, Beverages & Tobacco",Food Production,"White Plains, NY",http://www.bunge.com,15,"32,000",Bunge,2017
231,Tao Yiping,Financials,Banks: Commercial and Savings,"Fuzhou, China",http://www.cib.com.cn,5,"56,236",Industrial Bank,2017
232,Johannes Teyssen,Energy,Energy,"Essen, Germany",http://www.eon.com,23,"43,138",E.ON,2017
233,Herman O. Gref,Financials,Banks: Commercial and Savings,"Moscow, Russia",http://www.sberbank.ru,10,"325,075",Sberbank,2017
234,Hu Wenming,Industrials,Industrial Machinery,"Beijing, China",http://www.csic.com.cn,7,"182,129",China Shipbuilding Industry,2017
235,Sidney Toledano,Apparel,Apparel,"Paris, France",http://www.dior-finance.com,17,"120,479",Christian Dior,2017
236,James B. Quincey,"Food, Beverages & Tobacco",Beverages,"Atlanta, GA",http://www.coca-colacompany.com,23,"100,300",Coca-Cola,2017
237,Koji Arima,Motor Vehicles & Parts,Motor Vehicles and Parts,"Kariya, Japan",http://www.denso.com,23,"154,493",Denso,2017
238,Tatsuya Tanaka,Technology,Information Technology Services,"Tokyo, Japan",http://www.fujitsu.com,23,"155,069",Fujitsu,2017
239,Zeng Qinghong,Motor Vehicles & Parts,Motor Vehicles and Parts,"Guangzhou, China",http://www.gagc.com.cn,5,"75,908",Guangzhou Automobile Industry Group,2017
240,Kuok Khoon Hong,"Food, Beverages & Tobacco",Food Production,Singapore,http://www.wilmar-international.com,9,"90,000",Wilmar International,2017
241,Olivier Brandicourt,Health Care,Pharmaceuticals,"Paris, France",http://www.sanofi.com,13,"113,816",Sanofi,2017
242,Wang Xiaochu,Telecommunications,Telecommunications,"Beijing, China",http://www.chinaunicom-a.com,9,"253,724",China United Network Communications,2017
243,Masahiro Hashimoto,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan",http://www.sumitomolife.co.jp,23,"42,245",Sumitomo Life Insurance,2017
244,Theodore A. Mathas,Financials,"Insurance: Life, Health (Mutual)","New York, NY",http://www.newyorklife.com,23,"11,320",New York Life Insurance,2017
245,Michael F. Neidorff,Health Care,Health Care: Insurance and Managed Care,"St. Louis, MO",http://www.centene.com,2,"30,500",Centene,2017
246,Gao Guofu,Financials,Banks: Commercial and Savings,"Shanghai, China",http://www.spdb.com.cn,5,"52,832",Shanghai Pudong Development Bank,2017
247,Tae-Jong Lee,Financials,"Insurance: Life, Health (stock)","Seoul, South Korea",http://www.hanwhacorp.co.kr,12,"49,000",Hanwha,2017
248,Guenter Butschek,Motor Vehicles & Parts,Motor Vehicles and Parts,"Mumbai, India",http://www.tatamotors.com,8,"79,558",Tata Motors,2017
249,Yu Dehui,Materials,Metals,"Beijing, China",http://www.chalco.com.cn,10,"121,146",Aluminum Corp. of China,2017
250,Tatsuo Yasunaga,Wholesalers,Trading,"Tokyo, Japan",http://www.mitsui.com,23,"42,316",Mitsui,2017
251,Donald A. Guloien,Financials,"Insurance: Life, Health (stock)","Toronto, Ontario, Canada",http://www.manulife.com,15,"34,500",Manulife Financial,2017
252,Zheng Wanchun,Financials,Banks: Commercial and Savings,"Beijing, China",http://www.cmbc.com.cn,5,"58,720",China Minsheng Banking,2017
253,Huo Lianhong,Financials,"Insurance: Life, Health (stock)","Shanghai, China",http://www.cpic.com.cn,7,"97,032",China Pacific Insurance (Group),2017
254,W. Douglas Parker,Transportation,Airlines,"Fort Worth, TX",http://www.aa.com,23,"122,300",American Airlines Group,2017
255,Stephen S. Rasmussen,Financials,Insurance: Property and Casualty (Mutual),"Columbus, OH",http://www.nationwide.com,23,"34,320",Nationwide,2017
256,Kenneth C. Frazier,Health Care,Pharmaceuticals,"Kenilworth, NJ",http://www.merck.com,23,"68,000",Merck,2017
257,David M. Cordani,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, CT",http://www.cigna.com,22,"41,000",Cigna,2017
258,Edward H. Bastian,Transportation,Airlines,"Atlanta, GA",http://www.delta.com,23,"83,756",Delta Air Lines,2017
259,Hubert B. Joly,Retailing,Specialty Retailers,"Richfield, MN",http://www.bestbuy.com,19,"125,000",Best Buy,2017
260,Song Zhiping,Materials,"Building Materials, Glass","Beijing, China",http://www.cnbm.com.cn,7,"228,448",China National Building Material Group,2017
261,Darius Adamczyk,Technology,"Electronics, Electrical Equip.","Morris Plains, NJ",http://www.honeywell.com,23,"131,000",Honeywell International,2017
262,Richard Qiangdong Liu,Technology,Internet Services and Retailing,"Beijing, China",http://www.jd.com,2,"120,622",JD.com,2017
263,Masaki Sakuyama,Technology,"Electronics, Electrical Equip.","Tokyo, Japan",http://www.mitsubishielectric.com,23,"138,700",Mitsubishi Electric,2017
264,Stefan Sommer,Motor Vehicles & Parts,Motor Vehicles and Parts,"Friedrichshafen, Germany",http://www.zf.com,4,"136,820",ZF Friedrichshafen,2017
265,D. James Umpleby III,Industrials,Construction and Farm Machinery,"Peoria, IL",http://www.caterpillar.com,23,"95,400",Caterpillar,2017
266,David H. Long,Financials,Insurance: Property and Casualty (Stock),"Boston, MA",http://www.libertymutual.com,23,"50,000",Liberty Mutual Insurance Group,2017
267,Paul Desmarais Jr.,Financials,"Insurance: Life, Health (stock)","Montreal, Quebec, Canada",http://www.powercorporation.com,19,"30,259",Power Corp. of Canada,2017
268,James P. Gorman,Financials,Banks: Commercial and Savings,"New York, NY",http://www.morganstanley.com,20,"55,311",Morgan Stanley,2017
269,Chen Jianhua,Industrials,Textiles,"Suzhou City, China",http://www.hengli.com,1,"61,400",Hengli Group,2017
270,Alistair Phillips-Davies,Energy,Utilities,"Perth, Britain",http://www.sse.com,12,"21,157",SSE,2017
271,Roger W. Crandall,Financials,"Insurance: Life, Health (Mutual)","Springfield, MA",http://www.massmutual.com,21,"11,737",Massachusetts Mutual Life Insurance,2017
272,Lloyd C. Blankfein,Financials,Banks: Commercial and Savings,"New York, NY",http://www.gs.com,18,"34,400",Goldman Sachs Group,2017
273,Alex A. Molinaroli,Industrials,Industrial Machinery,"Cork, Ireland",http://www.johnsoncontrols.com,13,"209,000",Johnson Controls International,2017
274,Emma N. Walmsley,Health Care,Pharmaceuticals,"Brentford, Britain",http://www.gsk.com,23,"99,300",GlaxoSmithKline,2017
275,Cao Peixi,Energy,Energy,"Beijing, China",http://www.chng.com.cn,9,"143,691",China Huaneng Group,2017
276,John W. McReynolds,Energy,Pipelines,"Dallas, TX",http://www.energytransfer.com,4,"30,992",Energy Transfer Equity,2017
277,Ling Wen,Energy,"Mining, Crude-Oil Production","Beijing, China",http://www.shenhuagroup.com.cn,8,"202,200",Shenhua Group,2017
278,Zhang Yuliang,Financials,Real estate,"Shanghai, China",http://www.ldjt.com.cn,6,"39,887",Greenland Holding Group,2017
279,Roger W. Ferguson Jr.,Financials,"Insurance: Life, Health (Mutual)","New York, NY",http://www.tiaa.org,20,"12,997",TIAA,2017
280,Ben Keswick,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hong Kong, China",http://www.jardines.com,18,"430,000",Jardine Matheson,2017
281,Safra A. Catz,Technology,Computer Software,"Redwood City, CA",http://www.oracle.com,11,"136,000",Oracle,2017
282,Florentino Perez Rodriguez,Engineering & Construction,"Engineering, Construction","Madrid, Spain",http://www.grupoacs.com,13,"117,542",ACS,2017
283,Kuniharu Nakamura,Wholesalers,Trading,"Tokyo, Japan",http://www.sumitomocorp.co.jp,23,"70,900",Sumitomo,2017
284,Thomas P. Hayes,"Food, Beverages & Tobacco",Food Production,"Springdale, AR",http://www.tysonfoods.com,16,"114,000",Tyson Foods,2017
285,James E. Staley,Financials,Banks: Commercial and Savings,"London, Britain",http://www.barclays.com,23,"119,300",Barclays,2017
286,Matteo Del Fante,Financials,"Insurance: Life, Health (stock)","Rome, Italy",http://www.posteitaliane.it,12,"136,739",Poste Italiane,2017
287,Iain C. Conn,Energy,Utilities,"Windsor, Britain",http://www.centrica.com,20,"38,278",Centrica,2017
288,Oscar Munoz,Transportation,Airlines,"Chicago, IL",http://www.unitedcontinentalholdings.com,22,"88,000",United Continental Holdings,2017
289,Thomas J. Wilson,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",http://www.allstate.com,22,"43,275",Allstate,2017
290,Elia Massa Manik,Energy,Petroleum Refining,"Jakarta, Indonesia",http://www.pertamina.com,5,"27,227",Pertamina,2017
291,Donald J. Walker,Motor Vehicles & Parts,Motor Vehicles and Parts,"Aurora, Ontario, Canada",http://www.magna.com,17,"155,450",Magna International,2017
292,Sergio P. Ermotti,Financials,Banks: Commercial and Savings,"Zurich, Switzerland",http://www.ubs.com,23,"59,387",UBS Group,2017
293,Carlo Messina,Financials,Banks: Commercial and Savings,"Turin, Italy",http://www.group.intesasanpaolo.com,19,"89,126",Intesa Sanpaolo,2017
294,Galen G. Weston,Food & Drug Stores,Food and Drug Stores,"Toronto, Ontario, Canada",http://www.weston.ca,23,"195,000",George Weston,2017
295,Shunichi Miyanaga,Industrials,Industrial Machinery,"Tokyo, Japan",http://www.mhi.com,23,"82,728",Mitsubishi Heavy Industries,2017
296,Rajesh J. Mehta,Wholesalers,Trading,"Bengaluru, India",http://www.rajeshindia.com,2,328,Rajesh Exports,2017
297,Syh-Jang Liao,Technology,"Computers, Office Equipment","Taipei, Taiwan",http://www.pegatroncorp.com,5,"196,251",Pegatron,2017
298,Akio Negishi,Financials,"Insurance: Life, Health (Mutual)","Tokyo, Japan",http://www.meijiyasuda.co.jp,23,"41,872",Meiji Yasuda Life Insurance,2017
299,Soren Skou,Transportation,Shipping,"Copenhagen, Denmark",http://www.maersk.com,14,"87,736",Maersk Group,2017
300,Yousef Abdullah Al-Benyan,Chemicals,Chemicals,"Riyadh, Saudi Arabia",http://www.sabic.com,13,"35,000",SABIC,2017
301,Martin Bouygues,Engineering & Construction,"Engineering, Construction","Paris, France",http://www.bouygues.com,23,"117,997",Bouygues,2017
302,Martin Lundstedt,Motor Vehicles & Parts,Motor Vehicles and Parts,"Goteborg, Sweden",http://www.volvogroup.com,23,"89,477",Volvo,2017
303,Herbert K. Haas,Financials,Insurance: Property and Casualty (Stock),"Hanover, Germany",http://www.talanx.com,4,"20,039",Talanx,2017
304,Carsten Spohr,Transportation,Airlines,"Cologne, Germany",http://www.lufthansagroup.com,23,"107,276",Lufthansa Group,2017
305,David I. McKay,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",http://www.rbc.com,23,"75,510",Royal Bank of Canada,2017
306,Pierre Nanterme,Technology,Information Technology Services,"Dublin, Ireland",http://www.accenture.com,16,"384,000",Accenture,2017
307,Josu Jon Imaz San Miguel,Energy,Petroleum Refining,"Madrid, Spain",http://www.repsol.com,23,"24,396",Repsol,2017
308,Yu Liang,Financials,Real estate,"Shenzhen, China",http://www.vanke.com,2,"58,280",China Vanke,2017
309,Randall T. Jones Sr.,Food & Drug Stores,Food and Drug Stores,"Lakeland, FL",http://www.publix.com,23,"191,000",Publix Super Markets,2017
310,Markus Mosa,Wholesalers,Wholesalers: Food and Grocery,"Hamburg, Germany",http://www.edeka-verbund.de,19,"351,500",Edeka Zentrale,2017
311,Michael Coupe,Food & Drug Stores,Food and Drug Stores,"London, Britain",http://www.j-sainsbury.co.uk,23,"118,700",J. Sainsbury,2017
312,Brian P. Hannasch,Food & Drug Stores,Food and Drug Stores,"Laval, Quebec, Canada",http://www.couche-tard.com,4,"105,000",Alimentation Couche-Tard,2017
313,Wang Jianping,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.ceec.net.cn,4,"169,173",China Energy Engineering Group,2017
314,Hwan-Goo Kang,Industrials,Industrial Machinery,"Ulsan, South Korea",http://www.hyundaiheavy.com,11,"30,767",Hyundai Heavy Industries,2017
315,Ulrich Spiesshofer,Industrials,Industrial Machinery,"Zurich, Switzerland",http://www.abb.com,23,"132,300",ABB,2017
316,Kenneth I. Chenault,Financials,Diversified Financials,"New York, NY",http://www.americanexpress.com,23,"56,400",American Express,2017
317,Jean-Sebastien Jacques,Energy,"Mining, Crude-Oil Production","London, Britain",http://www.riotinto.com,12,"51,029",Rio Tinto Group,2017
318,Guillaume Pepy,Transportation,Railroads,"St. Denis, France",http://www.sncf.com,23,"193,718",SNCF Mobilites,2017
319,Liu Hualong,Industrials,Industrial Machinery,"Beijing, China",http://www.crrcgc.cc,2,"183,061",CRRC,2017
320,"Li Tzar Kuoi, Victor",Retailing,Specialty Retailers,"Hong Kong, China",http://www.ckh.com.hk,2,"290,000",CK Hutchison Holdings,2017
321,Yang GuoZhan,Energy,"Mining, Crude-Oil Production","Xingtai, China",http://www.jznyjt.com,7,"127,298",Jizhong Energy Group,2017
322,Ernie L. Herrman,Retailing,Specialty Retailers,"Framingham, MA",http://www.tjx.com,16,"235,000",TJX,2017
323,Liu Mingzhong,Materials,Metals,"Beijing, China",http://www.xxcig.com,6,"59,429",Xinxing Cathay International Group,2017
324,Young-Deuk Lim,Motor Vehicles & Parts,Motor Vehicles and Parts,"Seoul, South Korea",http://www.mobis.co.kr,6,"29,499",Hyundai Mobis,2017
325,Yasumori Ihara,Motor Vehicles & Parts,Motor Vehicles and Parts,"Kariya, Japan",http://www.aisin.com,16,"99,389",Aisin Seiki,2017
326,John T. Standley,Food & Drug Stores,Food and Drug Stores,"Camp Hill, PA",http://www.riteaid.com,19,"70,430",Rite Aid,2017
327,He Jiuchang,Energy,"Mining, Crude-Oil Production","""Xi'an, China""",http://www.sxycpc.com,5,"134,134",Shaanxi Yanchang Petroleum (Group),2017
328,Wolfgang Kirsch,Financials,Banks: Commercial and Savings,"Frankfurt, Germany",http://www.dzbank.com,23,"28,264",DZ Bank,2017
329,Jean Pierre Mustier,Financials,Banks: Commercial and Savings,"Milan, Italy",http://www.unicreditgroup.eu,22,"117,659",UniCredit Group,2017
330,Tang Shuangning,Financials,Banks: Commercial and Savings,"Beijing, China",http://www.ebchina.com,3,"61,400",China Everbright Group,2017
331,Takeo Higuchi,Engineering & Construction,"Engineering, Construction","Osaka, Japan",http://www.daiwahouse.co.jp,13,"60,539",Daiwa House Industry,2017
332,Mark G. Parker,Apparel,Apparel,"Beaverton, OR",http://www.nike.com,11,"70,700",Nike,2017
333,Jose Ignacio Sanchez Galan,Energy,Utilities,"Bilbao, Spain",http://www.iberdrola.com,13,"28,389",Iberdrola,2017
334,Ian M. Narev,Financials,Banks: Commercial and Savings,"Sydney, Australia",http://www.commbank.com.au,13,"45,129",Commonwealth Bank of Australia,2017
335,Ren Hongbin,Industrials,Industrial Machinery,"Beijing, China",http://www.sinomach.com.cn,7,"115,390",Sinomach,2017
336,Stephan Sturm,Health Care,Health Care: Medical Facilities,"Bad Homburg, Germany",http://www.fresenius.com,8,"232,873",Fresenius,2017
337,Lei Fanpei,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.spacechina.com,3,"170,357",China Aerospace Science & Technology,2017
338,Yang Zhaoqian,Energy,"Mining, Crude-Oil Production","""Xi'an, China""",http://www.shccig.com,3,"123,559",Shaanxi Coal & Chemical Industry,2017
339,Hui Kayan,Financials,Real estate,"Guangzhou, China",http://www.evergrande.com,2,"89,250",China Evergrande Group,2017
340,Li Baomin,Energy,"Mining, Crude-Oil Production","Guixi, China",http://www.jxcc.com,5,"25,460",Jiangxi Copper,2017
341,Kengo Sakurada,Financials,Insurance: Property and Casualty (Stock),"Tokyo, Japan",http://www.sompo-hd.com,21,"47,430",Sompo Holdings,2017
342,Zhang Zhengao,Financials,Real estate,"Beijing, China",http://www.poly.com.cn,3,"76,425",China Poly Group,2017
343,Evan G. Greenberg,Financials,Insurance: Property and Casualty (Stock),"Zurich, Switzerland",http://www.chubb.com,1,"31,000",Chubb,2017
344,Li Shufu,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hangzhou, China",http://www.geely.com,6,"60,712",Zhejiang Geely Holding Group,2017
345,Christopher M. Crane,Energy,Utilities,"Chicago, IL",http://www.exeloncorp.com,14,"34,396",Exelon,2017
346,Phebe N. Novakovic,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",http://www.generaldynamics.com,17,"98,800",General Dynamics,2017
347,Gavin E. Patterson,Telecommunications,Telecommunications,"London, Britain",http://www.btplc.com,23,"106,400",BT Group,2017
348,Fujio Mitarai,Technology,"Computers, Office Equipment","Tokyo, Japan",http://www.canon.com,23,"197,673",Canon,2017
349,Wang Tingge,Wholesalers,Trading,"Hangzhou, China",http://www.wuchanzhongda.cn,7,"18,150",Wuchan Zhongda Group,2017
350,Hitoshi Ochi,Chemicals,Chemicals,"Tokyo, Japan",http://www.mitsubishichem-hd.co.jp,23,"69,291",Mitsubishi Chemical Holdings,2017
351,Andrew Mackenzie,Energy,"Mining, Crude-Oil Production","Melbourne, Australia",http://www.bhpbilliton.com,23,"26,827",BHP Billiton,2017
352,Bharat B. Masrani,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",http://www.td.com,18,"81,233",Toronto-Dominion Bank,2017
353,Yasuyuki Yoshinaga,Motor Vehicles & Parts,Motor Vehicles and Parts,"Tokyo, Japan",http://www.subaru.co.jp,15,"36,668",Subaru,2017
354,Masaaki Tsuya,Motor Vehicles & Parts,Motor Vehicles and Parts,"Tokyo, Japan",http://www.bridgestone.com,23,"143,616",Bridgestone,2017
355,Tidjane Thiam,Financials,Banks: Commercial and Savings,"Zurich, Switzerland",http://www.credit-suisse.com,23,"47,170",Credit Suisse Group,2017
356,Gao Hongwei,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.casic.com.cn,2,"148,682",China Aerospace Science & Industry,2017
357,Eiji Hayashida,Materials,Metals,"Tokyo, Japan",http://www.jfe-holdings.co.jp,15,"60,439",JFE Holdings,2017
358,Yasuhiro Sato,Financials,Banks: Commercial and Savings,"Tokyo, Japan",http://www.mizuho-fg.co.jp,17,"59,179",Mizuho Financial Group,2017
359,John F. Milligan,Health Care,Pharmaceuticals,"Foster City, CA",http://www.gilead.com,3,"9,000",Gilead Sciences,2017
360,Jay D. Debertin,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN",http://www.chsinc.com,10,"12,157",CHS,2017
361,D. Rajkumar,Energy,Petroleum Refining,"Mumbai, India",http://www.bharatpetroleum.in,14,"13,395",Bharat Petroleum,2017
362,Inge G. Thulin,Industrials,Miscellaneous,"St. Paul, MN",http://www.3m.com,23,"91,584",3M,2017
363,Rui Xiaowu,Technology,"Electronics, Electrical Equip.","Beijing, China",http://www.cec.com.cn,7,"144,659",China Electronics,2017
364,Albert Manifold,Materials,"Building Materials, Glass","Dublin, Ireland",http://www.crh.com,14,"86,778",CRH,2017
365,Wu Qiang,Industrials,Industrial Machinery,"Beijing, China",http://www.cssc.net.cn,2,"68,025",China State Shipbuilding,2017
366,Shen Wenrong,Materials,Metals,"Zhangjiagang, China",http://www.shasteel.cn,9,"35,133",Jiangsu Shagang Group,2017
367,Xu Lirong,Transportation,Shipping,"Shanghai, China",http://www.coscoshipping.com,10,"106,478",China COSCO Shipping,2017
368,Masamichi Kogai,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hiroshima, Japan",http://www.mazda.com,23,"48,849",Mazda Motor,2017
369,Wang Binghua,Energy,Energy,"Beijing, China",http://www.spic.com.cn,6,"127,343",State Power Investment,2017
370,Mark Liu,Technology,Semiconductors and Other Electronic Components,"Hsinchu, Taiwan",http://www.tsmc.com,3,"46,968",Taiwan Semiconductor Manufacturing,2017
371,Fabio Schvartsman,Energy,"Mining, Crude-Oil Production","Rio de Janeiro, Brazil",http://www.vale.com,11,"73,062",Vale,2017
372,Jeffrey L. Bewkes,Media,Entertainment,"New York, NY",http://www.timewarner.com,16,"25,000",Time Warner,2017
373,Li Weimin,Energy,"Mining, Crude-Oil Production","Jinan , China",http://www.snjt.com,6,"179,689",Shandong Energy Group,2017
374,Toshihiro Suzuki,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hamamatsu, Japan",http://www.globalsuzuki.com,23,"62,992",Suzuki Motor,2017
375,Bhavesh V. Patel,Chemicals,Chemicals,"Rotterdam, Netherlands",http://www.lyb.com,10,"13,000",LyondellBasell Industries,2017
376,Frans A. van Houten,Health Care,Medical Products and Equipment,"Amsterdam, Netherlands",http://www.philips.com,23,"114,731",Royal Philips,2017
377,Thomas M. Rutledge,Telecommunications,Telecommunications,"Stamford, CT",http://www.charter.com,1,"91,500",Charter Communications,2017
378,Omar S. Ishrak,Health Care,Medical Products and Equipment,"Dublin, Ireland",http://www.medtronic.com,1,"98,017",Medtronic,2017
379,John E. Schlifske,Financials,"Insurance: Life, Health (Mutual)","Milwaukee, WI",http://www.northwesternmutual.com,23,"5,646",Northwestern Mutual,2017
380,Jean-Paul Agon,Household Products,Household and Personal Products,"Clichy, France",http://www.loreal.com,23,"89,331",L’Oreal,2017
381,Wang Jianlin,Financials,Real estate,"Beijing, China",http://www.wanda-group.com,2,"155,905",Dalian Wanda Group,2017
382,Shuichi Watanabe,Wholesalers,Wholesalers: Health Care,"Tokyo, Japan",http://www.medipal.co.jp,15,"15,745",Medipal Holdings,2017
383,Zhao Jianguo,Energy,Utilities,"Beijing, China",http://www.chd.com.cn,6,"107,000",China Huadian,2017
384,Ng Keng Hooi,Financials,"Insurance: Life, Health (stock)","Hong Kong, China",http://www.aia.com,3,"20,000",AIA Group,2017
385,Mukesh Kumar Surana,Energy,Petroleum Refining,"Mumbai, India",http://www.hindustanpetroleum.com,14,"10,422",Hindustan Petroleum,2017
386,Herbert Bolliger,Food & Drug Stores,Food and Drug Stores,"Zurich, Switzerland",http://www.migros.ch,23,"77,704",Migros Group,2017
387,Jean-Marc Janaillac,Transportation,Airlines,"Paris, France",http://www.airfranceklm.com,21,"82,175",Air France-KLM Group,2017
388,Richard J. Cousins,"Hotels, Restaurants & Leisure",Food Services,"Chertsey, Britain",http://www.compass-group.com,16,"527,180",Compass Group,2017
389,Paal Kibsgaard,Energy,Oil & Gas Equipment Services,"Houston, TX",http://www.slb.com,17,"100,000",Schlumberger,2017
390,Shigeki Iwane,Energy,Utilities,"Osaka, Japan",http://www.kepco.co.jp,23,"32,666",Kansai Electric Power,2017
391,Barry Lam,Technology,"Computers, Office Equipment","Taoyuan, Taiwan",http://www.quantatw.com,12,"92,698",Quanta Computer,2017
392,Brian C. Hartzer,Financials,Banks: Commercial and Savings,"Sydney, Australia",http://www.westpac.com.au,13,"35,280",Westpac Banking,2017
393,Joos Sutter,Food & Drug Stores,Food and Drug Stores,"Basel, Switzerland",http://www.coop.ch,8,"73,451",Coop Group,2017
394,Mark Zuckerberg,Technology,Internet Services and Retailing,"Menlo Park, CA",http://www.facebook.com,1,"17,048",Facebook,2017
395,Alan D. Schnitzer,Financials,Insurance: Property and Casualty (Stock),"New York, NY",http://www.travelers.com,14,"30,900",Travelers Cos.,2017
396,Richard D. Fairbank,Financials,Banks: Commercial and Savings,"McLean, VA",http://www.capitalone.com,7,"47,300",Capital One Financial,2017
397,James R. Murdoch,Media,Entertainment,"New York, NY",http://www.21cf.com,23,"21,500",Twenty-First Century Fox,2017
398,Qiao Baoping,Energy,Energy,"Beijing, China",http://www.cgdc.com.cn,8,"124,056",China Guodian,2017
399,Eric Olsen,Materials,"Building Materials, Glass","Jona, Switzerland",http://www.lafargeholcim.com,9,"90,903",LafargeHolcim,2017
400,Jean-Pascal Tricoire,Technology,"Electronics, Electrical Equip.","Rueil-Malmaison, France",http://www.schneider-electric.com,16,"143,901",Schneider Electric,2017
401,Xiong Qun Li,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.cetc.com.cn,2,"158,064",China Electronics Technology Group,2017
402,Stuart Parker,Financials,Insurance: Property and Casualty (Stock),"San Antonio, TX",http://www.usaa.com,4,"29,943",USAA,2017
