,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
45,Oliver Bäte,Financials,"Insurance: Life, Health (stock)",Munich,https://www.allianz.com,25,"142,460",Allianz
46,Thomas Buberl,Financials,"Insurance: Life, Health (stock)",Paris,https://www.axa.com,25,"104,065",AXA
47,W. Rodney McMullen,Food & Drug Stores,Food and Drug Stores,Cincinnati,https://www.thekrogerco.com,25,"453,000",Kroger
48,H. Lawrence Culp Jr.,Industrials,Industrial Machinery,Boston,https://www.ge.com,25,"283,000",General Electric
49,Hugh R. Frater,Financials,Diversified Financials,Washington DC,https://www.fanniemae.com,22,"7,400",Fannie Mae
50,Vagit Y. Alekperov,Energy,Petroleum Refining,Moscow,https://www.lukoil.com,20,"102,500",Lukoil
51,Wang Bin,Financials,"Insurance: Life, Health (stock)",Beijing,https://www.chinalife.com.cn,17,"175,077",China Life Insurance
52,Masatsugu Nagato,Financials,"Insurance: Life, Health (stock)",Tokyo,https://www.japanpost.jp,23,"245,922",Japan Post Holdings
53,Harald Krüger,Motor Vehicles & Parts,Motor Vehicles and Parts,Munich,https://www.bmwgroup.com,25,"134,682",BMW Group
54,Greg C. Garland,Energy,Petroleum Refining,Houston,https://www.phillips66.com,7,"14,200",Phillips 66
55,Zhang Zongyan,Engineering & Construction,"Engineering, Construction",Beijing,https://www.crecg.com,5,"307,992",China Railway Engineering Group
56,Li Yue,Telecommunications,Telecommunications,Beijing,https://www.10086.cn,19,"462,046",China Mobile Communications
57,Joseph W. Gorder,Energy,Petroleum Refining,San Antonio,https://www.valero.com,19,"10,261",Valero Energy
58,Brian T. Moynihan,Financials,Banks: Commercial and Savings,"Charlotte, N.C.",https://www.bankofamerica.com,25,"204,489",Bank of America Corp.
59,Chen Fenjian,Engineering & Construction,"Engineering, Construction",Beijing,https://www.crcc.cn,8,"356,326",China Railway Construction
60,Satya Nadella,Technology,Computer Software,"Redmond, Wash.",https://www.microsoft.com,22,"131,000",Microsoft
61,Ren Zhengfei,Technology,Network and Other Communications Equipment,"Shenzhen, China",https://www.huawei.com,10,"188,000",Huawei Investment & Holding
62,Craig A. Menear,Retailing,Specialty Retailers,Atlanta,https://www.homedepot.com,25,"413,000",Home Depot
63,Yang Hua,Energy,"Mining, Crude-Oil Production",Beijing,https://www.cnooc.com.cn,13,"93,601",China National Offshore Oil
64,Jun Sawada,Telecommunications,Telecommunications,Tokyo,https://www.ntt.co.jp,25,"303,351",Nippon Telegraph & Telephone
65,Masahiro Okafuji,Wholesalers,Trading,"Osaka, Japan",https://www.itochu.co.jp,25,"139,157",Itochu
66,Hiroto Saikawa,Motor Vehicles & Parts,Motor Vehicles and Parts,"Yokohama, Japan",https://www.nissan-global.com,25,"148,513",Nissan Motor
67,Zheng Zhijie,Financials,Banks: Commercial and Savings,Beijing,https://www.cdb.com.cn,3,"9,507",China Development Bank
68,David L. Calhoun,Aerospace & Defense,Aerospace and Defense,Chicago,https://www.boeing.com,25,"153,000",Boeing
69,Charles W. Scharf,Financials,Banks: Commercial and Savings,San Francisco,https://www.wellsfargo.com,22,"258,700",Wells Fargo
70,Josef Kaeser,Industrials,Industrial Machinery,Munich,https://www.siemens.com,25,"379,000",Siemens
71,Michael L. Corbat,Financials,Banks: Commercial and Savings,New York City,https://www.citigroup.com,25,"204,000",Citigroup
72,Gary R. Heminger,Energy,Petroleum Refining,"Findlay, Ohio",https://www.marathonpetroleum.com,8,"60,350",Marathon Petroleum
73,Tae-Won Chey/Dong-Hyun Jang,Energy,Petroleum Refining,Seoul,https://www.sk.co.kr,4,"104,374",SK Holdings
74,Roberto da Cunha Castello Branco,Energy,Petroleum Refining,Rio de Janeiro,https://www.petrobras.com.br,25,"63,361",Petrobras
75,Brian L. Roberts,Telecommunications,Telecommunications,Philadelphia,https://www.comcastcorporation.com,17,"184,000",Comcast
76,Ulf Mark Schneider,"Food, Beverages & Tobacco",Food Consumer Products,"Vevey, Switzerland",https://www.nestle.com,25,"308,000",Nestlé
77,Volkmar Denner,Motor Vehicles & Parts,Motor Vehicles and Parts,"Stuttgart, Germany",https://www.bosch.com,25,"409,881",Bosch Group
78,Andreas Schierenbeck,Energy,Energy,"Düsseldorf, Germany",https://www.uniper.energy,3,"11,828",Uniper
79,Gail K. Boudreaux,Health Care,Health Care: Insurance and Managed Care,Indianapolis,https://www.antheminc.com,18,"63,900",Anthem
80,Wang Xiangming,Health Care,Pharmaceuticals,Hong Kong,https://www.crc.com.hk,10,"421,274",China Resources
81,Alexandre Bompard,Food & Drug Stores,Food and Drug Stores,"Massey, France",https://www.carrefour.com,25,"363,862",Carrefour
82,Li Shaozhu,Motor Vehicles & Parts,Motor Vehicles and Parts,"Wuhan, China",https://www.dfmc.com.cn,10,"167,528",Dongfeng Motor
83,Claudio Descalzi,Energy,Petroleum Refining,Rome,https://www.eni.com,25,"31,701",ENI
84,Michael S. Dell,Technology,"Computers, Office Equipment","Round Rock, Texas",https://www.delltechnologies.com,19,"157,000",Dell Technologies
85,José Antonio Álvarez,Financials,Banks: Commercial and Savings,Madrid,https://www.santander.com,25,"194,015",Banco Santander
86,Igor I. Sechin,Energy,Petroleum Refining,Moscow,https://www.rosneft.com,14,"308,000",Rosneft Oil
87,Xu Liuping,Motor Vehicles & Parts,Motor Vehicles and Parts,"Changchun, China",https://www.faw.com.cn,15,"142,451",China FAW Group
88,Ning Gaoning,Wholesalers,Trading,Beijing,https://www.sinochem.com,24,"66,713",Sinochem Group
89,Francesco Starace,Energy,Utilities,Rome,https://www.enel.com,25,"69,272",Enel
90,Timotheus Höttges,Telecommunications,Telecommunications,"Bonn, Germany",https://www.telekom.com,25,"215,675",Deutsche Telekom
91,Philippe Brassac,Financials,Banks: Commercial and Savings,Paris,https://www.credit-agricole.com,25,"73,346",Crédit Agricole
92,Philippe R. Donnet,Financials,"Insurance: Life, Health (stock)","Trieste, Italy",https://www.generali.com,25,"70,734",Assicurazioni Generali
93,Liu Qitao,Engineering & Construction,"Engineering, Construction",Beijing,https://www.ccccltd.cn,12,"178,572",China Communications Construction
94,Won-Hee Lee /Mong-Koo Chung,Motor Vehicles & Parts,Motor Vehicles and Parts,Seoul,https://www.hyundai.com/worldwide/,24,"122,217",Hyundai Motor
95,Octavio Romero Oropeza,Energy,"Mining, Crude-Oil Production",Mexico City,https://www.pemex.com,25,"131,108",Pemex
96,Carlos Tavares,Motor Vehicles & Parts,Motor Vehicles and Parts,"Rueil-Malmaison, France",https://www.groupe-psa.com,25,"216,539",Peugeot
97,Yan Hao,Engineering & Construction,"Engineering, Construction","Urumqi, China",https://www.cpcg.com.cn,6,"387,525",Pacific Construction Group
98,Masayoshi Son,Telecommunications,Telecommunications,Tokyo,https://group.softbank/en/,12,"76,866",SoftBank Group
99,John Flint,Financials,Banks: Commercial and Savings,London,https://www.hsbc.com,25,"235,217",HSBC Holdings
100,C. Marc Doyle,Chemicals,Chemicals,"Wilmington, Del.",https://www.dupont.com,25,"98,000",DuPont
101,Liu Aili,Transportation,"Mail, Package, and Freight Delivery",Beijing,https://www.chinapost.com.cn,9,"935,191",China Post Group
102,Toshiaki Higashihara,Technology,"Electronics, Electrical Equip.",Tokyo,https://www.hitachi.com,25,"295,941",Hitachi
103,Dave J. Lewis,Food & Drug Stores,Food and Drug Stores,"Welwyn Garden City, Britain",https://www.tescoplc.com,25,"321,490",Tesco
104,Jean-Laurent Bonnafé,Financials,Banks: Commercial and Savings,Paris,https://group.bnpparibas/,25,"197,162",BNP Paribas
105,Tsutomu Sugimori,Energy,Petroleum Refining,Tokyo,https://www.hd.jxtg-group.co.jp,25,"40,695",JXTG Holdings
106,Mukesh D. Ambani,Energy,Petroleum Refining,Mumbai,https://www.ril.com,16,"194,056",Reliance Industries
107,Wang Xiangxi,Energy,"Mining, Crude-Oil Production",Beijing,https://www.shenhuagroup.com.cn,10,"338,472",China Energy Investment
108,Michael L. Tipsord,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, Ill.",https://www.statefarm.com,25,"56,788",State Farm Insurance Cos.
109,Alex Gorsky,Health Care,Pharmaceuticals,"New Brunswick, N.J.",https://www.jnj.com,19,"135,100",Johnson & Johnson
110,Jean-Bernard Lévy,Energy,Utilities,Paris,https://www.edf.fr,25,"165,790",Electricité de France
111,Meng Zhenping,Energy,Utilities,"Guangzhou, China",https://www.csg.cn,15,"289,735",China Southern Power Grid
112,Tang Fuping,Materials,Metals,Beijing,https://www.minmetals.com,13,"199,442",China Minmetals
113,Eldar Saetre,Energy,Petroleum Refining,"Stavanger, Norway",https://www.equinor.com,25,"20,525",Equinor
114,Virginia M. Rometty,Technology,Information Technology Services,"Armonk, N.Y.",https://www.ibm.com,25,"381,100",International Business Machines
115,Martin Bruderm?ller,Chemicals,Chemicals,"Ludwigshafen, Germany",https://www.basf.com,25,"122,404",BASF
116,Kenichiro Yoshida,Technology,"Electronics, Electrical Equip.",Tokyo,https://www.sony.net,25,"114,400",Sony
117,Sanjiv Singh,Energy,Petroleum Refining,New Delhi,https://www.iocl.com,25,"35,442",Indian Oil
118,Motoya Okada,Food & Drug Stores,Food and Drug Stores,"Chiba, Japan",https://www.aeon.info,25,"288,326",AEON
119,Wang Wenyin,Materials,Metals,"Shenzhen, China",https://www.amer.com.cn,7,"16,901",Amer International Group
120,Lakshmi N. Mittal,Materials,Metals,Luxembourg,https://www.arcelormittal.com,15,"208,583",ArcelorMittal
121,Miao Jianmin,Financials,Insurance: Property and Casualty (Stock),Beijing,https://www.picc.com.cn,10,"198,457",People’s Insurance Co. of China
122,Brian C. Cornell,Retailing,General Merchandisers,Minneapolis,https://www.target.com,25,"360,000",Target
123,Guillaume Faury,Aerospace & Defense,Aerospace and Defense,"Leiden, Netherlands",https://www.airbus.com,25,"133,671",Airbus
124,Frank Appel,Transportation,"Mail, Package, and Freight Delivery","Bonn, Germany",https://www.dpdhl.com,25,"499,018",Deutsche Post DHL Group
125,Hiroshi Shimizu,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan",https://www.nissay.co.jp,25,"89,198",Nippon Life Insurance
126,Isabelle Kocher,Energy,Energy,"Courbevoie, France",https://www.engie.com,24,"160,301",Engie
127,Frans Muller,Food & Drug Stores,Food and Drug Stores,"Zaandam, Netherlands",https://www.aholddelhaize.com,25,"225,000",Royal Ahold Delhaize
128,David M. Brickman,Financials,Diversified Financials,"McLean, Va.",https://www.freddiemac.com,23,"6,621",Freddie Mac
129,Xu Heyi,Motor Vehicles & Parts,Motor Vehicles and Parts,Beijing,https://www.baicgroup.com.cn,7,"127,163",Beijing Automotive Group
130,Chansin Treenuchagron,Energy,Petroleum Refining,Bangkok,https://www.pttplc.com,16,"26,613",PTT
131,Kazuhiro Tsuga,Technology,"Electronics, Electrical Equip.","Osaka, Japan",https://www.panasonic.com/global,25,"271,869",Panasonic
132,David P. Abney,Transportation,"Mail, Package, and Freight Delivery",Atlanta,https://www.ups.com,25,"364,575",United Parcel Service
133,Marvin R. Ellison,Retailing,Specialty Retailers,"Mooresville, N.C.",https://www.lowes.com,22,"245,000",Lowe’s
134,Yu Xubo,Wholesalers,Trading,Beijing,https://www.cofco.com,25,"117,842",COFCO
135,Robert H. Swan,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",https://www.intel.com,25,"107,400",Intel
136,Megan J. Brennan,Transportation,"Mail, Package, and Freight Delivery",Washington DC,https://www.usps.com,25,"565,802",U.S. Postal Service
137,Chang Zhenming,Financials,Diversified Financials,Beijing,https://www.group.citic,11,"287,500",CITIC Group
138,Hui Ka Yan,Financials,Real estate,"Shenzen, China",https://www.evergrande.com,4,"131,694",China Evergrande Group
139,Richard Qiangdong Liu,Retailing,Internet Services and Retailing,Beijing,https://www.jd.com,4,"178,927",JD.com
140,Jiao Kaihe,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.norincogroup.com.cn,10,"210,507",China North Industries Group
141,Ke Ruiwen,Telecommunications,Telecommunications,Beijing,https://www.chinatelecom.com.cn,20,"403,014",China Telecommunications
142,Michel A. Khalaf,Financials,"Insurance: Life, Health (stock)",New York City,https://www.metlife.com,25,"48,000",MetLife
143,Thierry Bolloré,Motor Vehicles & Parts,Motor Vehicles and Parts,"Boulogne-Billancourt, France",https://www.groupe.renault.com,25,"183,002",Renault
144,Yang Xingqiang,Chemicals,Chemicals,Beijing,https://www.chemchina.com,9,"138,652",ChemChina
145,Joachim Wenning,Financials,Insurance: Property and Casualty (Stock),Munich,https://www.munichre.com,25,"41,410",Munich Re Group
146,David S. Taylor,Household Products,Household and Personal Products,Cincinnati,https://www.pg.com,25,"92,000",Procter & Gamble
147,Masumi Kakinoki,Wholesalers,Trading,Tokyo,https://www.marubeni.com,25,"46,711",Marubeni
148,Gregory J. Hayes,Aerospace & Defense,Aerospace and Defense,"Farmington, Conn.",https://www.utc.com,25,"240,200",United Technologies
149,Chen Derong,Materials,Metals,Shanghai,https://www.baowugroup.com,16,"161,399",China Baowu Steel Group
150,Ren Deqi,Financials,Banks: Commercial and Savings,Shanghai,https://www.bankcomm.com,11,"92,714",Bank of Communications
151,Luo Ronghuai,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.avic.com,11,"446,613",Aviation Industry Corp. of China
152,Frederick W. Smith,Transportation,"Mail, Package, and Freight Delivery",Memphis,https://www.fedex.com,25,"359,530",FedEx
153,Seiji Inagaki,Financials,"Insurance: Life, Health (stock)",Tokyo,https://www.dai-ichi-life-hd.com,25,"62,938",Dai-ichi Life Holdings
154,Ramon L. Laguarta,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, N.Y.",https://www.pepsico.com,25,"267,000",PepsiCo
155,Juan R. Luciano,"Food, Beverages & Tobacco",Food Production,Chicago,https://www.adm.com,25,"31,600",Archer Daniels Midland
156,Charles F. Lowrey,Financials,"Insurance: Life, Health (stock)","Newark, N.J.",https://www.prudential.com,25,"50,492",Prudential Financial
157,Tatsuo Yasunaga,Wholesalers,Trading,Tokyo,https://www.mitsui.com,25,"43,993",Mitsui
158,Wan Zulkiflee Wan Ariffin,Energy,Petroleum Refining,Kuala Lumpur,https://www.petronas.com,23,"48,001",Petronas
159,Ryuichi Isaka,Food & Drug Stores,Food and Drug Stores,Tokyo,https://www.7andi.com,14,"58,165",Seven & I Holdings
160,Shashi Shanker,Energy,"Mining, Crude-Oil Production",New Delhi,https://www.ongcindia.com,13,"43,743",Oil & Natural Gas
161,Yan Zhiyong,Engineering & Construction,"Engineering, Construction",Beijing,https://www.powerchina.cn,8,"185,269",PowerChina
162,Ichiro Kashitani,Wholesalers,Trading,"Nagoya, Japan",https://www.toyota-tsusho.com,11,"58,565",Toyota Tsusho
163,Severin Schwan,Health Care,Pharmaceuticals,"Basel, Switzerland",https://www.roche.com,25,"94,442",Roche Group
164,Edgard Bonte,Food & Drug Stores,Food and Drug Stores,"Croix, France",https://www.auchan-holding.com,23,"340,577",Auchan Holding
165,Vivek Sankaran,Food & Drug Stores,Food and Drug Stores,"Boise, Idaho",https://www.albertsonscompanies.com,15,"267,000",Albertsons Cos.
166,Mike Kanetsugu,Financials,Banks: Commercial and Savings,Tokyo,https://www.mufg.jp,18,"119,390",Mitsubishi UFJ Financial Group
167,Alan W. Jope,Household Products,Household and Personal Products,London,https://www.unilever.com,25,"154,848",Unilever
168,Michael F. Neidorff,Health Care,Health Care: Insurance and Managed Care,St. Louis,https://www.centene.com,4,"47,300",Centene
169,She Lulin,Health Care,Pharmaceuticals,Beijing,https://www.sinopharm.com,7,"128,600",Sinopharm
170,Robert A. Iger,Media,Entertainment,"Burbank, Calif.",https://www.thewaltdisneycompany.com,25,"201,000",Walt Disney
171,Jeong-Woo Choi,Materials,Metals,Seoul,https://www.posco.com,25,"33,784",POSCO
172,Kevin P. Hourican,Wholesalers,Wholesalers: Food and Grocery,Houston,https://www.sysco.com,25,"67,000",Sysco
173,Enrique J. Lores,Technology,"Computers, Office Equipment","Palo Alto, Calif.",https://www.hp.com,25,"55,000",HP
174,Frédéric Oudéa,Financials,Banks: Commercial and Savings,Paris,https://www.societegenerale.com,23,"140,250",Société Générale
175,Nicke Widyawati,Energy,Petroleum Refining,Jakarta,https://www.pertamina.com,7,"31,569",Pertamina
176,José María Álvarez-Pallete López,Telecommunications,Telecommunications,Madrid,https://www.telefonica.com,25,"120,138",Telefónica
177,Mo Bin,Financials,Real estate,"Foshan, China",https://www.countrygarden.com.cn,3,"131,387",Country Garden Holdings
178,Tomoaki Kobayakawa,Energy,Utilities,Tokyo,https://www.tepco.co.jp,25,"41,086",Tokyo Electric Power
179,Bruce D. Broussard,Health Care,Health Care: Insurance and Managed Care,"Louisville, Ky.",https://www.humana.com,21,"41,600",Humana
180,J. Bruce Flatt,Financials,Diversified Financials,"Toronto, Ontario, Canada",https://www.brookfield.com,3,"100,750",Brookfield Asset Management
181,Chen Jianhua,Industrials,Textiles,"Suzhou City, China",https://www.hengli.com,3,"81,350",Hengli Group
182,Daniel Zhang,Retailing,Internet Services and Retailing,"Hangzhou, China",https://www.alibabagroup.com,3,"101,958",Alibaba Group Holding
183,Rolf Martin Schmitz,Energy,Utilities,"Essen, Germany",https://www.rwe.com,25,"58,441",RWE
184,Mark Zuckerberg,Technology,Internet Services and Retailing,"Menlo Park, Calif.",https://www.facebook.com,3,"35,587",Facebook
185,Seoung-Jin Jo,Technology,"Electronics, Electrical Equip.",Seoul,https://www.lg.com,19,"72,600",LG Electronics
186,Eiji Hashimoto,Materials,Metals,Tokyo,https://www.nipponsteel.com,25,"115,878",Nippon Steel Corporation
187,Sidney Toledano,Apparel,Apparel,Paris,https://www.dior-finance.com,19,"141,914",Christian Dior
188,Tian Huiyu,Financials,Banks: Commercial and Savings,"Shenzhen, China",https://www.cmbchina.com,8,"74,590",China Merchants Bank
189,Zeng Qinghong,Motor Vehicles & Parts,Motor Vehicles and Parts,"Guangzhou, China",https://www.gagc.com.cn,7,"113,474",Guangzhou Automobile Industry Group
190,D. James Umpleby III,Industrials,Construction and Farm Machinery,"Deerfield, Ill.",https://www.caterpillar.com,25,"104,000",Caterpillar
191,C?ndido Botelho Bracher,Financials,Banks: Commercial and Savings,São Paulo,https://www.itau.com.br,6,"100,335",Itaú Unibanco Holding
192,Carlos Brito,"Food, Beverages & Tobacco",Beverages,"Leuven, Belgium",https://www.ab-inbev.com,14,"172,603",Anheuser-Busch InBev
193,JongKap Kim,Energy,Utilities,"Jeollanam-do, South Korea",https://www.kepco.co.kr,25,"46,377",Korea Electric Power
194,Kelcy L. Warren,Energy,Pipelines,Dallas,https://www.energytransfer.com,6,"11,768",Energy Transfer
195,Robert G. Scott,Food & Drug Stores,Food and Drug Stores,"Perth, Australia",https://www.wesfarmers.com.au,11,"217,000",Wesfarmers
196,Daniel Hajj Aboumrad,Telecommunications,Telecommunications,Mexico City,https://www.americamovil.com,13,"194,431",América Móvil
197,Marillyn A. Hewson,Aerospace & Defense,Aerospace and Defense,"Bethesda, Md.",https://www.lockheedmartin.com,25,"105,000",Lockheed Martin
198,Albert Bourla,Health Care,Pharmaceuticals,New York City,https://www.pfizer.com,25,"92,400",Pfizer
199,He Qing,Financials,"Insurance: Life, Health (stock)",Shanghai,https://www.cpic.com.cn,9,"107,741",China Pacific Insurance (Group)
200,Josu Jon Imaz San Miguel,Energy,Petroleum Refining,Madrid,https://www.repsol.com,25,"22,735",Repsol
201,Vasant Narasimhan,Health Care,Pharmaceuticals,"Basel, Switzerland",https://www.novartis.com,25,"125,161",Novartis
202,Zhang Yuliang,Financials,Real estate,Shanghai,https://www.ldjt.com.cn,8,"39,091",Greenland Holding Group
203,Song Zhiping,Materials,"Building Materials, Glass",Beijing,https://www.cnbm.com.cn,9,"207,958",China National Building Material Group
204,David M. Solomon,Financials,Banks: Commercial and Savings,New York City,https://www.goldmansachs.com,20,"36,600",Goldman Sachs Group
205,Elmar Degenhart,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hanover, Germany",https://www.continental-corporation.com,17,"243,226",Continental
206,Xavier Huillard,Engineering & Construction,"Engineering, Construction","Rueil-Malmaison, France",https://www.vinci.com,19,"211,233",Vinci
207,Didier Lévêque,Food & Drug Stores,Food and Drug Stores,Paris,https://www.finatis.fr,5,"218,923",Finatis
208,Richard Lutz,Transportation,Railroads,Berlin,https://www.deutschebahn.com,25,"318,528",Deutsche Bahn
209,Jun Ohta,Financials,Banks: Commercial and Savings,Tokyo,https://www.smfg.co.jp,25,"86,659",Sumitomo Mitsui Financial Group
210,Brian P. Hannasch,Food & Drug Stores,Food and Drug Stores,"Laval, Quebec, Canada",https://corpo.couche-tard.com,6,"130,000",Alimentation Couche-Tard
211,Li Weimin,Energy,"Mining, Crude-Oil Production","Jinan , China",https://www.snjt.com,8,"160,064",Shandong Energy Group
212,Yang Yuanqing,Technology,"Computers, Office Equipment",Hong Kong,https://www.lenovo.com,10,"57,000",Lenovo Group
213,Tao Yiping,Financials,Banks: Commercial and Savings,"Fuzhou, China",https://www.cib.com.cn,7,"59,659",Industrial Bank
214,Yu Yong,Materials,Metals,"Shijiazhuang, China",https://www.hbisco.com,11,"118,656",HBIS Group
215,Guido Kerkhoff,Materials,Metals,"Essen, Germany",https://www.thyssenkrupp.com,25,"161,096",ThyssenKrupp
216,Gao Guofu,Financials,Banks: Commercial and Savings,Shanghai,https://www.spdb.com.cn,7,"55,692",Shanghai Pudong Development Bank
217,Nick Read,Telecommunications,Telecommunications,"Newbury, Britain",https://www.vodafone.com,20,"98,996",Vodafone Group
218,James P. Gorman,Financials,Banks: Commercial and Savings,New York City,https://www.morganstanley.com,22,"60,348",Morgan Stanley
219,Gilberto Tomazoni,"Food, Beverages & Tobacco",Food Production,São Paulo,https://jbss.infoinvest.com.br/,10,"230,086",JBS
220,Li Shufu,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hangzhou, China",https://www.geely.com,8,"124,846",Zhejiang Geely Holding Group
221,Octavio de Lazari,Financials,Banks: Commercial and Savings,"Osasco, Brazil",https://www.bradesco.com.br,23,"86,772",Banco Bradesco
222,Yasuyoshi Karasawa,Financials,Insurance: Property and Casualty (Stock),Tokyo,https://www.ms-ad-hd.com,21,"41,467",MS&AD Insurance Group Holdings
223,Laurent Mignon,Financials,Banks: Commercial and Savings,Paris,https://www.groupebpce.com,10,"100,245",Groupe BPCE
224,Tsuyoshi Nagano,Financials,Insurance: Property and Casualty (Stock),Tokyo,https://www.tokiomarinehd.com,25,"40,848",Tokio Marine Holdings
225,Charles H. Robbins,Technology,Network and Other Communications Equipment,"San Jose, Calif.",https://www.cisco.com,20,"74,200",Cisco Systems
226,Pierre-André de Chalendar,Materials,"Building Materials, Glass","Courbevoie, France",https://www.saint-gobain.com,25,"181,001",Saint-Gobain
227,Han-Woo Park,Motor Vehicles & Parts,Motor Vehicles and Parts,Seoul,https://www.kia.com,8,"52,578",Kia Motors
228,Stéphane Richard,Telecommunications,Telecommunications,Paris,https://www.orange.com,25,"150,711",Orange
229,David M. Cordani,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, Conn.",https://www.cigna.com,24,"73,800",Cigna
230,Koji Arima,Motor Vehicles & Parts,Motor Vehicles and Parts,"Kariya, Japan",https://www.denso.com/global,25,"171,992",Denso
231,Masayuki Hyodo,Wholesalers,Trading,Tokyo,https://www.sumitomocorp.co.jp,25,"65,662",Sumitomo
232,Zheng Wanchun,Financials,Banks: Commercial and Savings,Beijing,https://www.cmbc.com.cn%20,7,"58,338",China Minsheng Banking
233,Brad Banducci,Food & Drug Stores,Food and Drug Stores,"Bella Vista, Australia",https://www.woolworthslimited.com.au,23,"201,522",Woolworths Group
234,Onur Genç,Financials,Banks: Commercial and Savings,"Bilbao, Spain",https://www.bbva.com,25,"125,627",Banco Bilbao Vizcaya Argentaria
235,Brian Duperreault,Financials,Insurance: Property and Casualty (Stock),New York City,https://www.aig.com,24,"49,600",American International Group
236,Rajnish Kumar,Financials,Banks: Commercial and Savings,Mumbai,https://www.sbi.co.in,14,"257,252",State Bank of India
237,Pony Ma,Technology,Internet Services and Retailing,"Shenzhen, China",https://www.tencent.com,3,"54,309",Tencent Holdings
238,Mario Greco,Financials,Insurance: Property and Casualty (Stock),Zurich,https://www.zurich.com,25,"52,267",Zurich Insurance Group
239,Christian Sewing,Financials,Banks: Commercial and Savings,Frankfurt,https://www.db.com,25,"91,737",Deutsche Bank
240,Werner Baumann,Health Care,Pharmaceuticals,"Leverkusen, Germany",https://www.bayer.com,25,"116,998",Bayer
241,Samuel N. Hazen,Health Care,Health Care: Medical Facilities,Nashville,https://www.hcahealthcare.com,25,"229,000",HCA Healthcare
242,Zhang Zhengao,Financials,Real estate,Beijing,https://www.poly.com.cn,5,"97,527",China Poly Group
243,Hu Wenming,Transportation,Shipping,Beijing,https://www.csic.com.cn,9,"165,274",China Shipbuilding Industry
244,Li Jianhong,Transportation,"Mail, Package, and Freight Delivery",Hong Kong,https://www.cmhk.com,2,"115,281",China Merchants Group
245,Makoto Takahashi,Telecommunications,Telecommunications,Tokyo,https://www.kddi.com,22,"41,996",KDDI
246,Andrew Mackenzie,Energy,"Mining, Crude-Oil Production",Melbourne,https://www.bhp.com,25,"27,161",BHP Group
247,Gregory A. Heckman,"Food, Beverages & Tobacco",Food Production,"White Plains, N.Y.",https://www.bunge.com,17,"31,000",Bunge
248,Antoine Lissowski,Financials,"Insurance: Life, Health (stock)",Paris,https://www.cnp.fr,25,"5,243",CNP Assurances
249,Wang Tingge,Wholesalers,Trading,"Hangzhou, China",https://www.wzgroup.com,9,"20,142",Wuchan Zhongda Group
250,Zhang Xiaolum,Industrials,Industrial Machinery,Beijing,https://www.sinomach.com.cn,9,"147,099",Sinomach
251,Yu Dehui,Materials,Metals,Beijing,https://www.chalco.com.cn,12,"124,965",Aluminum Corp. of China
252,Yousef Abdullah Al-Benyan,Chemicals,Chemicals,Riyadh,https://www.sabic.com,15,"33,000",SABIC
253,Martin Lundstedt,Motor Vehicles & Parts,Motor Vehicles and Parts,"Göteborg, Sweden",https://www.volvogroup.com,25,"98,652",Volvo
254,Zhu Jiusheng,Financials,Real estate,"Shenzhen, China",https://www.vanke.com,4,"104,300",China Vanke
255,Herman O. Gref,Financials,Banks: Commercial and Savings,Moscow,https://www.sberbank.ru,12,"293,752",Sberbank
256,David I. McKay,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",https://www.rbc.com,25,"81,870",Royal Bank of Canada
257,W. Douglas Parker,Transportation,Airlines,Fort Worth,https://www.aa.com,25,"128,900",American Airlines Group
258,Kuok Khoon Hong,"Food, Beverages & Tobacco",Food Production,Singapore,https://www.wilmar-international.com,11,"90,000",Wilmar International
259,Syh-Jang Liao,Technology,"Electronics, Electrical Equip.",Taipei,https://www.pegatroncorp.com,7,"156,477",Pegatron
260,Edward H. Bastian,Transportation,Airlines,Atlanta,https://www.delta.com,25,"88,680",Delta Air Lines
261,Tae-Jong Lee,Financials,"Insurance: Life, Health (stock)",Seoul,https://www.hanwhacorp.co.kr,14,"58,070",Hanwha
262,Wang Xiaochu,Telecommunications,Telecommunications,Beijing,https://www.chinaunicom-a.com,11,"246,299",China United Network Communications
263,Yang Yue,Energy,"Mining, Crude-Oil Production","""Xi'an, China""",https://www.sxycpc.com,7,"136,016",Shaanxi Yanchang Petroleum (Group)
264,Thomas M. Rutledge,Telecommunications,Telecommunications,"Stamford, Conn.",https://www.charter.com,3,"98,000",Charter Communications
265,Guenter Butschek,Motor Vehicles & Parts,Motor Vehicles and Parts,Mumbai,https://www.tatamotors.com,10,"81,090",Tata Motors
266,Wolf-Henning Scheider,Motor Vehicles & Parts,Motor Vehicles and Parts,"Friedrichshafen, Germany",https://www.zf.com,6,"148,969",ZF Friedrichshafen
