,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
0,C. Douglas McMillon,Retailing,General Merchandisers,"Bentonville, Ark.",http://www.stock.walmart.com,24,"2,300,000",Walmart,2018
1,Kou Wei,Energy,Utilities,Beijing,http://www.sgcc.com.cn,18,"913,546",State Grid,2018
2,Dai Houliang,Energy,Petroleum Refining,Beijing,http://www.sinopec.com,20,"667,793",Sinopec Group,2018
3,Zhang Jianhua,Energy,Petroleum Refining,Beijing,http://www.cnpc.com.cn,18,"1,470,193",China National Petroleum,2018
4,Ben van Beurden,Energy,Petroleum Refining,The Hague,http://www.shell.com,24,"84,000",Royal Dutch Shell,2018
5,Akio Toyoda,Motor Vehicles & Parts,Motor Vehicles & Parts,"Toyota, Japan",http://www.toyota-global.com,24,"369,124",Toyota Motor,2018
6,Herbert Diess,Motor Vehicles & Parts,Motor Vehicles & Parts,"Wolfsburg, Germany",http://www.volkswagenag.com,24,"642,292",Volkswagen,2018
7,Robert W. Dudley,Energy,Petroleum Refining,London,http://www.bp.com,24,"74,000",BP,2018
8,Darren W. Woods,Energy,Petroleum Refining,"Irving, Texas",http://www.exxonmobil.com,24,"71,200",Exxon Mobil,2018
9,Warren E. Buffett,Financials,Insurance: Property and Casualty (Stock),Omaha,http://www.berkshirehathaway.com,22,"377,000",Berkshire Hathaway,2018
10,Timothy D. Cook,Technology,"Computers, Office Equipment","Cupertino, Calif.",http://www.apple.com,16,"123,000",Apple,2018
11,Hyun-Suk Kim /Ki-Nam Kim,Technology,"Electronics, Electrical Equip.","Suwon, South Korea",http://www.samsung.com,24,"320,671",Samsung Electronics,2018
12,John H. Hammergren,Wholesalers,Wholesalers: Health Care,San Francisco,http://www.mckesson.com,24,"68,000",McKesson,2018
13,Ivan Glasenberg,Energy,"Mining, Crude-Oil Production","Baar, Switzerland",http://www.glencore.com,8,"82,681",Glencore,2018
14,David S. Wichmann,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, Minn.",http://www.unitedhealthgroup.com,22,"260,000",UnitedHealth Group,2018
15,Dieter Zetsche,Motor Vehicles & Parts,Motor Vehicles & Parts,"Stuttgart, Germany",http://www.daimler.com,24,"289,321",Daimler,2018
16,Larry J. Merlo,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, R.I.",http://www.cvshealth.com,23,"203,000",CVS Health,2018
17,Jeffrey P. Bezos,Technology,Internet Services and Retailing,Seattle,http://www.amazon.com,10,"566,000",Amazon.com,2018
18,John Elkann,Financials,Diversified Financials,Amsterdam,http://www.exor.com,8,"307,637",EXOR Group,2018
19,Randall L. Stephenson,Telecommunications,Telecommunications,Dallas,http://www.att.com,24,"254,000",AT&T,2018
20,Mary T. Barra,Motor Vehicles & Parts,Motor Vehicles & Parts,Detroit,http://www.gm.com,24,"180,000",General Motors,2018
21,James P. Hackett,Motor Vehicles & Parts,Motor Vehicles & Parts,"Dearborn, Mich.",http://www.corporate.ford.com,24,"202,000",Ford Motor,2018
22,Wang Xiangming,Engineering & Construction,Engineering & Construction,Beijing,http://www.cscec.com,7,"270,467",China State Construction Engineering,2018
23,Terry Gou,Technology,"Electronics, Electrical Equip.","New Taipei City, Taiwan",http://www.foxconn.com,14,"803,126",Hon Hai Precision Industry,2018
24,Steven H. Collis,Wholesalers,Wholesalers: Health Care,"Chesterbrook, Pa.",http://www.amerisourcebergen.com,19,"19,500",AmerisourceBergen,2018
25,Gu Shu,Financials,Banks: Commercial and Savings,Beijing,http://www.icbc-ltd.com,20,"453,048",Industrial & Commercial Bank of China,2018
26,Thomas Buberl,Financials,"Insurance: Life, Health (stock)",Paris,http://www.axa.com,24,"95,728",AXA,2018
27,Patrick Pouyanne,Energy,Petroleum Refining,"Courbevoie, France",http://www.total.com,24,"98,277",Total,2018
28,Ma Mingzhe,Financials,"Insurance: Life, Health (stock)","Shenzhen, China",http://www.pingan.com,9,"342,550",Ping An Insurance,2018
29,Takahiro Hachigo,Motor Vehicles & Parts,Motor Vehicles & Parts,Tokyo,http://www.honda.com,24,"215,638",Honda Motor,2018
30,Tian Guoli,Financials,Banks: Commercial and Savings,Beijing,http://www.ccb.com,19,"370,415",China Construction Bank,2018
31,Jeremy Weir,Wholesalers,Trading,Singapore,http://www.trafigura.com,4,"3,935",Trafigura Group,2018
32,Michael K. Wirth,Energy,Petroleum Refining,"San Ramon, Calif.",http://www.chevron.com,24,"51,900",Chevron,2018
33,Michael C. Kaufmann,Wholesalers,Wholesalers: Health Care,"Dublin, Ohio",http://www.cardinalhealth.com,21,"40,400",Cardinal Health,2018
34,W. Craig Jelinek,Retailing,General Merchandisers,"Issaquah, Wash.",http://www.costco.com,24,"182,000",Costco,2018
35,Chen Zhixin,Motor Vehicles & Parts,Motor Vehicles & Parts,Shanghai,http://www.saicmotor.com,7,"148,767",SAIC Motor,2018
36,Lowell C. McAdam,Telecommunications,Telecommunications,New York City,http://www.verizon.com,24,"155,400",Verizon,2018
37,Oliver Bate,Financials,"Insurance: Life, Health (stock)",Munich,http://www.allianz.com,24,"140,553",Allianz,2018
38,W. Rodney McMullen,Food & Drug Stores,Food & Drug Stores,Cincinnati,http://www.thekrogerco.com,24,"449,000",Kroger,2018
39,Zhao Huan,Financials,Banks: Commercial and Savings,Beijing,http://www.abchina.com,19,"491,578",Agricultural Bank of China,2018
40,John L. Flannery Jr.,Industrials,Industrial Machinery,Boston,http://www.ge.com,24,"313,000",General Electric,2018
41,Yang Mingsheng,Financials,"Insurance: Life, Health (stock)",Beijing,http://www.chinalife.com.cn,16,"170,517",China Life Insurance,2018
42,Stefano Pessina,Food & Drug Stores,Food & Drug Stores,"Deerfield, Ill.",http://www.walgreensbootsalliance.com,24,"290,000",Walgreens Boots Alliance,2018
43,Jean-Laurent Bonnafe,Financials,Banks: Commercial and Savings,Paris,http://www.bnpparibas.com,24,"189,509",BNP Paribas,2018
44,Masatsugu Nagato,Financials,"Insurance: Life, Health (stock)",Tokyo,http://www.japanpost.jp,22,"245,863",Japan Post Holdings,2018
45,Chen Siqing,Financials,Banks: Commercial and Savings,Beijing,http://www.boc.cn,24,"311,133",Bank of China,2018
46,James Dimon,Financials,Banks: Commercial and Savings,New York City,http://www.jpmorganchase.com,24,"252,539",JPMorgan Chase & Co.,2018
47,Timothy J. Mayopoulos,Financials,Diversified Financials,Washington,http://www.fanniemae.com,21,"7,200",Fannie Mae,2018
48,Alexey B. Miller,Energy,Energy,Moscow,http://www.gazprom.com,22,"469,600",Gazprom,2018
49,Michael A. Wells,Financials,"Insurance: Life, Health (stock)",London,http://www.prudential.co.uk,23,"24,711",Prudential,2018
50,-,Motor Vehicles & Parts,Motor Vehicles & Parts,Munich,http://www.bmwgroup.com,24,"129,932",BMW Group,2018
51,Larry Page,Technology,Internet Services and Retailing,"Mountain View, Calif.",http://www.abc.xyz,10,"80,110",Alphabet,2018
52,Li Yue,Telecommunications,Telecommunications,Beijing,http://www.10086.cn,18,"467,532",China Mobile Communications,2018
53,Hiroto Saikawa,Motor Vehicles & Parts,Motor Vehicles & Parts,"Yokohama, Japan",http://www.nissan-global.com,24,"148,872",Nissan Motor,2018
54,Hiroo Unoura,Telecommunications,Telecommunications,Tokyo,http://www.ntt.co.jp,24,"282,533",Nippon Telegraph & Telephone,2018
55,Zhang Zongyan,Engineering & Construction,Engineering & Construction,Beijing,http://www.crecg.com,4,"290,535",China Railway Engineering Group,2018
56,Craig A. Menear,Retailing,Specialty Retailers,Atlanta,http://www.homedepot.com,24,"413,000",Home Depot,2018
57,Meng Fengchao,Engineering & Construction,Engineering & Construction,Beijing,http://www.crcc.cn,7,"364,964",China Railway Construction,2018
58,Philippe R. Donnet,Financials,"Insurance: Life, Health (stock)","Trieste, Italy",http://www.generali.com,24,"71,327",Assicurazioni Generali,2018
59,Brian T. Moynihan,Financials,Banks: Commercial and Savings,"Charlotte, N.C.",http://www.bankofamerica.com,24,"209,376",Bank of America Corp.,2018
60,Timothy C. Wentworth,Health Care,Health Care: Pharmacy and Other Services,St. Louis,http://www.express-scripts.com,16,"26,600",Express Scripts Holding,2018
61,Timothy J. Sloan,Financials,Banks: Commercial and Savings,San Francisco,http://www.wellsfargo.com,21,"262,700",Wells Fargo,2018
62,Vagit Y. Alekperov,Energy,Petroleum Refining,Moscow,http://www.lukoil.com,19,"103,600",Lukoil,2018
63,Dennis A. Muilenburg,Aerospace & Defense,Aerospace & Defense,Chicago,http://www.boeing.com,24,"140,800",Boeing,2018
64,Li Shaozhu,Motor Vehicles & Parts,Motor Vehicles & Parts,"Wuhan, China",http://www.dfmc.com.cn,9,"180,433",Dongfeng Motor,2018
65,Josef Kaeser,Industrials,Industrial Machinery,Munich,http://www.siemens.com,24,"372,000",Siemens,2018
66,Greg C. Garland,Energy,Petroleum Refining,Houston,http://www.phillips66.com,6,"14,600",Phillips 66,2018
67,Alexandre Bompard,Food & Drug Stores,Food & Drug Stores,"Boulogne-Billancourt, France",http://www.carrefour.com,24,"378,923",Carrefour,2018
68,Ulf Mark Schneider,"Food, Beverages & Tobacco",Food Consumer Products,"Vevey, Switzerland",http://www.nestle.com,24,"323,000",Nestle,2018
69,Gail K. Boudreaux,Health Care,Health Care: Insurance and Managed Care,Indianapolis,http://www.antheminc.com,17,"56,000",Anthem,2018
70,Satya Nadella,Technology,Computer Software,"Redmond, Wash.",http://www.microsoft.com,21,"124,000",Microsoft,2018
71,Ren Zhengfei,Technology,Network and Other Communications Equipment,"Shenzhen, China",http://www.huawei.com,9,"180,000",Huawei Investment & Holding,2018
72,Ivan de Souza Monteiro,Energy,Petroleum Refining,Rio de Janeiro,http://www.petrobras.com.br,24,"62,703",Petrobras,2018
73,Joseph W. Gorder,Energy,Petroleum Refining,San Antonio,http://www.valero.com,18,"10,015",Valero Energy,2018
74,Volkmar Denner,Motor Vehicles & Parts,Motor Vehicles & Parts,"Stuttgart, Germany",http://www.bosch.com,24,"402,166",Bosch Group,2018
75,Michael L. Corbat,Financials,Banks: Commercial and Savings,New York City,http://www.citigroup.com,24,"209,000",Citigroup,2018
76,Jose Antonio Alvarez,Financials,Banks: Commercial and Savings,Madrid,http://www.santander.com,24,"198,960",Banco Santander,2018
77,Won-Hee Lee,Motor Vehicles & Parts,Motor Vehicles & Parts,Seoul,http://worldwide.hyundai.com,23,"122,217",Hyundai Motor,2018
78,Toshiaki Higashihara,Technology,"Electronics, Electrical Equip.",Tokyo,http://www.hitachi.com,24,"307,275",Hitachi,2018
79,Brian L. Roberts,Telecommunications,Telecommunications,Philadelphia,http://www.comcastcorporation.com,16,"164,000",Comcast,2018
80,Timotheus Hottges,Telecommunications,Telecommunications,"Bonn, Germany",http://www.telekom.com,24,"216,000",Deutsche Telekom,2018
81,Philippe Brassac,Financials,Banks: Commercial and Savings,Paris,http://www.credit-agricole.com,24,"73,707",Credit Agricole,2018
82,Francesco Starace,Energy,Utilities,Rome,http://www.enel.com,24,"62,900",Enel,2018
83,Tae Won Chey /Dong Hyun Jang,Energy,Petroleum Refining,Seoul,http://www.sk.co.kr,3,"93,000",SK Holdings,2018
84,Masayoshi Son,Telecommunications,Telecommunications,Tokyo,http://www.softbank.jp,11,"74,952",SoftBank Group,2018
85,Luo Xi,Health Care,Pharmaceuticals,Hong Kong,http://www.crc.com.hk,9,"423,169",China Resources,2018
86,Yang Hua,Energy,"Mining, Crude-Oil Production",Beijing,http://www.cnooc.com.cn,12,"97,986",China National Offshore Oil,2018
87,Klaus Schafer,Energy,Energy,-,http://www.uniper.energy,2,"12,575",Uniper,2018
