,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
88,Claudio Descalzi,Energy,Petroleum Refining,Rome,http://www.eni.com,24,"32,934",ENI,2018
89,John Flint,Financials,Banks: Commercial and Savings,London,http://www.hsbc.com,24,"228,687",HSBC Holdings,2018
90,Liu Qitao,Engineering & Construction,Engineering & Construction,Beijing,http://www.ccccltd.cn,11,"161,434",China Communications Construction,2018
91,Virginia M. Rometty,Technology,Information Technology Services,"Armonk, N.Y.",http://www.ibm.com,24,"397,800",IBM,2018
92,Michael S. Dell,Technology,"Computers, Office Equipment","Round Rock, Texas",http://www.delltechnologies.com,18,"145,000",Dell Technologies,2018
93,Jean-Bernard Levy,Energy,Utilities,Paris,http://www.edf.fr,24,"151,073",Electricite de France,2018
94,Michael L. Tipsord,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, Ill.",http://www.statefarm.com,24,"65,664",State Farm Insurance Cos.,2018
95,Yan Hao,Engineering & Construction,Engineering & Construction,"Urumqi, China",http://www.cpcg.com.cn,5,"365,425",Pacific Construction Group,2018
96,Kenichiro Yoshida,Technology,"Electronics, Electrical Equip.",Tokyo,http://www.sony.net,24,"117,300",Sony,2018
97,Ning Gaoning,Wholesalers,Trading,Beijing,http://www.sinochem.com,23,"63,799",Sinochem Group,2018
98,Yukio Uchida,Energy,Petroleum Refining,Tokyo,http://www.hd.jxtg-group.co.jp,24,"39,784",JXTG Holdings,2018
99,Alex Gorsky,Health Care,Pharmaceuticals,"New Brunswick, N.J.",http://www.jnj.com,18,"134,000",Johnson & Johnson,2018
100,Qiao Baoping,Energy,"Mining, Crude-Oil Production",Beijing,http://www.shenhuagroup.com.cn,9,"313,264",China Energy Investment,2018
101,David J. Lewis,Food & Drug Stores,Food & Drug Stores,"Welwyn Garden City, Britain",http://www.tescoplc.com,24,"327,916",Tesco,2018
102,Motoya Okada,Food & Drug Stores,Food & Drug Stores,"Chiba, Japan",http://www.aeon.info,24,"279,625",AEON,2018
103,Isabelle Kocher,Energy,Energy,"Courbevoie, France",http://www.engie.com,23,"155,128",Engie,2018
104,Thomas Enders,Aerospace & Defense,Aerospace & Defense,"Leiden, Netherlands",http://www.airbusgroup.com,24,"129,442",Airbus Group,2018
105,Donald H. Layton,Financials,Diversified Financials,"McLean, Va.",http://www.freddiemac.com,22,"6,165",Freddie Mac,2018
106,Carlos Alberto Trevino Medina,Energy,"Mining, Crude-Oil Production",Mexico City,http://www.pemex.com,24,"131,590",Pemex,2018
107,Carlos Tavares,Motor Vehicles & Parts,Motor Vehicles & Parts,"Rueil-Malmaison, France",http://www.groupe-psa.com,24,"177,757",Peugeot,2018
108,Tang Fuping,Materials,Metals,Beijing,http://www.minmetals.com,12,"203,786",China Minmetals,2018
109,Li Qingkui,Energy,Utilities,"Guangzhou, China",http://www.csg.cn,14,"299,842",China Southern Power Grid,2018
110,Wang Wenyin,Materials,Metals,"Shenzhen, China",http://www.amer.com.cn,6,"17,886",Amer International Group,2018
111,-,Chemicals,Chemicals,"Ludwigshafen, Germany",http://www.basf.com,24,"111,112",BASF,2018
112,Li Guohua,Transportation,"Mail, Package, and Freight Delivery",Beijing,http://www.chinapost.com.cn,8,"948,239",China Post Group,2018
113,Kazuhiro Tsuga,Technology,"Electronics, Electrical Equip.","Osaka, Japan",http://www.panasonic.com/global,24,"274,143",Panasonic,2018
114,Igor I. Sechin,Energy,Petroleum Refining,Moscow,http://www.rosneft.com,13,"318,000",Rosneft Oil,2018
115,Brian C. Cornell,Retailing,General Merchandisers,Minneapolis,http://www.target.com,24,"345,000",Target,2018
116,Miao Jianmin,Financials,Insurance: Property and Casualty (Stock),Beijing,http://www.picc.com.cn,9,"215,362",People’s Insurance Co. of China,2018
117,Dick Boer,Food & Drug Stores,Food & Drug Stores,"Zaandam, Netherlands",http://www.aholddelhaize.com,24,"224,000",Royal Ahold Delhaize,2018
118,Frank Appel,Transportation,"Mail, Package, and Freight Delivery","Bonn, Germany",http://www.dpdhl.com,24,"472,208",Deutsche Post DHL Group,2018
119,Joachim Wenning,Financials,"Insurance: Life, Health (stock)",Munich,http://www.munichre.com,24,"42,410",Munich Re Group,2018
120,Frederic Oudea,Financials,Banks: Commercial and Savings,Paris,http://www.societegenerale.com,22,"153,168",Societe Generale,2018
121,Yu Xubo,Wholesalers,Trading,Beijing,http://www.cofco.com,24,"124,266",COFCO,2018
122,Megan J. Brennan,Transportation,"Mail, Package, and Freight Delivery",Washington,http://www.usps.com,24,"573,614",U.S. Postal Service,2018
123,Xu Heyi,Motor Vehicles & Parts,Motor Vehicles & Parts,Beijing,http://www.baicgroup.com.cn,6,"128,735",Beijing Automotive Group,2018
124,Xu Liuping,Motor Vehicles & Parts,Motor Vehicles & Parts,"Changchun, China",http://www.faw.com.cn,14,"123,658",China FAW Group,2018
125,Hiroshi Shimizu,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan",http://www.nissay.co.jp,24,"86,394",Nippon Life Insurance,2018
126,Lakshmi N. Mittal,Materials,Metals,Luxembourg,http://www.arcelormittal.com,14,"197,108",ArcelorMittal,2018
127,Marvin R. Ellison,Retailing,Specialty Retailers,"Mooresville, N.C.",http://www.lowes.com,21,"255,000",Lowe’s,2018
128,Takehiko Kakiuchi,Wholesalers,Trading,Tokyo,http://www.mitsubishicorp.com,24,"77,476",Mitsubishi,2018
129,Fumiya Kokubu,Wholesalers,Trading,Tokyo,http://www.marubeni.com,24,"45,239",Marubeni,2018
130,Gary R. Heminger,Energy,Petroleum Refining,"Findlay, Ohio",http://www.marathonpetroleum.com,7,"43,800",Marathon Petroleum,2018
131,Wang Yuzhu,Wholesalers,Trading,"Tianjin, China",http://www.tewoo.com,7,"17,105",Tewoo Group,2018
132,-,Financials,Banks: Commercial and Savings,Sao Paulo,http://www.itau.com.br,5,"99,332",Itau Unibanco Holding,2018
133,Carlos Ghosn,Motor Vehicles & Parts,Motor Vehicles & Parts,"Boulogne-Billancourt, France",http://www.groupe.renault.com,24,"181,344",Renault,2018
134,David S. Taylor,Household Products,Household and Personal Products,Cincinnati,http://www.pg.com,24,"95,000",Procter & Gamble,2018
135,Steven A. Kandarian,Financials,"Insurance: Life, Health (stock)",New York City,http://www.metlife.com,24,"49,000",MetLife,2018
136,Sanjiv Singh,Energy,Petroleum Refining,New Delhi,http://www.iocl.com,24,"35,149",Indian Oil,2018
137,David P. Abney,Transportation,"Mail, Package, and Freight Delivery",Atlanta,http://www.ups.com,24,"346,415",UPS,2018
138,Alexander R. Wynaendts,Financials,"Insurance: Life, Health (stock)",The Hague,http://www.aegon.com,23,"28,318",Aegon,2018
139,Yin Jiaxu,Aerospace & Defense,Aerospace & Defense,Beijing,http://www.norincogroup.com.cn,9,"226,338",China North Industries Group,2018
140,Yang Jie,Telecommunications,Telecommunications,Beijing,http://www.chinatelecom.com.cn,19,"412,868",China Telecommunications,2018
141,Mario Greco,Financials,Insurance: Property and Casualty (Stock),Zurich,http://www.zurich.com,24,"51,633",Zurich Insurance Group,2018
142,Mark Wilson,Financials,"Insurance: Life, Health (stock)",London,http://www.aviva.com,24,"30,021",Aviva,2018
143,Indra K. Nooyi,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, N.Y.",http://www.pepsico.com,24,"263,000",PepsiCo,2018
144,Seiji Inagaki,Financials,"Insurance: Life, Health (stock)",Tokyo,http://www.dai-ichi-life-hd.com,24,"62,943",Dai-ichi Life Holdings,2018
145,Robert H. Swan,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",http://www.intel.com,24,"102,700",Intel,2018
146,Edward D. Breen,Chemicals,Chemicals,"Wilmington, Del.",http://www.dow-dupont.com,24,"98,000",DowDuPont,2018
147,Mukesh D. Ambani,Energy,Petroleum Refining,Mumbai,http://www.ril.com,15,"187,729",Reliance Industries,2018
148,Chang Zhenming,Financials,Diversified Financials,Beijing,http://www.group.citic,10,"258,433",CITIC Group,2018
149,Eldar Saetre,Energy,Petroleum Refining,"Stavanger, Norway",http://www.equinor.com,24,"20,245",Equinor,2018
150,Francois Perol,Financials,Banks: Commercial and Savings,Paris,http://www.groupebpce.fr,9,"104,770",Groupe BPCE,2018
151,Juan R. Luciano,"Food, Beverages & Tobacco",Food Production,Chicago,http://www.adm.com,24,"31,300",Archer Daniels Midland,2018
152,Paul Polman,Household Products,Household and Personal Products,London,http://www.unilever.com,24,"160,566",Unilever,2018
153,Mark T. Bertolini,Health Care,Health Care: Insurance and Managed Care,"Hartford, Conn.",http://www.aetna.com,18,"47,950",Aetna,2018
154,Frederick W. Smith,Transportation,"Mail, Package, and Freight Delivery",Memphis,http://www.fedex.com,24,"404,336",FedEx,2018
155,-,Food & Drug Stores,Food & Drug Stores,"Croix, France",http://www.auchanholding.com,22,"341,349",Auchan Holding,2018
156,Robert G. Miller,Food & Drug Stores,Food & Drug Stores,"Boise, Idaho",http://www.albertsonscompanies.com,14,"275,000",Albertsons Cos.,2018
157,Vittorio Colao,Telecommunications,Telecommunications,"Newbury, Britain",http://www.vodafone.com,19,"106,135",Vodafone Group,2018
158,Gregory J. Hayes,Aerospace & Defense,Aerospace & Defense,"Farmington, Conn.",http://www.utc.com,24,"204,700",United Technologies,2018
159,John R. Strangfeld,Financials,"Insurance: Life, Health (stock)","Newark, N.J.",http://www.prudential.com,24,"49,705",Prudential Financial,2018
160,Tan Ruisong,Aerospace & Defense,Aerospace & Defense,Beijing,http://www.avic.com,10,"452,178",Aviation Industry Corp. of China,2018
161,Chen Derong,Materials,Metals,Shanghai,http://www.baowugroup.com,15,"176,518",China Baowu Steel Group,2018
162,Tevin Vongvanich,Energy,Petroleum Refining,Bangkok,http://www.pttplc.com,15,"25,275",PTT,2018
163,Jose Maria Alvarez-Pallete Lopez,Telecommunications,Telecommunications,Madrid,http://www.telefonica.com,24,"122,718",Telefonica,2018
164,Ichiro Kashitani,Wholesalers,Trading,"Nagoya, Japan",http://www.toyota-tsusho.com,10,"56,827",Toyota Tsusho,2018
165,Octavio de Lazari,Financials,Banks: Commercial and Savings,"Osasco, Brazil",http://www.bradesco.com.br,22,"86,317",Banco Bradesco,2018
166,Ren Jianxin,Chemicals,Chemicals,Beijing,http://www.chemchina.com,8,"142,083",ChemChina,2018
167,Peng Chun,Financials,Banks: Commercial and Savings,Shanghai,http://www.bankcomm.com,10,"94,085",Bank of Communications,2018
168,Severin Schwan,Health Care,Pharmaceuticals,"Basel, Switzerland",http://www.roche.com,24,"93,734",Roche Group,2018
169,Carlos Brito,"Food, Beverages & Tobacco",Beverages,"Leuven, Belgium",http://www.ab-inbev.com,13,"182,915",Anheuser-Busch InBev,2018
170,Ralph Hamers,Financials,Banks: Commercial and Savings,Amsterdam,http://www.ing.com,24,"54,302",ING Group,2018
171,Nigel Wilson,Financials,"Insurance: Life, Health (stock)",London,http://www.legalandgeneralgroup.com,18,"7,570",Legal & General Group,2018
172,-,"Food, Beverages & Tobacco",Food Production,Rotterdam,http://www.ldc.com,5,"17,210",Louis Dreyfus,2018
173,Thomas L. Bene,Wholesalers,Wholesalers: Food and Grocery,Houston,http://www.sysco.com,24,"66,500",Sysco,2018
174,Paulo Rogerio Caffarelli,Financials,Banks: Commercial and Savings,-,http://www.bb.com.br,24,"99,161",Banco do Brasil,2018
175,Robert A. Iger,Media,Entertainment,"Burbank, Calif.",http://www.disney.com,24,"199,000",Disney,2018
176,Nobuyuki Hirano,Financials,Banks: Commercial and Savings,Tokyo,http://www.mufg.jp,17,"117,321",Mitsubishi UFJ Financial Group,2018
177,Seong-Jin Jo,Technology,"Electronics, Electrical Equip.",Seoul,http://www.lg.com,18,"74,000",LG Electronics,2018
178,Ryuichi Isaka,Food & Drug Stores,Food & Drug Stores,Tokyo,http://www.7andi.com,13,"56,606",Seven & I Holdings,2018
179,Daniel Hajj Aboumrad,Telecommunications,Telecommunications,Mexico City,http://www.americamovil.com,12,"191,851",America Movil,2018
180,Richard Qiangdong Liu,Technology,Internet Services and Retailing,Beijing,http://www.jd.com,3,"157,831",JD.com,2018
181,Yan Zhiyong,Engineering & Construction,Engineering & Construction,Beijing,http://www.powerchina.cn,7,"186,234",PowerChina,2018
182,Bruce D. Broussard,Health Care,Health Care: Insurance and Managed Care,"Louisville, Ky.",http://www.humana.com,20,"45,900",Humana,2018
183,Oh-Joon Kwon,Materials,Metals,Seoul,http://www.posco.com,24,"32,287",POSCO,2018
184,Zhang Shiping,Industrials,Textiles,"Shandong, China",http://www.weiqiaocy.com,7,"117,718",Shandong Weiqiao Pioneering Group,2018
185,Tomoaki Kobayakawa,Energy,Utilities,Tokyo,http://www.tepco.co.jp,24,"41,525",Tokyo Electric Power,2018
186,Ian C. Read,Health Care,Pharmaceuticals,New York City,http://www.pfizer.com,24,"90,200",Pfizer,2018
187,JongKap Kim,Energy,Utilities,"Jeollanam-do, South Korea",http://www.kepco.co.kr,24,"45,232",Korea Electric Power,2018
188,-,Financials,Banks: Commercial and Savings,London,http://www.lloydsbankinggroup.com,24,"67,905",Lloyds Banking Group,2018
189,Dion J. Weisler,Technology,"Computers, Office Equipment","Palo Alto, Calif.",http://www.hp.com,24,"49,000",HP,2018
190,Wan Zulkiflee Wan Ariffin,Energy,Petroleum Refining,Kuala Lumpur,http://www.petronas.com,22,"49,911",Petronas,2018
191,Takeshi Kunibe,Financials,Banks: Commercial and Savings,Tokyo,http://www.smfg.co.jp,24,"72,978",Sumitomo Mitsui Financial Group,2018
192,Werner Baumann,Health Care,Pharmaceuticals,"Leverkusen, Germany",http://www.bayer.com,24,"99,820",Bayer,2018
193,She Lulin,Health Care,Pharmaceuticals,Beijing,http://www.sinopharm.com,6,"110,641",Sinopharm,2018
194,Richard J.B. Goyder,Food & Drug Stores,Food & Drug Stores,"Perth, Australia",http://www.wesfarmers.com.au,10,"223,000",Wesfarmers,2018
195,Didier Leveque,Food & Drug Stores,Food & Drug Stores,Paris,http://www.finatis.fr,4,"231,544",Finatis,2018
196,Dinesh K. Sarraf,Energy,"Mining, Crude-Oil Production","Dehradun, India",http://www.ongcindia.com,12,"32,265",Oil & Natural Gas,2018
197,Kosei Shindo,Materials,Metals,Tokyo,http://www.nssmc.com,24,"101,738",Nippon Steel & Sumitomo Metal,2018
198,-,"Food, Beverages & Tobacco",Food Production,Sao Paulo,http://jbss.infoinvest.com.br,9,"235,000",JBS,2018
199,Marillyn A. Hewson,Aerospace & Defense,Aerospace & Defense,"Bethesda, Md.",http://www.lockheedmartin.com,24,"100,000",Lockheed Martin,2018
200,Frederic Lavenir,Financials,"Insurance: Life, Health (stock)",Paris,http://www.cnp.fr,24,"5,171",CNP Assurances,2018
201,Zeng Qinghong,Motor Vehicles & Parts,Motor Vehicles & Parts,"Guangzhou, China",http://www.gagc.com.cn,6,"84,290",Guangzhou Automobile Industry Group,2018
202,Vasant Narasimhan,Health Care,Pharmaceuticals,"Basel, Switzerland",http://www.novartis.com,24,"121,597",Novartis,2018
203,Masahiro Okafuji,Wholesalers,Trading,"Osaka, Japan",http://www.itochu.co.jp,24,"117,074",Itochu,2018
204,Herman O. Gref,Financials,Banks: Commercial and Savings,Moscow,http://www.sberbank.ru,11,"310,277",Sberbank,2018
205,Elmar Degenhart,Motor Vehicles & Parts,Motor Vehicles & Parts,"Hanover, Germany",http://www.continental-corporation.com,16,"235,473",Continental,2018
206,Brian Duperreault,Financials,Insurance: Property and Casualty (Stock),New York City,http://www.aig.com,23,"49,800",AIG,2018
207,Sidney Toledano,Apparel,Apparel,Paris,http://www.dior-finance.com,18,"131,310",Christian Dior,2018
208,Tsuyoshi Nagano,Financials,Insurance: Property and Casualty (Stock),Tokyo,http://www.tokiomarinehd.com,24,"39,191",Tokio Marine Holdings,2018
209,Michael F. Neidorff,Health Care,Health Care: Insurance and Managed Care,St. Louis,http://www.centene.com,3,"33,700",Centene,2018
210,Richard Lutz,Transportation,Railroads,Berlin,http://www.deutschebahn.com,24,"310,935",Deutsche Bahn,2018
211,Charles H. Robbins,Technology,Network and Other Communications Equipment,"San Jose, Calif.",http://www.cisco.com,19,"72,900",Cisco Systems,2018
212,Tian Huiyu,Financials,Banks: Commercial and Savings,"Shenzhen, China",http://www.cmbchina.com,7,"72,530",China Merchants Bank,2018
