id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
193,Ed Bastian,273,"June 6, 1957 (age 62 years), Poughkeepsie, NY",United States,"St. Bonaventure University, Our Lady of Lourdes High School",1957.0,2015.0
194,David M. Cote,275,"1952 (age 68 years), Manchester, NH",United States,"University of New Hampshire (1976), Pembroke Academy School",1952.0,2015.0
195,R. Milton Johnson,277,"December 15, 1956 (age 63 years), Nashville, TN",United States,"Belmont University, Nashville State Community College",1956.0,2015.0
196,Lloyd Blankfein,278,"September 20, 1954 (age 65 years), New York, NY",United States,"Harvard Law School (1978), Harvard College (1975), Harvard University, Thomas Jefferson High School",1954.0,2015.0
197,Gregory J. Goff,279,,,The University of Utah,,2015.0
198,Hongqi,281,,,,,2015.0
199,Ulrich Spiesshofer,284,"March 26, 1964 (age 56 years), Aalen, Germany",Germany,University of Stuttgart,1964.0,2015.0
200,David H. Long,286,"1961 (age 59 years), Liverpool, United Kingdom",United States,Hartwick College,1961.0,2015.0
201,Galen Weston,287,"October 29, 1940 (age 79 years), Marlow, United Kingdom",United Kingdom,"Huron University College, Upper Canada College, Western University",1940.0,2015.0
202,Tidjane Thiam,289,"July 29, 1962 (age 57 years), Côte d'Ivoire"", 'Spouse: Annette Thiam","Ivorian, French","INSEAD Europe Campus (1986–1988), MORE', ""Siblings: Abdel Aziz Thiam, Yamousso Thiam, Augustin Thiam, Papa Ababakar Thiam, Daouda Thiam, N'deye Anna Thiam"", 'Nationality: Ivorian, French",1962.0,2015.0
203,Oscar Munoz,294,"January 1959 (age 61 years), California",United States,"La Quinta High School, Marshall Business School, USC, University of Southern California, Pepperdine University",1959.0,2015.0
204,Theodore A. Mathas,297,"1967 (age 53 years), Norfolk, VA",United States,,1967.0,2015.0
205,David McKay,299,"March 31, 1995 (age 25 years), Melbourne, FL",United States,Viera High School,1995.0,2015.0
206,Safra Catz,300,"December 1, 1961 (age 58 years), Holon, Israel",Israel,"Penn Law (1986), MORE",1961.0,2015.0
207,Mike Coupe,301,"September 26, 1960 (age 59 years), Watford, United Kingdom",United Kingdom,The Weald Community School,1960.0,2015.0
208,Ross McEwan,303,"July 16, 1957 (age 62 years), New Zealand",Zealand,"Hastings Boys' High School, Massey University""",1957.0,2015.0
209,James P. Gorman,306,"July 14, 1958 (age 61 years), Melbourne, Australia","American, Australian","Columbia Business School, Newman College, University of Melbourne, Columbia University, Xavier College', ""Children: Caroline D'Arcy Gorman, Caroline Gorman"", 'Nationality: American, Australian",1958.0,2015.0
210,Sergio Ermotti,308,"May 11, 1960 (age 59 years), Lugano, Switzerland",Switzerland,University of Oxford,1960.0,2015.0
211,Andrew Witty,309,"August 22, 1964 (age 55 years), England, United Kingdom",United Kingdom,"Malbank High School and Sixth Form College, University of Nottingham",1964.0,2015.0
212,Francesco Caio,310,"August 23, 1957 (age 62 years), Naples, Italy",Italy,Politecnico di Milano,1957.0,2015.0
213,Donnie Smith,311,"1959 (age 61 years), Tennessee",Tennessee,University of Tennessee,1959.0,2015.0
214,Michel M. Liès,313,,,,,2015.0
215,Steven Williams,317,,,,,2015.0
