id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
42,Frédéric Oudéa,49,"July 3, 1963 (age 56 years), Paris, France",France,"Sciences Po, École Nationale d'Administration, École Polytechnique""",1963.0,2015.0
43,Timothy J. Mayopoulos,50,"March 7, 1959 (age 61 years), West Reading, PA",United States,"Cornell University, NYU School of Law",1959.0,2015.0
44,W. Craig Jelinek,52,"August 8, 1952 (age 67 years), California",United States,San Diego State University (1975),1952.0,2015.0
45,Dion Weisler,53,"August 20, 1967 (age 52 years), Australia",Australia,Monash University,1967.0,2015.0
46,Rodney McMullen,54,"July 25, 1960 (age 59 years), Pineville, KY",United States,University of Kentucky,1960.0,2015.0
47,Li Yue,55,"1959 (age 61 years), China",China,Beijing University of Posts and Telecommunications,1959.0,2015.0
48,Harald Krüger,56,"October 13, 1965 (age 54 years), Freiburg im Breisgau, Germany",Germany,"RWTH Aachen University (1991), MORE",1965.0,2015.0
49,Philippe Brassac,58,"August 31, 1959 (age 60 years), Nîmes, France",France,ENSAE Paris,1959.0,2015.0
50,Carlos Ghosn,59,"March 9, 1954 (age 66 years), Guajará-Mirim, State of Rondônia, Brazil","Brazilian, Lebanese, French","Mines ParisTech (1978), École Polytechnique (1974), MORE",1954.0,2015.0
51,Jamie Dimon,61,"March 13, 1956 (age 64 years), New York, NY",United States,"Harvard Business School (1982), Tufts University, Browning School",1956.0,2015.0
52,David John Lewis,62,"May 1, 1869, Centre County, PA",United States,,1869.0,2015.0
53,Joe Kaeser,63,"June 23, 1957 (age 62 years), Arnbruck, Germany",Germany,Ostbayerische Technische Hochschule (OTH) Regensburg,1957.0,2015.0
54,Georges Plassat,64,"March 25, 1949 (age 71 years), Bollène, France",France,"Cornell University, EHL - Ecole hôtelière de Lausanne",1949.0,2015.0
55,Hiroo Unoura,65,"January 13, 1949 (age 71 years), Nanao, Ishikawa, Japan",Japan,The University of Tokyo,1949.0,2015.0
56,Tim Wentworth,66,,,"Cornell University, Monroe Community College",,2015.0
57,José Antonio Alvarez,67,"January 6, 1960 (age 60 years), León, Spain",Spain,,1960.0,2015.0
58,Wan Zulkiflee,68,"1961 (age 59 years), Malaysia",Malaysia,Malay College Kuala Kangsar,1961.0,2015.0
59,Francesco Starace,69,"1955 (age 65 years), Rome, Italy",Italy,Politecnico di Milano,1955.0,2015.0
60,Paul Bulcke,70,"September 8, 1954 (age 65 years), Roeselare, Belgium",Belgium,"IMD Business School, Vlerick Business School - Ghent, Katholieke Universiteit Leuven",1954.0,2015.0
61,Guiqing Yao,71,,,,,2015.0
62,Gérard Mestrallet,73,"April 1, 1949 (age 71 years), Paris, France",France,"École Nationale d'Administration, Sciences Po Toulouse, École Polytechnique"", 'Siblings: Michael Mestrallet, Patrick Mestrallet",1949.0,2015.0
63,Michael A. Wells,74,"April 9, 1960 (age 60 years), Canada",Canada,San Diego State University,1960.0,2015.0
64,Eldar Sætre,75,"February 8, 1956 (age 64 years), Vartdal, Norway",Norway,NHH Norwegian School of Economics,1956.0,2015.0
65,Yusuf Alireza,77,,,,,2015.0
66,Jean-Bernard Lévy,78,"March 18, 1955 (age 65 years), Suresnes, France",France,"École Polytechnique, Télécom Paris",1955.0,2015.0
67,Brian Moynihan,80,"October 9, 1959 (age 60 years), Marietta, OH",United States,"Notre Dame Law School (1984), Brown University (1981), University of Notre Dame",1959.0,2015.0
68,Stuart Gulliver,81,"March 9, 1959 (age 61 years), United Kingdom",United Kingdom,"University of Oxford, Worcester College",1959.0,2015.0
69,Ginni Rometty,82,"July 29, 1957 (age 62 years), Chicago, IL",United States,Robert R. McCormick School of Engineering and Applied Science at Northwestern,1957.0,2015.0
70,Gary R. Heminger,83,"Tiffin, OH",United States,"University of Dayton (1982), Tiffin University (1976)",,2015.0
71,George S. Barrett,84,1957 (age 63 years),,"NYU Stern School of Business (1988), Brown University (1977), Staples High School, New York University",1957.0,2015.0
72,Dennis Muilenburg,85,"1964 (age 56 years), Orange City, IA",United States,"Sioux Center Community School District (1982), University of Washington, Iowa State University",1964.0,2015.0
73,Michael Corbat,86,"May 2, 1960 (age 60 years), Bristol, CT",United States,Harvard University (1983),1960.0,2015.0
74,Jeff Bezos,88,"January 12, 1964 (age 56 years), Albuquerque, NM",United States,"Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School",1964.0,2015.0
75,Hiroaki Nakanishi,89,"March 14, 1946 (age 74 years), Yokohama, Kanagawa, Japan",Japan,"Stanford University, The University of Tokyo",1946.0,2015.0
76,John G. Stumpf,90,"September 15, 1953 (age 66 years), Pierz, MN",United States,"University of Minnesota, St. Cloud State University",1953.0,2015.0
77,Ralph Hamers,91,"1966 (age 54 years), Simpelveld, Netherlands",Netherlands,Tilburg University,1966.0,2015.0
78,Pailin Chuchottaworn,93,"July 8, 1956 (age 63 years), Bangkok, Thailand",Thailand,Faculty of Education Chulalongkorn University,1956.0,2015.0
79,Satya Nadella,95,"August 19, 1967 (age 52 years), Hyderabad, India",India,"University of Wisconsin-Milwaukee (1990), MORE', ""Books: Hit Refresh: The Quest to Rediscover Microsoft's Soul and Imagine a Better Future for Everyone"", 'Children: Zain Nadella, Tara Nadella, Divya Nadella",1967.0,2015.0
80,Ma Mingzhe,96,"December 1955 (age 64 years), China",China,Zhongnan University of Economics and Law,1955.0,2015.0
81,Olaf Koch,97,,,,,2015.0
82,Chung Mong-koo,99,"March 19, 1938 (age 82 years), Tongchŏn, North Korea",South Korea,,1938.0,2015.0
83,David S. Taylor,100,"April 20, 1958 (age 62 years), Charlotte, NC",United States,"Duke University (1980), West Charlotte High School",1958.0,2015.0
84,Craig Menear,101,"1958 (age 62 years), Flint, MI",United States,"Eli Broad College of Business, Central High School, Michigan State University",1958.0,2015.0
85,Timotheus Höttges,102,"September 18, 1962 (age 57 years), Solingen, Germany",Germany,University of Cologne,1962.0,2015.0
86,Juan Ricardo Luciano,104,"1962 (age 58 years), Argentina",Argentina,Instituto Tecnológico de Buenos Aires,1962.0,2015.0
87,Lakshmi Mittal,108,"June 15, 1950 (age 69 years), Sadulpur, India",India,,1950.0,2015.0
88,Masayoshi Son,110,"August 11, 1957 (age 62 years), Tosu, Saga, Japan",Japan,"University of California, Berkeley (1980), MORE",1957.0,2015.0
89,Frank Appel,111,"July 29, 1961 (age 58 years), Hamburg, Germany",Germany,"ETH Zürich (2001), Ludwig Maximilian University of Munich",1961.0,2015.0
90,Roberto Setubal,112,"October 13, 1954 (age 65 years), São Paulo, State of São Paulo, Brazil",Brazil,"Stanford University (1979), Polytechnic School of the University of São Paulo (1977)",1954.0,2015.0
91,Zhao Jianguo,113,"January 19, 1988 (age 32 years), Gansu, China",China,,1988.0,2015.0
92,Stefano Pessina,114,"June 4, 1941 (age 78 years), Pescara, Italy",Italy,"University of Milan, Politecnico di Milano",1941.0,2015.0
93,Kaz Hirai,116,"December 22, 1960 (age 59 years), Tokyo, Japan",Japan,"Valley Park Middle School, International Christian University",1960.0,2015.0
94,Brian Cornell,117,"1958 (age 62 years), Queens, New York, NY",United States,"UCLA Anderson School of Management, University of California, Los Angeles",1958.0,2015.0
95,Alex Gorsky,118,"May 24, 1960 (age 59 years), Kansas City, KS",United States,"Wharton School of the University of Pennsylvania, United States Military Academy",1960.0,2015.0
96,Joseph R. Swedish,120,"May 17, 1951 (age 68 years), Richmond, VA",United States,"Benedictine College Preparatory, UNC Charlotte",1951.0,2015.0
97,Steven A. Kandarian,121,"West Hartford, CT",United States,"Georgetown University Law Center, MORE",,2015.0
98,Martin Senn,122,"March 22, 1954, Binningen, Switzerland",Switzerland,,1954.0,2015.0
99,Larry Page,124,"March 26, 1973 (age 47 years), East Lansing, MI",United States,"East Lansing High School (1987–1991), MORE",1973.0,2015.0
100,Michael L. Tipsord,127,"June 20, 1959 (age 60 years), Illinois",Illinois,"Illinois Wesleyan University (1981), University of Illinois at Urbana-Champaign",1959.0,2015.0
101,Carlos Tavares,128,"August 14, 1958 (age 61 years), Lisbon, Portugal",Portugal,École Centrale Paris (1981),1958.0,2015.0
102,Dwi Soetjipto,130,"November 10, 1955 (age 64 years), Surabaya, Indonesia",Indonesia,"Sepuluh Nopember Institute of Technology (ITS), University of Indonesia, Andalas University",1955.0,2015.0
103,Kazuhiro Tsuga,131,"November 14, 1956 (age 63 years), Osaka, Osaka, Japan",Japan,"University of California, Santa Barbara (1986), Osaka University (1979)",1956.0,2015.0
104,Honzokaku Natural Remedies Center,132,,,,,2015.0
105,Donald H. Layton,133,1950 (age 70 years),,Massachusetts Institute of Technology,1950.0,2015.0
106,François Pérol,134,"November 6, 1963 (age 56 years), Le Creusot, France",France,"HEC Paris, École Nationale d'Administration, Sciences Po""",1963.0,2015.0
107,Brian L. Roberts,135,"June 28, 1959 (age 60 years), Philadelphia, PA",United States,"Wharton School of the University of Pennsylvania, University of Pennsylvania, Germantown Academy",1959.0,2015.0
108,Vittorio Colao,136,"October 3, 1961 (age 58 years), Brescia, Italy",Italy,"Harvard Business School, Bocconi University, Harvard University",1961.0,2015.0
109,Megan Brennan,137,"1961 (age 59 years), Pottsville, PA",United States,"MIT Sloan School of Management, Immaculata University",1961.0,2015.0
110,Andrew Stewart Mackenzie,139,"December 20, 1956 (age 63 years), Scotland, United Kingdom",United Kingdom,"University of Bristol, University of St Andrews",1956.0,2015.0
111,César Alierta,140,"May 5, 1945 (age 75 years), Zaragoza, Spain",Spain,"Columbia University (1970), University of Zaragoza (1967), Columbia Business School",1945.0,2015.0
112,Indra Nooyi,141,"October 28, 1955 (age 64 years), Chennai, India",India,"Yale School of Management (1978–1980), MORE",1955.0,2015.0
113,António Horta-Osório,145,"January 28, 1964 (age 56 years), Lisbon, Portugal",Portugal,"INSEAD Europe Campus, Catholic University of Portugal",1964.0,2015.0
114,Motoya Okada,147,"June 17, 1951 (age 68 years), Yokkaichi, Mie, Japan",Japan,Babson College,1951.0,2015.0
115,Gregory J. Hayes,149,United States,United States,"Cornell University, Krannert School of Management, Purdue University",,2015.0
116,Volkmar Denner,150,"November 30, 1956 (age 63 years), Uhingen, Germany",Germany,"University of Stuttgart (1985), University of Stuttgart (1981)",1956.0,2015.0
117,Peter Hancock,152,"London, United Kingdom",United Kingdom,University of Oxford,,2015.0
118,Paul Polman,153,"July 11, 1956 (age 63 years), Enschede, Netherlands",Netherlands,"University of Cincinnati, University of Groningen",1956.0,2015.0
119,Peter Terium,154,,,,,2015.0
120,Daniel Hajj Aboumrad,155,"1966 (age 54 years), Mexico City, Mexico",Mexico,,1966.0,2015.0
121,Oh-Joon Kwon,162,"July 6, 1950 (age 69 years)",,"University of Pittsburgh (1981–1985), MORE",1950.0,2015.0
122,Alexander Wynaendts,163,,,,,2015.0
123,Jürgen Fitschen,164,"September 1, 1948 (age 71 years), Harsefeld, Germany",Germany,University of Hamburg,1948.0,2015.0
124,Frédéric Lavenir,166,"June 11, 1960 (age 59 years)",,HEC Paris,1960.0,2015.0
125,David P. Abney,168,"1956 (age 64 years), Greenwood, MS",United States,"Delta State University, Pillow Academy",1956.0,2015.0
126,Andrew N. Liveris,169,"May 5, 1954 (age 66 years), Darwin, Australia","American, Australian","The University of Queensland (1975), Darwin High School, Brisbane State High School",1954.0,2015.0
127,Mark Bertolini,170,"1956 (age 64 years), Detroit, MI",United States,"Wayne State University, Cornell University",1956.0,2015.0
128,Richard Goyder,171,"1960 (age 60 years), Tambellup, Australia",Australia,,1960.0,2015.0
129,Soren Schroder,172,"Aarhus, Denmark",Denmark,Connecticut College,,2015.0
130,Bon-Joon Koo,175,"December 24, 1951 (age 68 years)",,"The University of Chicago (1982), Seoul National University (1978), Kyungbock High School (1970)",1951.0,2015.0
131,Robert Niblock,176,"1963 (age 57 years), Florida",Florida,UNC Charlotte (1984),1963.0,2015.0
132,Herman Gref,177,"February 8, 1964 (age 56 years), Panfilovo, Kazakhstan",Russia,"Saint Petersburg State University (1990–1993), MORE",1964.0,2015.0
133,Marijn Dekkers,178,"September 22, 1957 (age 62 years), Tilburg, Netherlands",Netherlands,"Radboud University Nijmegen, Eindhoven University of Technology",1957.0,2015.0
134,Heinrich Hiesinger,179,"May 25, 1960 (age 59 years), Bopfingen, Germany",Germany,Technische Universität München,1960.0,2015.0
135,Ryan Lance,180,"Butte, MT",United States,"Montana Tech (1984), Great Falls High School",,2015.0
136,Brian Krzanich,182,"May 9, 1960 (age 59 years), Santa Clara County, CA",United States,San José State University (1982),1960.0,2015.0
137,Toshifumi Suzuki,184,"December 1, 1932 (age 87 years), Sakaki, Nagano, Japan",Japan,Chuo University,1932.0,2015.0
138,Luiz Carlos Trabuco Cappi,185,"October 6, 1951 (age 68 years), Marília, State of São Paulo, Brazil",Brazil,"Universidade Estadual Paulista em Marília, Fundação Escola de Sociologia e Política de São Paulo",1951.0,2015.0
139,Chang Zhenming,186,"October 1956 (age 63 years), China",China,"Tsinghua University High School, Beijing International Studies University",1956.0,2015.0
140,Douglas R. Oberhelman,187,"February 25, 1953 (age 67 years), Peoria, IL",United States,Millikin University,1953.0,2015.0
141,Josu Jon Imaz,188,"September 6, 1963 (age 56 years), Zumarraga, Spain",Spain,Campus De Bizkaia - Campus of Biscay,1963.0,2015.0
142,Severin Schwan,189,"November 17, 1967 (age 52 years), Austria",Austria,"University of York, University of Innsbruck",1967.0,2015.0
143,Carlos Ghosn,191,"March 9, 1954 (age 66 years), Guajará-Mirim, State of Rondônia, Brazil","Brazilian, Lebanese, French","Mines ParisTech (1978), École Polytechnique (1974), MORE",1954.0,2015.0
144,Pierre-André de Chalendar,192,"April 12, 1958 (age 62 years), Vichy, France",France,"ESSEC Business School, Établissement La Rochefoucauld : École, collège, et lycée catholique",1958.0,2015.0
