id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
104,Wu Xiaohui,140,"October 1966 (age 53 years), Wenzhou, China",China,,1966.0,2017.0
105,Carlos Tavares,141,"August 14, 1958 (age 61 years), Lisbon, Portugal",Portugal,École Centrale Paris (1981),1958.0,2017.0
106,Ning Gaoning,144,"November 9, 1958 (age 61 years), Binzhou, China",China,"Joseph M. Katz Graduate School of Business, Shandong University, University of Pittsburgh",1958.0,2017.0
107,Brian Krzanich,145,"May 9, 1960 (age 59 years), Santa Clara County, CA",United States,San José State University (1982),1960.0,2017.0
108,Takehiko Kakiuchi,146,"July 31, 1955 (age 64 years), Hyogo, Japan",Japan,Hyogo Prefectural Nagata High School,1955.0,2017.0
109,Alexander Wynaendts,148,,,,,2017.0
110,John Strangfeld,149,1954 (age 66 years),,"University of Virginia, Susquehanna University, Darden School of Business - University of Virginia",1954.0,2017.0
111,Vittorio Colao,150,"October 3, 1961 (age 58 years), Brescia, Italy",Italy,"Harvard Business School, Bocconi University, Harvard University",1961.0,2017.0
112,Paul Polman,151,"July 11, 1956 (age 63 years), Enschede, Netherlands",Netherlands,"University of Cincinnati, University of Groningen",1956.0,2017.0
113,José Antonio González Anaya,153,"June 7, 1967 (age 52 years), Coatzacoalcos, Mexico",Mexico,"Massachusetts Institute of Technology, Stanford University, Harvard University, Asheville School",1967.0,2017.0
114,José María Álvarez-Pallete López,154,"December 12, 1963 (age 56 years), Madrid, Spain",Spain,"Complutense University of Madrid, IPADE Business School, Université Libre de Bruxelles",1963.0,2017.0
115,Luiz Carlos Trabuco Cappi,155,"October 6, 1951 (age 68 years), Marília, State of São Paulo, Brazil",Brazil,"Universidade Estadual Paulista em Marília, Fundação Escola de Sociologia e Política de São Paulo",1951.0,2017.0
116,Gregory J. Hayes,156,United States,United States,"Cornell University, Krannert School of Management, Purdue University",,2017.0
117,Lakshmi Mittal,157,"June 15, 1950 (age 69 years), Sadulpur, India",India,,1950.0,2017.0
118,Carlos Ghosn,158,"March 9, 1954 (age 66 years), Guajará-Mirim, State of Rondônia, Brazil","Brazilian, Lebanese, French","Mines ParisTech (1978), École Polytechnique (1974), MORE",1954.0,2017.0
119,Igor Sechin,159,"September 7, 1960 (age 59 years), Russian Soviet Federative Socialist Republic",Republic,Saint Petersburg State University,1960.0,2017.0
120,Zhang Shiping,160,"November 25, 1946, China",China,Anhui University of Finance and Economics,1946.0,2017.0
121,Gary R. Heminger,161,"Tiffin, OH",United States,"University of Dayton (1982), Tiffin University (1976)",,2017.0
122,Robert Allen Iger,162,"February 10, 1951 (age 69 years), New York, NY",United States,"Ithaca College (1973), Oceanside High School, Roy H. Park School of Communications, The Center for Early Education",1951.0,2017.0
123,Ralph Hamers,164,"1966 (age 54 years), Simpelveld, Netherlands",Netherlands,Tilburg University,1966.0,2017.0
124,Dick Boer,166,"August 31, 1957 (age 62 years), Axel, Netherlands",Netherlands,,1957.0,2017.0
125,Bruce D. Broussard,167,1963 (age 57 years),,,1963.0,2017.0
126,Ryūichi Isaka,168,"October 4, 1957 (age 62 years), Tokyo, Japan",Japan,Aoyama Gakuin,1957.0,2017.0
127,Severin Schwan,170,"November 17, 1967 (age 52 years), Austria",Austria,"University of York, University of Innsbruck",1967.0,2017.0
128,Chang Zhenming,173,"October 1956 (age 63 years), China",China,"Tsinghua University High School, Beijing International Studies University",1956.0,2017.0
129,Ian C. Read,174,"1953 (age 67 years), Forfar, United Kingdom",United Kingdom,"Imperial College London (1974), Department of Chemical Engineering, Imperial College London",1953.0,2017.0
130,Werner Baumann,175,"October 6, 1962 (age 57 years), Krefeld, Germany",Germany,"University of Cologne, RWTH Aachen University",1962.0,2017.0
131,Brian Duperreault,176,"May 8, 1947 (age 72 years), Hamilton, Bermuda",Bermuda,"Saint Joseph's University, Trenton Catholic Academy""",1947.0,2017.0
132,Daniel Hajj Aboumrad,177,"1966 (age 54 years), Mexico City, Mexico",Mexico,,1966.0,2017.0
133,Marillyn Hewson,179,"1954 (age 66 years), Junction City, KS",United States,"Columbia Business School, The University of Alabama, Harvard Business School",1954.0,2017.0
134,William J. Delaney III,180,,,"Wharton School of the University of Pennsylvania (1982), University of Notre Dame (1977)",,2017.0
135,Frederick W. Smith,181,"August 11, 1944 (age 75 years), Marks, MS",United States,"Yale University (1962–1966), Memphis University School, Presbyterian Day School",1944.0,2017.0
136,Meg Whitman,182,"August 4, 1956 (age 63 years), Cold Spring Harbor, NY",United States,"Harvard Business School (1977–1979), MORE",1956.0,2017.0
137,Wang Wenyin,184,"1968 (age 52 years), Anhui, China",China,"Anhui Qianshan Yezhai Middle School, Nanjing University",1968.0,2017.0
138,Wan Zulkiflee,185,"1961 (age 59 years), Malaysia",Malaysia,Malay College Kuala Kangsar,1961.0,2017.0
139,Chuck Robbins,188,"Grayson, GA",United States,"University of North Carolina at Chapel Hill (1983–1987), Rocky Mt High School",,2017.0
140,Wesley Mendonça Batista,192,"December 8, 1972 (age 47 years), Anápolis, State of Goiás, Brazil",Brazil,,1972.0,2017.0
141,Tevin Vongvanich,193,"August 31, 1958 (age 61 years), Bangkok, Thailand",Thailand,"Chulalongkorn University, Rice University",1958.0,2017.0
142,Tsuyoshi Nagano,194,,,,,2017.0
143,Dion Weisler,195,"August 20, 1967 (age 52 years), Australia",Australia,Monash University,1967.0,2017.0
144,Rolf Martin Schmitz,196,"June 17, 1957 (age 62 years), Mönchengladbach, Germany",Germany,RWTH Aachen University,1957.0,2017.0
145,Andrew N. Liveris,197,"May 5, 1954 (age 65 years), Darwin, Australia","American, Australian","The University of Queensland (1975), Darwin High School, Brisbane State High School",1954.0,2017.0
146,Richard Goyder,199,"1960 (age 60 years), Tambellup, Australia",Australia,,1960.0,2017.0
147,Frédéric Lavenir,201,"June 11, 1960 (age 59 years)",,HEC Paris,1960.0,2017.0
148,Seong-Jin Cho,202,"May 28, 1994 (age 25 years), Seoul, South Korea",South Korea,"Conservatoire National Supérieur de Musique et de Danse de Paris, MORE",1994.0,2017.0
149,Ma Guoqiang,205,"November 1963 (age 56 years), Dingzhou, Baoding, China",China,"Huazhong University of Science and Technology, MORE",1963.0,2017.0
150,William J. Randall,206,"July 16, 1909, Independence, MO",United States,"UMKC School of Law, University of Missouri",1909.0,2017.0
151,Carlos Brito,207,"1960 (age 60 years), Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,"Stanford Graduate School of Business, Universidade Federal do Rio de Janeiro",1960.0,2017.0
152,Eldar Sætre,208,"February 8, 1956 (age 64 years), Vartdal, Norway",Norway,NHH Norwegian School of Economics,1956.0,2017.0
153,Oh-Joon Kwon,209,"July 6, 1950 (age 69 years)",,"University of Pittsburgh (1981–1985), MORE",1950.0,2017.0
154,Stéphane Richard,211,"August 24, 1961 (age 58 years), Gironde, France",France,HEC Paris,1961.0,2017.0
155,Elmar Degenhart,214,"January 29, 1959 (age 61 years), Dossenheim, Germany",Germany,University of Stuttgart,1959.0,2017.0
156,R. Milton Johnson,215,"December 15, 1956 (age 63 years), Nashville, TN",United States,"Belmont University, Nashville State Community College",1956.0,2017.0
157,Arundhati Bhattacharya,218,"March 18, 1956 (age 64 years), Kolkata, India",India,"St. Xavier's School (Bokaro), Jadavpur University, Lady Brabourne College"", 'Children: Sukrita Bhattacharya",1956.0,2017.0
158,Christian Mumenthaler,221,"June 21, 1969 (age 50 years)",,ETH Zürich,1969.0,2017.0
159,Yu Yong MD,222,,,,,2017.0
160,Carlos Torres Vila,224,"February 24, 1966 (age 54 years), Salamanca, Spain",Spain,"MIT Sloan School of Management, Massachusetts Institute of Technology, UNED",1966.0,2017.0
161,Heinrich Hiesinger,225,"May 25, 1960 (age 59 years), Bopfingen, Germany",Germany,Technische Universität München,1960.0,2017.0
162,Pierre-André de Chalendar,226,"April 12, 1958 (age 62 years), Vichy, France",France,"ESSEC Business School, Établissement La Rochefoucauld : École, collège, et lycée catholique",1958.0,2017.0
163,Yang Yuanqing,227,"November 12, 1964 (age 55 years), Hefei, China",China,"Shanghai Jiao Tong University, University of Science and Technology of China",1964.0,2017.0
164,Xavier Huillard,228,"June 27, 1954 (age 65 years), Paris, France",France,"École des ponts ParisTech, École Polytechnique",1954.0,2017.0
165,Kosei Shindo,229,"September 14, 1949 (age 70 years), Akita, Japan",Japan,Harvard Business School,1949.0,2017.0
166,Soren Schroder,230,"Aarhus, Denmark",Denmark,Connecticut College,,2017.0
167,Johannes Teyssen,232,"October 9, 1959 (age 60 years), Hildesheim, Germany",Germany,University of Göttingen,1959.0,2017.0
168,Herman Gref,233,"February 8, 1964 (age 56 years), Panfilovo, Kazakhstan",Russia,"Saint Petersburg State University (1990–1993), MORE",1964.0,2017.0
169,Sidney Toledano,235,"July 25, 1951 (age 68 years), Casablanca, Morocco",Morocco,,1951.0,2017.0
170,James Quincey,236,"January 8, 1965 (age 55 years), London, United Kingdom",United Kingdom,"King Edward's School, University of Liverpool""",1965.0,2017.0
171,Kuok Khoon Hong,240,"1951 (age 69 years), Singapore",Singapore,"English College Johore Bahru, NUS Business School, Desautels Faculty of Management",1951.0,2017.0
172,Olivier Brandicourt,241,"February 1956 (age 64 years), France",France,Paris Descartes University,1956.0,2017.0
173,Theodore A. Mathas,244,"1967 (age 53 years), Norfolk, VA",United States,,1967.0,2017.0
174,Guenter Butschek,248,"October 21, 1960 (age 59 years)",,Baden-Württemberg Cooperative State University,1960.0,2017.0
175,Donald Guloien,251,"April 27, 1957 (age 62 years), Parry Sound",Sound,University of Toronto - St. George Campus,1957.0,2017.0
176,Doug Parker,254,1961 (age 59 years),,"Vanderbilt University, Albion College, Owen Graduate School of Management",1961.0,2017.0
177,Kenneth C. Frazier,256,"December 17, 1954 (age 65 years), Philadelphia, PA",United States,"Harvard Law School (1978), Penn State University (1975), Northeast High School",1954.0,2017.0
178,David Cordani,257,"February 10, 1966 (age 54 years), Waterbury, CT",United States,"Texas A&M University, University of Hartford",1966.0,2017.0
179,Ed Bastian,258,"June 6, 1957 (age 62 years), Poughkeepsie, NY",United States,"St. Bonaventure University, Our Lady of Lourdes High School",1957.0,2017.0
180,Darius Adamczyk,261,"February 8, 1966 (age 54 years), Poland",United States,"Harvard University, Syracuse University, Michigan State University",1966.0,2017.0
181,Liu Qiangdong,262,"Lailongzhen, Suqian, China",China,"China Europe International Business School, Renmin University of China",,2017.0
182,Jim Umpleby,265,"1958 (age 62 years), Highland, IN",United States,"Rose-Hulman Institute of Technology (1980), Highland High School",1958.0,2017.0
183,David H. Long,266,"1961 (age 59 years), Liverpool, United Kingdom",United States,Hartwick College,1961.0,2017.0
184,Paul Desmarais Jr.,267,"July 3, 1954 (age 65 years), Greater Sudbury, Canada",Canada,"INSEAD Europe Campus (1979), Lakefield College School, McGill University",1954.0,2017.0
185,James P. Gorman,268,"July 14, 1958 (age 61 years), Melbourne, Australia",Australia,"Columbia Business School, Newman College, University of Melbourne, Columbia University, Xavier College', ""Children: Caroline D'Arcy Gorman, Caroline Gorman"", 'Siblings: Katherine Williams",1958.0,2017.0
186,Chen Jianhua,269,"March 1956 (age 64 years), Lufeng, Guangdong, Shanwei, China",China,Nanjing Normal University,1956.0,2017.0
187,Alistair Phillips-Davies,270,"1967 (age 53 years), Wiltshire, United Kingdom",United Kingdom,"St Catharine's College""",1967.0,2017.0
188,Roger W. Crandall,271,,,,,2017.0
189,Lloyd Blankfein,272,"September 20, 1954 (age 65 years), New York, NY",United States,"Harvard Law School (1978), Harvard College (1975), Harvard University, Thomas Jefferson High School",1954.0,2017.0
190,Alex Molinaroli,273,"October 7, 1959 (age 60 years), Parkersburg, WV",United States,"Northwestern University, University of South Carolina",1959.0,2017.0
191,Emma Walmsley,274,"June 1969 (age 50 years), Barrow-in-Furness, United Kingdom",United Kingdom,"University of Oxford, St Swithun's School"", 'Parents: Robert Walmsley, Christina V Melvill",1969.0,2017.0
192,Roger W. Ferguson Jr.,279,"October 28, 1951 (age 68 years), Washington, D.C.",,"Sidwell Friends School (1969), Harvard College, Harvard Law School, Harvard University, Pembroke College",1951.0,2017.0
193,Safra Catz,281,"December 1, 1961 (age 58 years), Holon, Israel",Israel,"Penn Law (1986), MORE",1961.0,2017.0
194,Florentino Pérez,282,"March 8, 1947 (age 73 years), Hortaleza, Madrid, Spain",Spain,,1947.0,2017.0
195,Jes Staley,285,"December 27, 1956 (age 63 years), Boston, MA",United States,Bowdoin College,1956.0,2017.0
196,Iain Conn,287,"October 22, 1962 (age 57 years), Edinburgh, United Kingdom",United Kingdom,"Loretto School, Imperial College London, Department of Chemical Engineering, Imperial College London",1962.0,2017.0
197,Oscar Munoz,288,"January 1959 (age 61 years), California",United States,"La Quinta High School, Marshall Business School, USC, University of Southern California, Pepperdine University",1959.0,2017.0
198,Thomas J. Wilson,289,"1958 (age 62 years), St. Clair Shores, MI",United States,"Kellogg School of Management, Northwestern University, University of Michigan, Lake Shore High School",1958.0,2017.0
199,Donald J. Walker,291,"1956 (age 64 years), Canada",Canada,University of Waterloo,1956.0,2017.0
200,Sergio Ermotti,292,"May 11, 1960 (age 59 years), Lugano, Switzerland",Switzerland,University of Oxford,1960.0,2017.0
201,Søren Skou,299,"August 20, 1964 (age 55 years), Denmark",Denmark,"IMD Business School, Copenhagen Business School",1964.0,2017.0
202,Martin Bouygues,301,"May 3, 1952 (age 67 years), Suresnes, France",France,Janson de Sailly School,1952.0,2017.0
203,Martin Lundstedt,302,"April 28, 1967 (age 52 years), Mariestad, Sweden",Sweden,Chalmers University of Technology,1967.0,2017.0
204,David I. McKay,305,"Montreal, Canada",Canada,"Ivey Business School, John Rennie High School, University of Waterloo",,2017.0
205,Pierre Nanterme,306,"1959, Lyon, France",France,ESSEC Business School,1959.0,2017.0
206,Josu Jon Imaz,307,"September 6, 1963 (age 56 years), Zumarraga, Spain",Spain,Campus De Bizkaia - Campus of Biscay,1963.0,2017.0
207,Mike Coupe,311,"September 26, 1960 (age 59 years), Watford, United Kingdom",United Kingdom,"The Weald School, Billingshurst",1960.0,2017.0
208,Ulrich Spiesshofer,315,"March 26, 1964 (age 56 years), Aalen, Germany",Germany,University of Stuttgart,1964.0,2017.0
209,Kenneth I. Chenault,316,"June 2, 1951 (age 68 years), Mineola, NY",United States,"Bowdoin College (1973), Harvard Law School, Harvard University",1951.0,2017.0
210,Jean-Sébastien Jacques,317,"October 1971 (age 48 years), Orléans, France",France,École Centrale Paris,1971.0,2017.0
211,Guillaume Pepy,318,"May 26, 1958 (age 61 years), Neuilly-sur-Seine, France",France,"École Nationale d'Administration (1984), École alsacienne, Sciences Po""",1958.0,2017.0
