id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
259,Börje Ekholm,420,"1963 (age 57 years), Edsbruk, Sweden",Sweden,"KTH Royal Institute of Technology (1988), INSEAD Europe Campus",1963.0,2017.0
260,Irene Rosenfeld,422,"May 3, 1953 (age 66 years), Westbury, NY",United States,"Cornell University (1977), Cornell University (1975), W. Tresper Clarke High School",1953.0,2017.0
261,Bruce Hemphill,423,"June 1963 (age 56 years), Durban, South Africa",Africa,,1963.0,2017.0
262,Jeffrey Gennette,426,,,,,2017.0
263,Antonio Huertas,427,"January 18, 1964 (age 56 years), Villanueva de la Serena, Spain",Spain,University of Salamanca,1964.0,2017.0
264,Philippe Wahl,428,"March 11, 1956 (age 64 years), Sarralbe, France",France,"École Nationale d'Administration, Sciences Po, Pantheon-Sorbonne University"", 'Parents: Georgette Meyer, Adrien Wahl",1956.0,2017.0
265,Pablo Isla,429,"January 22, 1964 (age 56 years), Madrid, Spain",Spain,"Complutense University of Madrid, Our Lady of Remembrance College, Madrid",1964.0,2017.0
266,Richard A. Gonzalez,430,"January 21, 1954 (age 66 years)",United States,University of Houston,1954.0,2017.0
267,Youxi Zhang,431,,,,,2017.0
268,Keith Skeoch,433,"November 1956 (age 63 years), Guisborough, United Kingdom",United Kingdom,University of Sussex,1956.0,2017.0
269,Alain Dehaze,435,"1963 (age 57 years), Belgium",Belgium,ICHEC Brussels Management School,1963.0,2017.0
270,William M. Walsh,436,"October 25, 1961 (age 58 years), Dublin, Ireland",Ireland,"Trinity College Dublin, Ardscoil Rís, Dublin",1961.0,2017.0
271,Steve Easterbrook,437,"1967 (age 53 years), Watford, United Kingdom",United Kingdom,"St Chad's College, Durham, Watford Boys Grammar School""",1967.0,2017.0
272,Edward D. Breen,439,"1956 (age 64 years), Grove City, PA",United States,Grove City College (1978),1956.0,2017.0
273,Zhou Qiang,440,"April 25, 1960 (age 60 years), Huangmei County, Huanggang, China",China,Southwest University of Political Science & Law,1960.0,2017.0
274,Wesley G. Bush,441,"1961 (age 59 years), United States",United States,Massachusetts Institute of Technology,1961.0,2017.0
275,Bruce Flatt,442,"1965 (age 55 years), Winnipeg, Canada",Canada,,1965.0,2017.0
276,Bill McDermott,444,"August 18, 1961 (age 58 years), Flushing, New York, NY",United States,"Dowling College, University of Pennsylvania, MORE",1961.0,2017.0
277,Ryan Lance,445,"Butte, MT",United States,"Montana Tech (1984), Great Falls High School",,2017.0
278,Emmanuel Faber,447,"January 22, 1964 (age 56 years), Grenoble, France",France,HEC Paris,1964.0,2017.0
279,Xi Jinping,449,"June 15, 1953 (age 66 years), Beijing, China",China,"Tsinghua University (1998–2002), MORE",1953.0,2017.0
280,Thomas A. Kennedy,450,"1955 (age 65 years), United States",United States,"Rutgers University, Air Force Institute of Technology, University of California, Los Angeles",1955.0,2017.0
281,Paul Fang,451,"1967 (age 53 years), Anhui, China",China,East China Normal University,1967.0,2017.0
282,Charles Woodburn,453,"March 1971 (age 49 years), England, United Kingdom",United Kingdom,"Erasmus University Rotterdam, University of Cambridge",1971.0,2017.0
283,Gregory J. Goff,454,,,The University of Utah,,2017.0
284,Steven Mollenkopf,461,,,,,2017.0
285,Daniel Zhang,463,"1972 (age 48 years), Shanghai, China",China,Shanghai University of Finance and Economics,1972.0,2017.0
286,Levent Çakıroğlu,464,"1967 (age 53 years), Ankara, Turkey",Turkey,"Ankara University Faculty of Political Science - Civil (1988), University of Illinois at Urbana-Champaign",1967.0,2017.0
287,Tricia Griffith,465,"October 1964 (age 55 years), Illinois",Illinois,Illinois State University,1964.0,2017.0
288,Lynn Good,466,Ohio,,Miami University,,2017.0
289,Jean-Dominique Senard,467,"March 7, 1953 (age 67 years), Neuilly-sur-Seine, France",France,HEC Paris,1953.0,2017.0
290,Jean-François van Boxmeer,469,"September 12, 1961 (age 58 years), Ixelles, Belgium",Belgium,Université de Namur,1961.0,2017.0
291,Pascal Soriot,471,"May 23, 1959 (age 60 years), France",France,HEC Paris,1959.0,2017.0
292,Robert A. Bradway,472,1963 (age 57 years),,"Amherst College, Harvard University",1963.0,2017.0
293,Wiebe Draijer,473,"August 27, 1965 (age 54 years), Enschede, Netherlands",Netherlands,Delft University of Technology,1965.0,2017.0
