,index,ceo,Born,Nationality,Education,BoY
182,326,Peter Voser,"August 29, 1958 (age 61 years), Baden, Switzerland",Switzerland,"Zürcher Fachhochschule, IMD Business School, Zurich University of Applied Sciences",1958
183,329,André Desmarais,"October 26, 1956 (age 63 years), Ottawa, Canada",Canada,Concordia University,1956
184,330,Christian Mumenthaler,"June 21, 1969 (age 50 years)",,ETH Zürich,1969
185,339,John Donahoe,"April 30, 1960 (age 59 years), Evanston, IL",American,"Stanford Graduate School of Business, Dartmouth College, New Trier Township High School Winnetka",1960
186,341,Phebe Novakovic,"1957 (age 63 years), Pittsburgh, PA",American,"Wharton School of the University of Pennsylvania, Smith College",1957
187,343,Fujio Mitarai,"September 23, 1935 (age 84 years), Kamae, Ōita",,Chuo University,1935
188,346,Johannes Teyssen,"October 9, 1959 (age 60 years), Hildesheim, Germany",Germany,University of Göttingen,1959
189,353,Matteo Del Fante,,,,
190,355,Toshihiro Suzuki,"March 1959 (age 61 years), Shizuoka, Japan",Japan,,1959
191,358,Tidjane Thiam,"July 29, 1962 (age 57 years), Côte d'Ivoire"", 'Spouse: Annette Thiam",Thiam,"INSEAD Europe Campus (1986–1988), MORE', ""Siblings: Abdel Aziz Thiam, Yamousso Thiam, Papa Ababakar Thiam, N'deye Anna Thiam, Daouda Thiam, Augustin Thiam"", 'Nationality: Ivorian, French",1962
192,361,C. C. Wei,"July 12, 1914, Shengzhou, Shaoxing, China",China,,1914
193,363,Barry Lam,"April 24, 1949 (age 70 years), Shanghai, China",China,,1949
194,370,Michael A. Wells,"April 9, 1960 (age 59 years), Canada",Canada,San Diego State University,1960
195,371,Matt Comyn,,,"The University of Sydney, Sydney Boys High School",
196,372,Masaaki Tsuya,"June 22, 1952 (age 67 years), Tokyo, Japan",Japan,Hitotsubashi University,1952
197,377,Olivier Le Peuch,France,France,"École nationale supérieure d’électronique, informatique, télécommunications, mathématique et mécanique de Bordeaux, MORE",
198,379,Richard A. Gonzalez,"January 21, 1954 (age 66 years)",American,University of Houston,1954
199,380,Evan G. Greenberg,"1955 (age 65 years), United States",United States,"カレッジ・オブ・インシュアランス, New York University",1955
200,382,Jack Bowles,France,France,,
201,385,Richard Fairbank,"September 18, 1950 (age 69 years), California",California,"Stanford University, Stanford Graduate School of Business",1950
202,389,Tricia Griffith,"October 1964 (age 55 years), Illinois",Illinois,Illinois State University,1964
203,393,James Quincey,"January 8, 1965 (age 55 years), London, United Kingdom",British,"King Edward's School, University of Liverpool""",1965
204,394,Jean Paul Agon,"July 6, 1956 (age 63 years), Boulogne-Billancourt, France",France,HEC Paris,1956
205,395,Albert Manifold,August 1962 (age 57 years),,,1962
206,401,Dominic Blakemore,June 1969 (age 50 years),,University College London,1969
207,402,Antonio Neri,"May 10, 1967 (age 52 years), Argentina",American,National Technological University,1967
208,403,Philip Jansen,"January 28, 1967 (age 53 years), United Kingdom",United Kingdom,Cardiff University,1967
209,404,Pablo Isla,"January 22, 1964 (age 56 years), Madrid, Spain",Spain,"Complutense University of Madrid, Our Lady of Remembrance College, Madrid",1964
210,405,Antoine Frérot,"June 3, 1958 (age 61 years), Fontainebleau, France",France,"École des ponts ParisTech, École Polytechnique",1958
211,406,Miles D. White,"1955 (age 65 years), Minneapolis, MN",American,"Stanford Graduate School of Business (1980), Stanford University (1978), Culver Academies",1955
212,407,Sanjay Mehrotra,"June 27, 1958 (age 61 years), Kanpur, India",India,"University of California, Berkeley",1958
213,408,Daniel Obajtek,"January 2, 1976 (age 44 years), Myslenice, Poland",Poland,"Private College of Environmental Protection (2014), Gdańska Fundacja Kształcenia Menedżerów",1976
214,409,Jean-Pascal Tricoire,"November 5, 1963 (age 56 years), Beaupréau",,"ESEO, Emlyon Business School",1963
215,411,Alan D. Schnitzer,"1965 (age 55 years), United States",United States,"Wharton School of the University of Pennsylvania, Columbia Law School",1965
216,412,Dong Mingzhu,"August 1954 (age 65 years), Nanjing, China",China,"Zhongnan University of Economics and Law, MORE",1954
217,414,Kathy J. Warden,,,"James Madison University, Smithsburg High School, The George Washington University",
218,417,Omar Ishrak,"1956 (age 64 years), Bangladesh",Bangladesh,"King's College London, সেন্ট যোসেফ উচ্চ মাধ্যমিক বিদ্যালয়""",1956
219,420,André Calantzopoulos,"1958 (age 62 years), Archaeological Site of Olympia, Greece",Greece,"INSEAD Europe Campus, Swiss Federal Institute of Technology Lausanne",1958
220,421,Levent Çakıroğlu (Levent Cakiroglu),"1967 (age 53 years), Ankara, Turkey",Turkey,"Ankara University Faculty of Political Science - Civil (1988), University of Illinois at Urbana-Champaign",1967
221,423,Jean Pierre Mustier,,,,
222,425,Bill McDermott,"August 18, 1961 (age 58 years), Flushing, New York, NY",American,"Dowling College, University of Pennsylvania, MORE",1961
223,426,Philippe Wahl,"March 11, 1956 (age 64 years), Sarralbe, France",France,"École Nationale d'Administration, Sciences Po, Pantheon-Sorbonne University"", 'Parents: Adrien Wahl, Georgette Meyer",1956
224,430,Emmanuel Faber,"January 22, 1964 (age 56 years), Grenoble, France",France,HEC Paris,1964
225,433,William M. Walsh,"October 25, 1961 (age 58 years), Dublin, Ireland",Ireland,"Trinity College Dublin, Ardscoil Rís, Dublin",1961
226,443,Alain Dehaze,1963 (age 57 years),,ICHEC Brussels Management School,1963
227,444,Jacques van den Broek,"May 24, 1960 (age 59 years), Goes, Netherlands",Netherlands,Tilburg University,1960
228,447,"""O'Connor Sean M""",,,,
229,448,Mark Cutifani,"May 2, 1958 (age 61 years), Wollongong, Australia",Australia,University of Wollongong,1958
230,450,Antonio Huertas,"January 18, 1964 (age 56 years), Villanueva de la Serena, Spain",Spain,University of Salamanca,1964
231,454,Vincent Bolloré,"April 1, 1952 (age 67 years), Boulogne-Billancourt, France",French,"Paris Nanterre University, Janson de Sailly School",1952
232,455,Shayne Elliott,New Zealand,Zealand,"The University of Auckland, Waitakere College",
233,458,Thomas A. Kennedy,"1955 (age 65 years), United States",United States,,1955
234,464,Rajeev Suri,"October 10, 1967 (age 52 years), New Delhi, India",Singaporean,"Manipal Institute of Technology (1989), Manipal Academy of Higher Education, Mangalore University",1967
235,465,Jean-François van Boxmeer,"September 12, 1961 (age 58 years), Ixelles, Belgium",Belgium,University of Namur,1961
236,466,Lei Jun,"December 16, 1969 (age 50 years), Xiantao, China",Chinese,"Wuhan University (1987–1991), Hubei Xiantao Middle School (1984–1987)",1969
237,470,Miguel Patricio,,Portuguese,,
238,474,Ahmed bin Saeed Al Maktoum,"December 1, 1958 (age 61 years), Dubai, United Arab Emirates",Emirates,,1958
239,478,Dirk Van de Put,"1959 (age 61 years), Mechelen, Belgium",Belgium,"Ghent University, University of Antwerp",1959
240,479,Kasper Rørsted,"February 24, 1962 (age 58 years), Aarhus, Denmark",Danish,"Harvard Business School (2007–2007), MORE",1962
241,481,Wiebe Draijer,"August 27, 1965 (age 54 years), Enschede, Netherlands",Netherlands,Delft University of Technology (TU Delft),1965
242,483,Xu Xianping,"October 1954 (age 65 years), Longhui County, Shaoyang, China",China,,1954
243,489,Gerald W. Schwartz,"November 24, 1941 (age 78 years), Winnipeg, Canada",Canada,"Harvard University, University of Manitoba, Kelvin High School",1941
244,491,Philippe Petitcolin,"September 28, 1952 (age 67 years), Bannoncourt, France",France,Centre de perfectionnement aux affaires,1952
245,495,Darryl White,,,"Ivey Business School, Western University",
246,496,Chen Dongsheng,"December 17, 1957 (age 62 years)",,,1957
247,498,Benoît Potier,"1957 (age 63 years), Mulhouse, France",France,"Lycée privé Sainte-Geneviève, École Centrale Paris",1957
