,index,ceo,Born,Nationality,Education,BoY
100,169,Robert Allen Iger,"February 10, 1951 (age 69 years), New York, NY",American,"Ithaca College (1973), Oceanside High School, Roy H. Park School of Communications, The Center for Early Education",1951
101,173,Frédéric Oudéa,"July 3, 1963 (age 56 years), Paris, France",France,"Lycée Louis-le-Grand, Sciences Po, École Nationale d'Administration, École Polytechnique""",1963
102,175,José María Álvarez-Pallete López (José María Álvarez-Pallete),"December 12, 1963 (age 56 years), Madrid, Spain",Spain,,1963
103,178,Bruce D. Broussard,1963 (age 57 years),,,1963
104,179,Bruce Flatt,"1965 (age 55 years), Winnipeg, Canada",Canada,,1965
105,180,Chen Jianhua,"March 1956 (age 64 years), Lufeng, Guangdong, Shanwei, China",China,Nanjing Normal University,1956
106,181,Daniel Zhang,"1972 (age 48 years), Shanghai, China",Chinese,Shanghai University of Finance and Economics,1972
107,182,Rolf Martin Schmitz,"June 17, 1957 (age 62 years), Mönchengladbach, Germany",Germany,RWTH Aachen University,1957
108,183,Mark Zuckerberg,"May 14, 1984 (age 35 years), White Plains, NY",American,"Harvard University (2002–2004), MORE",1984
109,186,Sidney Toledano,"July 25, 1951 (age 68 years), Casablanca, Morocco",Morocco,,1951
110,189,Jim Umpleby,"1958 (age 62 years), Highland, IN",American,"Rose-Hulman Institute of Technology (1980), Highland High School",1958
111,190,Candido Botelho Bracher,"December 5, 1958 (age 61 years), State of São Paulo, Brazil",Brazil,"Escola de Administração de Empresas de São Paulo (1980), Santa Cruz School",1958
112,191,Carlos Brito,"1960 (age 60 years), Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazilian,"Stanford Graduate School of Business, Universidade Federal do Rio de Janeiro",1960
113,193,Kelcy Warren,"1955 (age 65 years), Gladewater, TX",American,"White Oak High School, The University of Texas at Arlington",1955
114,195,Daniel Hajj Aboumrad,,,,
115,196,Marillyn Hewson,"1954 (age 66 years), Junction City, KS",American,"Columbia Business School, The University of Alabama, Harvard Business School",1954
116,197,Albert Bourla,1962 (age 58 years),,,1962
117,199,Josu Jon Imaz,"September 6, 1963 (age 56 years), Zumarraga, Spain",Spain,Campus De Bizkaia - Campus of Biscay,1963
118,200,Vasant Narasimhan,"1976 (age 44 years), Moorestown, NJ",American,"Harvard University, Harvard Kennedy School, Harvard Medical School, The University of Chicago",1976
119,203,David M. Solomon,"1962 (age 58 years), Hartsdale, NY",American,"Hamilton College, Edgemont Jr./Sr. High School",1962
120,204,Elmar Degenhart,"January 29, 1959 (age 61 years), Dossenheim, Germany",Germany,University of Stuttgart,1959
121,205,Xavier Huillard,"June 27, 1954 (age 65 years), Paris, France",France,"École des ponts ParisTech, École Polytechnique",1954
122,211,Yang Yuanqing,"November 12, 1964 (age 55 years), Hefei, China",Chinese,"Shanghai Jiao Tong University, University of Science and Technology of China",1964
123,213,Yu Yong MD,,,,
124,214,Guido Kerkhoff,"November 22, 1967 (age 52 years), Schüttorf, Germany",Germany,Bielefeld University,1967
125,217,James P. Gorman,"July 14, 1958 (age 61 years), Melbourne, Australia",Australia,"Columbia Business School, Newman College, University of Melbourne, Columbia University, Xavier College', ""Children: Caroline D'Arcy Gorman, Caroline Gorman"", 'Siblings: Katherine Williams",1958
