,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,country/territory,year
211,212,Lenovo Group,"$51,037.90 ",12.50%,$596.30 ,"$29,988.50 ",-,"57,000",28,China,2019
212,213,Industrial Bank,"$50,991.40 ",12.10%,"$9,164.50 ","$977,563.40 ",8.30%,"59,659",24,China,2019
213,214,HBIS Group,"$50,920.60 ",12.20%,($77.80),"$63,725.20 ",-,"118,656",25,China,2019
214,215,ThyssenKrupp,"$50,856.10 ",7.30%,$9.50 ,"$39,334.30 ",-,"161,096",3,Germany,2019
215,216,Shanghai Pudong Development Bank,"$50,545.70 ",9.20%,"$8,453.00 ","$916,091.00 ",5.30%,"55,692",11,China,2019
216,217,Vodafone Group,"$50,532.40 ",-15.60%,"($9,281.10)","$160,391.20 ",-425.70%,"98,996",-59,Britain,2019
217,218,Morgan Stanley,"$50,193.00 ",15%,"$8,748.00 ","$853,531.00 ",43.20%,"60,348",31,U.S.,2019
218,219,JBS,"$49,709.70 ",-2.80%,$6.90 ,"$29,454.70 ",-95.90%,"230,086",-20,Brazil,2019
219,220,Zhejiang Geely Holding Group,"$49,665.40 ",20.60%,"$1,969.30 ","$48,564.80 ",8.20%,"124,846",47,China,2019
220,221,Banco Bradesco,"$49,612.30 ",-14.60%,"$4,537.50 ","$336,888.40 ",-15.20%,"86,772",-55,Brazil,2019
221,222,MS&AD Insurance Group Holdings,"$49,609.60 ",5.30%,"$1,738.00 ","$209,022.70 ",25%,"41,467",-1,Japan,2019
222,223,Groupe BPCE,"$49,529.30 ",-19%,"$3,571.20 ","$1,456,097.40 ",4.80%,"100,245",-72,France,2019
223,224,Tokio Marine Holdings,"$49,395.70 ",1.40%,"$2,476.50 ","$203,590.90 ",-3.40%,"40,848",-15,Japan,2019
224,225,Cisco Systems,"$49,330.00 ",2.80%,$110 ,"$108,784.00 ",-98.90%,"74,200",-13,U.S.,2019
225,226,Saint-Gobain,"$49,300.40 ",7.20%,$495.70 ,"$50,340.00 ",-71.90%,"181,001",5,France,2019
226,227,Kia Motors,"$49,238.40 ",4%,"$1,050.70 ","$46,416.20 ",22.70%,"52,578",-8,South Korea,2019
227,228,Orange,"$48,836.50 ",5.40%,"$2,306.00 ","$110,404.70 ",7.30%,"150,711",-3,France,2019
228,229,Cigna,"$48,650.00 ",16.90%,"$2,637.00 ","$153,226.00 ",17.90%,"73,800",34,U.S.,2019
229,230,Denso,"$48,368.00 ",4.90%,"$2,295.60 ","$52,339.50 ",-20.70%,"171,992",-1,Japan,2019
230,231,Sumitomo,"$48,155.70 ",10.50%,"$2,890.90 ","$71,532.70 ",3.80%,"65,662",19,Japan,2019
231,232,China Minsheng Banking,"$47,981.30 ",10.80%,"$7,608.40 ","$873,155.30 ",3.20%,"58,338",19,China,2019
232,233,Woolworths Group,"$47,842.10 ",3.60%,"$1,335.70 ","$17,402.30 ",15.50%,"201,522",-5,Australia,2019
233,234,Banco Bilbao Vizcaya Argentaria,"$47,608.00 ",2.40%,"$6,283.20 ","$773,455.50 ",58.40%,"125,627",-10,Spain,2019
234,235,American International Group,"$47,389.00 ",-4.30%,($6),"$491,984.00 ",-,"49,600",-28,U.S.,2019
235,236,State Bank of India,"$47,286.00 ",-0.60%,$328.80 ,"$561,369.60 ",-,"257,252",-20,India,2019
236,237,Tencent Holdings,"$47,272.70 ",34.40%,"$11,900.60 ","$105,382.00 ",12.50%,"54,309",94,China,2019
237,238,Zurich Insurance Group,"$47,180.00 ",-26.20%,"$3,716.00 ","$395,342.00 ",23.70%,"52,267",-96,Switzerland,2019
238,239,Deutsche Bank,"$46,969.50 ",1%,$315.10 ,"$1,540,920.60 ",-,"91,737",-16,Germany,2019
239,240,Bayer,"$46,718.10 ",-10%,"$2,000.40 ","$144,343.80 ",-75.80%,"116,998",-47,Germany,2019
240,241,HCA Healthcare,"$46,677.00 ",-2%,"$3,787.00 ","$39,207.00 ",70.90%,"229,000",-26,U.S.,2019
241,242,China Poly Group,"$46,207.10 ",24.90%,"$1,495.90 ","$158,364.30 ",29.80%,"97,527",70,China,2019
242,243,China Shipbuilding Industry,"$46,114.40 ",3.80%,$930.20 ,"$73,372.60 ",29.80%,"165,274",2,China,2019
243,244,China Merchants Group,"$45,925.70 ",14.90%,"$4,468.70 ","$203,620.60 ",10.60%,"115,281",36,China,2019
244,245,KDDI,"$45,820.80 ",0.70%,"$5,570.90 ","$66,236.70 ",7.80%,"41,996",-9,Japan,2019
245,246,BHP Group,"$45,809.00 ",19.70%,"$3,705.00 ","$111,993.00 ",-37.10%,"27,161",50,Australia,2019
246,247,Bunge,"$45,743.00 ",-0.10%,$267 ,"$19,425.00 ",66.90%,"31,000",-14,U.S.,2019
247,248,CNP Assurances,"$45,461.30 ",-10.40%,"$1,612.90 ","$474,944.30 ",11.40%,"5,243",-47,France,2019
248,249,Wuchan Zhongda Group,"$45,435.00 ",11%,$362.40 ,"$12,533.70 ",9.60%,"20,142",21,China,2019
249,250,Sinomach,"$45,424.00 ",6.50%,$487.80 ,"$57,450.70 ",3.40%,"147,099",6,China,2019
250,251,Aluminum Corp. of China,"$45,383.80 ",-2.80%,$112.70 ,"$93,408.30 ",-,"124,965",-29,China,2019
251,252,SABIC,"$45,096.40 ",12.90%,"$5,738.30 ","$85,231.20 ",16.80%,"33,000",29,Saudi Arabia,2019
252,253,Volvo,"$44,957.00 ",14.80%,"$2,863.90 ","$53,558.60 ",16.60%,"98,652",33,Sweden,2019
253,254,China Vanke,"$44,912.60 ",27.90%,"$5,105.70 ","$222,652.20 ",23%,"104,300",78,China,2019
254,255,Sberbank,"$44,898.40 ",-9.70%,"$13,268.50 ","$450,270.00 ",3.10%,"293,752",-50,Russia,2019
255,256,Royal Bank of Canada,"$44,609.30 ",15.70%,"$9,635.80 ","$1,016,475.50 ",10.30%,"81,870",36,Canada,2019
256,257,American Airlines Group,"$44,541.00 ",5.50%,"$1,412.00 ","$60,580.00 ",-26.40%,"128,900",3,U.S.,2019
257,258,Wilmar International,"$44,497.70 ",1.50%,"$1,128.00 ","$45,679.90 ",-7.50%,"90,000",-10,Singapore,2019
258,259,Pegatron,"$44,453.30 ",13.30%,$368.70 ,"$19,011.90 ",-23.60%,"156,477",26,Taiwan,2019
259,260,Delta Air Lines,"$44,438.00 ",7.70%,"$3,935.00 ","$60,266.00 ",10%,"88,680",6,U.S.,2019
260,261,Hanwha,"$44,303.00 ",-0.60%,$425.80 ,"$151,966.10 ",18.70%,"58,070",-17,South Korea,2019
261,262,China United Network Communications,"$43,974.40 ",8.10%,$616.90 ,"$78,908.50 ",879.10%,"246,299",11,China,2019
262,263,Shaanxi Yanchang Petroleum (Group),"$43,858.10 ",12.80%,$306.50 ,"$53,958.10 ",83.70%,"136,016",25,China,2019
263,264,Charter Communications,"$43,634.00 ",4.90%,"$1,230.00 ","$146,130.00 ",-87.60%,"98,000",-,U.S.,2019
264,265,Tata Motors,"$43,599.20 ",-4.90%,"($4,122.00)","$44,349.00 ",-395.60%,"81,090",-33,India,2019
265,266,ZF Friedrichshafen,"$43,582.40 ",6.10%,"$1,064.50 ","$30,897.60 ",-12.90%,"148,969",2,Germany,2019
266,267,Metro,"$43,466.50 ",6.10%,$409.30 ,"$17,702.10 ",14.20%,"132,293",2,Germany,2019
267,268,New York Life Insurance,"$43,425.30 ",2.70%,$880 ,"$311,449.30 ",-52.90%,"11,388",-10,U.S.,2019
268,269,Banco do Brasil,"$43,332.90 ",-21.60%,"$3,782.90 ","$360,361.10 ",13.60%,"96,889",-94,Brazil,2019
269,270,American Express,"$43,281.00 ",21.60%,"$6,921.00 ","$188,602.00 ",153%,"59,000",57,U.S.,2019
270,271,Nationwide,"$43,270.00 ",-1.50%,$512.60 ,"$214,141.90 ",107.90%,"30,472",-24,U.S.,2019
271,272,ACS,"$43,263.20 ",10%,"$1,079.90 ","$39,199.60 ",19.50%,"195,461",12,Spain,2019
272,273,Shandong Weiqiao Pioneering Group,"$43,008.40 ",-19.20%,$852.60 ,"$35,359.20 ",-32.90%,"106,044",-88,China,2019
273,274,UBS Group,"$42,960.00 ",7.60%,"$4,516.00 ","$958,489.00 ",322.10%,"66,888",32,Switzerland,2019
274,275,Bharat Petroleum,"$42,935.60 ",16.50%,"$1,115.70 ","$19,768.30 ",-20.20%,"12,865",39,India,2019
275,276,Best Buy,"$42,879.00 ",1.70%,"$1,464.00 ","$12,901.00 ",46.40%,"125,000",-15,U.S.,2019
276,277,Xiamen C&D,"$42,726.30 ",31.10%,$631.30 ,"$36,868.00 ",106.90%,"24,016",85,China,2019
277,278,Liberty Mutual Insurance Group,"$42,685.00 ",0.00%,"$2,160.00 ","$125,989.00 ",12605.90%,"50,000",-23,U.S.,2019
278,279,China COSCO Shipping,"$42,607.70 ",22.90%,"$1,554.50 ","$117,702.00 ",10.70%,"111,397",56,China,2019
279,280,Jardine Matheson,"$42,527.00 ",7.80%,"$1,732.00 ","$86,258.00 ",-54.20%,"469,000",3,China,2019
280,281,Shaanxi Coal & Chemical Industry,"$42,418.80 ",10.20%,$90.80 ,"$72,966.00 ",23.30%,"120,095",13,China,2019
281,282,Talanx,"$42,390.50 ",9.80%,$829.70 ,"$186,170.70 ",9.50%,"20,780",9,Germany,2019
282,283,China National Aviation Fuel Group,"$42,370.90 ",32.60%,$476.20 ,"$8,054.10 ",18.60%,"13,181",88,China,2019
283,284,Lufthansa Group,"$42,302.00 ",5.50%,"$2,552.70 ","$43,677.50 ",-4.20%,"115,882",-7,Germany,2019
284,285,Merck,"$42,294.00 ",5.40%,"$6,220.00 ","$82,637.00 ",159.80%,"69,000",-9,U.S.,2019
285,286,China Huaneng Group,"$42,280.90 ",8.80%,$8.90 ,"$156,327.20 ",-95.90%,"136,031",3,China,2019
286,287,Bouygues,"$42,179.20 ",13.20%,"$1,547.20 ","$43,084.20 ",26.50%,"129,275",20,France,2019
287,288,Sanofi,"$42,104.90 ",3.20%,"$5,081.80 ","$127,339.30 ",-46.50%,"104,226",-17,France,2019
288,289,China Everbright Group,"$41,879.70 ",16.90%,"$1,890.80 ","$696,969.90 ",-0.20%,"70,000",33,China,2019
289,290,Honeywell International,"$41,802.00 ",3.10%,"$6,765.00 ","$57,773.00 ",308.80%,"114,000",-15,U.S.,2019
290,291,Xiamen ITG Holding Group,"$41,437.50 ",25.90%,$62.80 ,"$15,123.30 ",-41%,"23,159",69,China,2019
291,292,Iberdrola,"$41,395.40 ",17.50%,"$3,557.10 ","$129,202.30 ",12.50%,"33,216",38,Spain,2019
292,293,United Airlines Holdings,"$41,303.00 ",9.50%,"$2,129.00 ","$44,792.00 ",-0.10%,"92,000",8,U.S.,2019
293,294,Maersk Group,"$41,256.00 ",10%,"$3,169.00 ","$56,636.00 ",-,"84,404",11,Denmark,2019
294,295,Toronto-Dominion Bank,"$41,198.70 ",19.40%,"$8,751.50 ","$1,016,604.20 ",10.10%,"84,383",42,Canada,2019
295,296,GlaxoSmithKline,"$41,108.50 ",5.80%,"$4,832.30 ","$73,941.20 ",145%,"95,490",-6,Britain,2019
296,297,TIAA,"$41,052.10 ",14%,"$1,560.50 ","$568,190.20 ",48.70%,"17,643",22,U.S.,2019
297,298,Accenture,"$40,993.00 ",11.50%,"$4,059.90 ","$24,449.10 ",17.80%,"459,000",18,Ireland,2019
298,299,Magna International,"$40,827.00 ",4.80%,"$2,296.00 ","$25,945.00 ",4.10%,"174,000",-12,Canada,2019
299,300,Mitsubishi Electric,"$40,766.10 ",1.90%,"$2,044.20 ","$39,362.20 ",-16.70%,"145,817",-21,Japan,2019
300,301,Cedar Holdings Group,"$40,640.80 ",24.20%,$844.70 ,"$20,932.80 ",-20.90%,"31,547",60,China,2019
301,302,Louis Dreyfus,"$40,571.00 ",-26.80%,$355 ,"$18,440.00 ",12%,"16,785",-129,Netherlands,2019
302,303,Rio Tinto Group,"$40,522.00 ",1.20%,"$13,638.00 ","$90,949.00 ",55.60%,"47,458",-25,Britain,2019
303,304,Edeka Zentrale,"$40,454.20 ",9%,$380 ,"$8,322.90 ",10.10%,"376,000",6,Germany,2019
304,305,Caixa Econ??mica Federal,"$40,240.50 ",-26.10%,"$2,833.30 ","$326,182.50 ",-27.70%,"84,952",-,Brazil,2019
305,306,Tyson Foods,"$40,052.00 ",4.70%,"$3,024.00 ","$29,109.00 ",70.50%,"121,000",-9,U.S.,2019
306,307,Oracle,"$39,831.00 ",5.60%,"$3,825.00 ","$137,264.00 ",-59%,"137,000",-5,U.S.,2019
307,308,Allstate,"$39,815.00 ",3.40%,"$2,252.00 ","$112,249.00 ",-29.40%,"45,420",-15,U.S.,2019
308,309,World Fuel Services,"$39,750.30 ",18%,$127.70 ,"$5,676.90 ",-,"5,000",42,U.S.,2019
309,310,ING Group,"$39,598.20 ",-29.70%,"$5,618.80 ","$1,011,101.20 ",-8.80%,"53,768",-139,Netherlands,2019
310,311,Centrica,"$39,594.70 ",9.70%,$244.10 ,"$26,177.30 ",-43.10%,"31,780",7,Britain,2019
311,312,Midea Group,"$39,581.60 ",10.60%,"$3,058.50 ","$38,408.50 ",19.60%,"114,765",11,China,2019
312,313,Fresenius,"$39,571.00 ",3.60%,"$2,392.20 ","$64,811.50 ",17%,"276,750",-15,Germany,2019
313,314,Massachusetts Mutual Life Insurance,"$39,267.20 ",17.20%,$397.90 ,"$265,812.60 ",-22.40%,"9,844",43,U.S.,2019
314,315,Intesa Sanpaolo,"$39,050.60 ",9.20%,"$4,779.70 ","$900,365.10 ",-42%,"92,117",9,Italy,2019
315,316,LyondellBasell Industries,"$39,004.00 ",13.10%,"$4,688.00 ","$28,278.00 ",-3.90%,"19,450",22,Netherlands,2019
316,317,TJX,"$38,972.90 ",8.70%,"$3,059.80 ","$14,326.00 ",17.30%,"270,000",4,U.S.,2019
317,318,Yankuang Group,"$38,887.30 ",31.90%,($258),"$44,774.80 ",-,"104,668",81,China,2019
318,319,ConocoPhillips,"$38,727.00 ",18.90%,"$6,257.00 ","$69,980.00 ",-,"10,800",44,U.S.,2019
319,320,Barclays,"$38,278.30 ",10.90%,"$2,862.30 ","$1,443,122.60 ",-,"83,500",16,Britain,2019
320,321,J. Sainsbury,"$38,064.00 ",0.90%,$287.40 ,"$30,669.20 ",-29.80%,"116,400",-18,Britain,2019
321,322,China Aerospace Science & Industry,"$37,869.80 ",11.10%,"$1,846.40 ","$47,048.10 ",14.90%,"146,346",24,China,2019
322,323,China Aerospace Science & Technology,"$37,727.60 ",10.10%,"$2,463.70 ","$63,496.80 ",10.70%,"179,788",20,China,2019
323,324,Meiji Yasuda Life Insurance,"$37,722.90 ",1.50%,"$2,070.60 ","$380,597.40 ",-13.40%,"42,950",-15,Japan,2019
324,325,George Weston,"$37,474.80 ",0.70%,$442.90 ,"$32,084.10 ",-24.30%,"197,000",-17,Canada,2019
325,326,SNCF Mobilit??s,"$37,388.90 ",4.20%,"$5,313.10 ","$48,482.60 ",314.90%,"203,865",-6,France,2019
326,327,Daiwa House Industry,"$37,371.20 ",9.10%,"$2,141.50 ","$39,161.80 ",0.40%,"44,947",15,Japan,2019
327,328,ABB,"$37,360.00 ",8.90%,"$2,173.00 ","$44,441.00 ",-1.80%,"146,600",13,Switzerland,2019
328,329,Deere,"$37,357.70 ",25.60%,"$2,368.40 ","$70,108.00 ",9.70%,"74,413",65,U.S.,2019
329,330,Tech Data,"$37,239.00 ",1.30%,$340.60 ,"$12,986.60 ",192%,"14,000",-15,U.S.,2019
330,331,Power Corp. of Canada,"$37,112.20 ",-6%,"$1,033.20 ","$331,211.90 ",0.20%,"30,000",-49,Canada,2019
331,332,Swiss Re,"$37,047.00 ",-12.80%,$462 ,"$207,570.00 ",16.10%,"14,943",-75,Switzerland,2019
332,333,Suning.com Group,"$37,032.20 ",33.20%,"$2,014.80 ","$29,052.70 ",223.30%,"130,455",94,China,2019
333,334,Mitsubishi Heavy Industries,"$36,783.50 ",-0.30%,$914.10 ,"$46,469.00 ",-,"80,744",-23,Japan,2019
334,335,SK Hynix,"$36,763.10 ",38%,"$14,125.40 ","$57,056.90 ",50%,"33,000",107,South Korea,2019
335,336,Vale,"$36,696.00 ",2.80%,"$6,860.00 ","$88,190.00 ",24.60%,"70,270",-11,Brazil,2019
336,337,Enterprise Products Partners,"$36,534.20 ",24.90%,"$4,172.40 ","$56,969.80 ",49.10%,"7,000",66,U.S.,2019
337,338,XMXYG,"$36,503.70 ",15.20%,$199.30 ,"$16,891.80 ",35.40%,"10,350",37,China,2019
338,339,Aisin Seiki,"$36,465.70 ",3.40%,$993.20 ,"$33,901.50 ",-18.20%,"119,732",-10,Japan,2019
339,340,Jiangsu Shagang Group,"$36,440.90 ",11.90%,"$1,869.20 ","$33,173.70 ",76%,"31,290",24,China,2019
340,341,Nike,"$36,397.00 ",6%,"$1,933.00 ","$22,536.00 ",-54.40%,"73,100",-1,U.S.,2019
341,342,Publix Super Markets,"$36,395.70 ",4.50%,"$2,381.20 ","$18,982.50 ",3.90%,"202,000",-8,U.S.,2019
342,343,General Dynamics,"$36,193.00 ",16.90%,"$3,345.00 ","$45,408.00 ",14.90%,"105,600",40,U.S.,2019
343,344,Exelon,"$35,985.00 ",7.30%,"$2,010.00 ","$119,666.00 ",-46.70%,"33,383",12,U.S.,2019
344,345,Canon,"$35,796.90 ",-1.60%,"$2,289.50 ","$44,662.40 ",6.10%,"195,056",-28,Japan,2019
345,346,Enbridge,"$35,785.00 ",4.60%,"$2,223.70 ","$122,221.00 ",0.90%,"12,000",-1,Canada,2019
346,347,Jizhong Energy Group,"$35,721.30 ",7.60%,($152.80),"$33,772.30 ",-,"112,859",12,China,2019
347,348,E.ON,"$35,703.60 ",-16.60%,"$3,803.70 ","$62,092.30 ",-14%,"43,302",-94,Germany,2019
348,349,Fujitsu,"$35,647.90 ",-3.60%,$943.10 ,"$28,055.00 ",-38.30%,"132,138",-36,Japan,2019
349,350,Mizuho Financial Group,"$35,406.30 ",10.20%,$870.90 ,"$1,814,332.90 ",-83.30%,"59,132",17,Japan,2019
350,351,Mitsubishi Chemical Holdings,"$35,386.40 ",5.30%,"$1,529.00 ","$50,352.50 ",-20%,"72,020",1,Japan,2019
351,352,CK Hutchison Holdings,"$35,361.20 ",10.90%,"$4,976.30 ","$157,392.80 ",10.50%,"300,000",22,China,2019
352,353,Lloyds Banking Group,"$35,251.90 ",-32.80%,"$5,737.90 ","$1,015,661.30 ",17.10%,"64,928",-164,Britain,2019
353,354,Idemitsu Kosan,"$35,091.00 ",18.50%,$734.60 ,"$26,116.40 ",-49.90%,"9,476",44,Japan,2019
354,355,Poste Italiane,"$35,071.10 ",-7%,"$1,651.10 ","$238,753.30 ",112.60%,"132,388",-51,Italy,2019
355,356,JFE Holdings,"$34,937.40 ",6.70%,"$1,474.70 ","$42,551.70 ",67.30%,"62,083",2,Japan,2019
356,357,Suzuki Motor,"$34,917.90 ",3%,"$1,612.30 ","$30,739.80 ",-17.20%,"67,721",-9,Japan,2019
357,358,Jiangxi Copper,"$34,870.00 ",9.10%,$131.40 ,"$18,618.30 ",15.80%,"23,194",12,China,2019
358,359,CRRC Group,"$34,673.00 ",8%,$486.60 ,"$58,038.30 ",-28.70%,"187,959",-,China,2019
359,360,Credit Suisse Group,"$34,284.20 ",7.50%,"$2,069.90 ","$780,308.50 ",-,"45,680",13,Switzerland,2019
360,361,Tsingshan Holding Group,"$34,242.20 ",43.20%,$578.60 ,"$8,522.60 ",50.70%,"56,088",-,China,2019
361,362,State Power Investment,"$34,229.20 ",15.10%,$170.70 ,"$157,347.60 ",-14%,"124,678",33,China,2019
362,363,Taiwan Semiconductor Manufacturing,"$34,218.20 ",6.50%,"$12,043.90 ","$67,999.50 ",6.20%,"48,752",5,Taiwan,2019
363,364,China Energy Engineering Group,"$34,176.50 ",-2.50%,$432.60 ,"$57,758.70 ",16.40%,"129,929",-31,China,2019
364,365,Quanta Computer,"$34,102.60 ",1.60%,$501.50 ,"$21,455.90 ",6.20%,"112,421",-11,Taiwan,2019
365,366,Plains GP Holdings,"$34,055.00 ",29.90%,$334 ,"$26,830.00 ",-,"4,900",86,U.S.,2019
366,367,China South Industries Group,"$33,895.80 ",-24.30%,$268.10 ,"$48,455.20 ",-63.70%,"198,932",-125,China,2019
367,368,Yango Longking Group,"$33,394.80 ",30.40%,$613.60 ,"$51,585.30 ",35.60%,"21,849",96,China,2019
368,369,Jinchuan Group,"$33,391.60 ",4%,$234 ,"$16,925.30 ",90%,"27,594",-,China,2019
369,370,China Electronics Technology Group,"$33,323.80 ",10.40%,"$1,755.20 ","$51,672.90 ",-1.10%,"179,636",18,China,2019
370,371,Toshiba,"$33,312.80 ",-6.50%,"$9,138.80 ","$38,830.30 ",25.90%,"128,697",-45,Japan,2019
371,372,Prudential,"$33,252.60 ",-70.20%,"$4,014.70 ","$647,708.50 ",30.50%,"23,792",-322,Britain,2019
372,373,Commonwealth Bank of Australia,"$33,186.30 ",-2.10%,"$7,228.00 ","$720,354.40 ",-3.40%,"45,753",-24,Australia,2019
373,374,Bridgestone,"$33,062.90 ",1.70%,"$2,641.70 ","$35,220.60 ",2.70%,"143,509",-9,Japan,2019
374,375,China Electronics,"$33,055.70 ",3.30%,$350.30 ,"$40,323.20 ",110%,"135,297",-6,China,2019
375,376,GS Caltex,"$33,052.70 ",23.20%,$639.50 ,"$17,531.20 ",-49.70%,"3,212",62,South Korea,2019
376,377,Sompo Holdings,"$32,857.40 ",-3.40%,"$1,322.50 ","$108,595.40 ",4.80%,"49,837",-30,Japan,2019
377,378,Sumitomo Life Insurance,"$32,825.00 ",-2.90%,$435.30 ,"$341,659.60 ",-30.90%,"42,848",-28,Japan,2019
378,379,Schlumberger,"$32,815.00 ",7.80%,"$2,138.00 ","$70,507.00 ",-,"100,000",7,U.S.,2019
379,380,3M,"$32,765.00 ",3.50%,"$5,349.00 ","$36,500.00 ",10.10%,"93,516",-4,U.S.,2019
380,381,AbbVie,"$32,753.00 ",16.10%,"$5,687.00 ","$59,352.00 ",7.10%,"30,000",41,U.S.,2019
381,382,Chubb,"$32,717.00 ",1.50%,"$3,962.00 ","$167,771.00 ",2.60%,"32,700",-16,Switzerland,2019
382,383,CHS,"$32,683.30 ",2%,$775.90 ,"$16,381.20 ",983.80%,"10,495",-11,U.S.,2019
383,384,British American Tobacco,"$32,667.00 ",25%,"$8,045.40 ","$186,351.90 ",-83.40%,"63,877",69,Britain,2019
384,385,Ansteel Group,"$32,619.40 ",17.40%,($254.50),"$49,469.60 ",-516.60%,"136,319",43,China,2019
385,386,China Huadian,"$32,421.40 ",9.50%,$464.40 ,"$118,796.50 ",39.30%,"97,629",11,China,2019
386,387,Capital One Financial,"$32,377.00 ",7.90%,"$6,015.00 ","$372,538.00 ",203.50%,"47,600",4,U.S.,2019
387,388,AIA Group,"$32,369.00 ",-18.80%,"$2,597.00 ","$229,806.00 ",-60%,"22,000",-93,China,2019
388,389,Mazda Motor,"$32,150.80 ",2.50%,$572.50 ,"$25,942.20 ",-43.40%,"49,998",-11,Japan,2019
389,390,Compal Electronics,"$32,102.80 ",10%,$295.70 ,"$13,007.40 ",56.50%,"82,374",14,Taiwan,2019
390,391,Progressive,"$31,979.00 ",19.20%,"$2,615.30 ","$46,575.00 ",64.30%,"37,346",46,U.S.,2019
391,392,DZ Bank,"$31,975.50 ",-4.70%,$972.50 ,"$592,911.80 ",-9.90%,"28,682",-37,Germany,2019
392,393,Hyundai Mobis,"$31,949.40 ",2.80%,"$1,716.90 ","$38,604.60 ",23.80%,"34,782",-13,South Korea,2019
393,394,CPC,"$31,928.90 ",17.80%,"$1,137.60 ","$25,035.70 ",-14.10%,"15,712",42,Taiwan,2019
394,395,Coca-Cola,"$31,856.00 ",-10%,"$6,434.00 ","$83,216.00 ",415.50%,"62,600",-67,U.S.,2019
395,396,L'Or??al,"$31,790.70 ",6.20%,"$4,597.20 ","$43,956.90 ",13.90%,"86,030",-4,France,2019
396,397,CRH,"$31,625.00 ",1.80%,"$2,970.50 ","$40,202.70 ",39.10%,"89,831",-15,Ireland,2019
397,398,Bank of Nova Scotia,"$31,589.30 ",14.60%,"$6,642.50 ","$760,409.00 ",8.60%,"97,629",32,Canada,2019
398,399,Johnson Controls International,"$31,400.00 ",4.10%,"$2,162.00 ","$48,797.00 ",34.20%,"122,000",-10,Ireland,2019
399,400,USAA,"$31,367.80 ",4.50%,"$2,291.90 ","$158,506.80 ",-5.40%,"33,689",-10,U.S.,2019
400,401,Air France-KLM Group,"$31,292.20 ",7.70%,$482.70 ,"$33,212.20 ",-,"81,527",5,France,2019
401,402,Shougang Group,"$31,103.80 ",13.20%,$84.20 ,"$73,067.10 ",9568.30%,"108,086",29,China,2019
402,403,Compass Group,"$30,878.80 ",8.10%,"$1,512.70 ","$16,443.50 ",2.90%,"595,841",10,Britain,2019
403,404,Hewlett Packard Enterprise,"$30,852.00 ",6.90%,"$1,908.00 ","$55,493.00 ",454.70%,"60,000",5,U.S.,2019
404,405,BT Group,"$30,743.00 ",-2.20%,"$2,833.10 ","$60,302.70 ",5.20%,"106,700",-28,Britain,2019
405,406,Inditex,"$30,686.70 ",6.20%,"$4,042.30 ","$24,878.10 ",5.30%,"174,386",2,Spain,2019
406,407,Veolia Environnement,"$30,579.50 ",8%,$518.40 ,"$42,968.60 ",14.50%,"170,819",12,France,2019
407,408,Abbott Laboratories,"$30,578.00 ",11.60%,"$2,368.00 ","$67,173.00 ",396.40%,"103,000",25,U.S.,2019
408,409,Micron Technology,"$30,391.00 ",49.50%,"$14,135.00 ","$43,376.00 ",177.80%,"36,000",-,U.S.,2019
409,410,PKN ORLEN Group,"$30,389.90 ",20.30%,"$1,539.10 ","$17,079.20 ",-12.70%,"21,282",59,Poland,2019
410,411,Schneider Electric,"$30,353.90 ",8.80%,"$2,754.50 ","$48,302.00 ",13.70%,"137,534",13,France,2019
411,412,Phoenix Pharma,"$30,296.00 ",6.70%,($174.50),"$9,599.50 ",-194.70%,"29,631",5,Germany,2019
412,413,Travelers Cos.,"$30,282.00 ",4.80%,"$2,523.00 ","$104,233.00 ",22.70%,"30,400",-6,U.S.,2019
413,414,Gree Electric Appliances,"$30,239.40 ",36.20%,"$3,961.30 ","$36,592.70 ",19.50%,"88,800",-,China,2019
414,415,Coop Group,"$30,235.40 ",5.70%,$483.70 ,"$20,665.70 ",-1.80%,"77,448",-3,Switzerland,2019
415,416,Northrop Grumman,"$30,095.00 ",16.60%,"$3,229.00 ","$37,653.00 ",60.20%,"85,000",45,U.S.,2019
416,417,Suncor Energy,"$30,081.40 ",21.30%,"$2,540.90 ","$65,596.80 ",-26%,"12,480",59,Canada,2019
417,418,Manulife Financial,"$30,070.60 ",-33.10%,"$3,703.70 ","$549,407.60 ",128.40%,"34,000",-177,Canada,2019
418,419,Medtronic,"$29,953.00 ",0.80%,"$3,104.00 ","$91,393.00 ",-22.90%,"98,003",-23,Ireland,2019
419,420,Kansai Electric Power,"$29,832.50 ",5.50%,"$1,037.90 ","$65,576.60 ",-24.30%,"32,597",-,Japan,2019
420,421,Arrow Electronics,"$29,676.80 ",10.70%,$716.20 ,"$17,784.40 ",78.20%,"20,100",19,U.S.,2019
421,422,Philip Morris International,"$29,625.00 ",3.10%,"$7,911.00 ","$39,801.00 ",31.10%,"77,400",-11,U.S.,2019
422,423,Ko?? Holding,"$29,592.30 ",9.20%,"$1,143.80 ","$23,570.70 ",-15%,"92,631",12,Turkey,2019
423,424,Wistron,"$29,509.50 ",7.40%,$162.80 ,"$11,032.70 ",27.50%,"82,955",8,Taiwan,2019
424,425,UniCredit Group,"$29,332.30 ",0.30%,"$4,593.70 ","$950,368.80 ",-25.50%,"86,786",-23,Italy,2019
