,ceo,company_rank,Born,Nationality,Education,BoY
1,Doug McMillon,1,"October 17, 1966 (age 53 years), Memphis, TN",United States,"Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas",1966.0
2,Ben van Beurden,3,"April 23, 1958 (age 61 years), Netherlands",Netherlands,Delft University of Technology (1981–1983),1958.0
3,Amin H. Nasser,6,1960 (age 60 years),Saudi,جامعة الملك فهد للبترول والمعادن,1960.0
4,Bob Dudley,7,"September 14, 1955 (age 64 years), Queens, New York, NY",United States,"University of Illinois at Urbana-Champaign, MORE",1955.0
5,Darren Woods,8,"Wichita, KS",United States,"Kellogg School of Management, Texas A&M University",
6,Herbert Diess,9,"October 24, 1958 (age 61 years), Munich, Germany",Germany,"Technische Universität München (1987), MORE",1958.0
7,Akio Toyoda,10,"May 3, 1956 (age 63 years), Nagoya, Aichi, Japan",Japan,"Babson College, Keio University",1956.0
8,Tim Cook,11,"November 1, 1960 (age 59 years), Mobile, AL",United States,"The Fuqua School of Business (1988), MORE",1960.0
9,Warren Buffett,12,"August 30, 1930 (age 89 years), Omaha, NE",United States,"Columbia Business School (1950–1951), MORE",1930.0
10,Jeff Bezos,13,"January 12, 1964 (age 56 years), Albuquerque, NM",United States,"Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School",1964.0
11,Ivan Glasenberg,16,"January 1957 (age 63 years), Johannesburg, South Africa",Africa,"Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California",1957.0
12,Ola Källenius,18,"June 11, 1969 (age 50 years), Västervik, Sweden",Sweden,"University of St. Gallen, Stockholm School of Economics, Danderyds gymnasium",1969.0
13,Larry J. Merlo,19,"1956 (age 64 years), Pittsburgh, PA",United States,University of Pittsburgh School of Pharmacy (1978),1956.0
14,Patrick Pouyanné,20,"June 24, 1963 (age 56 years), Le Petit-Quevilly, France",France,École Polytechnique,1963.0
15,Jeremy Weir,22,"1964 (age 56 years), Melbourne, Australia",Australia,University of Melbourne,1964.0
16,Terry Gou,23,"October 18, 1950 (age 69 years), Banqiao District, Taipei, Taiwan",Taiwan,"Taipei College of Maritime Technology (1966–1971), New Taipei Municipal Panchiao Senior High School",1950.0
17,John Elkann,24,"April 1, 1976 (age 44 years), New York, NY",United States,Polytechnic University of Turin,1976.0
18,Randall L. Stephenson,25,"April 22, 1960 (age 59 years), Oklahoma City, OK",United States,"The University of Oklahoma, University of Central Oklahoma",1960.0
19,Steven H. Collis,27,"1961 (age 59 years), South Africa",Africa,"University of the Witwatersrand, Johannesburg",1961.0
20,Mike Wirth,28,1960 (age 60 years),,University of Colorado Boulder,1960.0
21,Ma Mingzhe,29,"December 1955 (age 64 years), China",China,Zhongnan University of Economics and Law,1955.0
22,Jim Hackett,30,"April 22, 1955 (age 64 years), Columbus, OH",United States,University of Michigan (1977),1955.0
23,Mary T. Barra,32,"December 24, 1961 (age 58 years), Waterford, MI",United States,"Stanford Graduate School of Business (1988–1990), Kettering University, Mott High School",1961.0
24,Takehiko Kakiuchi,33,"July 31, 1955 (age 64 years), Hyogo, Japan",Japan,Hyogo Prefectural Nagata High School,1955.0
25,Takahiro Hachigo,34,"May 19, 1959 (age 60 years), Japan",Japan,Tokyo City University,1959.0
26,W. Craig Jelinek,35,"August 8, 1952 (age 67 years), California",United States,San Diego State University (1975),1952.0
27,Sundar Pichai,37,"June 10, 1972 (age 47 years), Madurai, India",India,"Wharton School of the University of Pennsylvania, MORE",1972.0
28,Stefano Pessina,40,"June 4, 1941 (age 78 years), Pescara, Italy",Italy,"University of Milan, Politecnico di Milano",1941.0
29,Jamie Dimon,41,"March 13, 1956 (age 64 years), New York, NY",United States,"Harvard Business School (1982), Tufts University, Browning School",1956.0
30,Oliver Bäte,45,"March 1, 1965 (age 55 years), Bergisch Gladbach, Germany",Germany,"University of Cologne (1988–1993), NYU Stern School of Business (1988–1993)",1965.0
31,Thomas Buberl,46,"March 24, 1973 (age 47 years), Cologne, Germany",Germany,"WHU - Otto Beisheim School of Management, Lancaster University, University of St. Gallen",1973.0
