,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
57,"$37,474.80",$442.9,"$32,084.10","$5,887.50",1.2%,1.4%,7.5%,George Weston
58,"$37,388.90","$5,313.10","$48,482.60","$10,687.10",14.2%,11%,49.7%,SNCF Mobilités
59,"$37,371.20","$2,141.50","$39,161.80","$13,833.60",5.7%,5.5%,15.5%,Daiwa House Industry
60,"$37,360.00","$2,173.00","$44,441.00","$13,952.00",5.8%,4.9%,15.6%,ABB
61,"$37,357.70","$2,368.40","$70,108.00","$11,287.80",6.3%,3.4%,21%,Deere
62,"$37,239.00",$340.6,"$12,986.60","$2,936.70",0.9%,2.6%,11.6%,Tech Data
63,"$37,112.20","$1,033.20","$331,211.90","$11,070.60",2.8%,0.3%,9.3%,Power Corp. of Canada
64,"$37,047.00",$462,"$207,570.00","$27,930.00",1.2%,0.2%,1.7%,Swiss Re
65,"$37,032.20","$2,014.80","$29,052.70","$11,785.70",5.4%,6.9%,17.1%,Suning.com Group
66,"$36,783.50",$914.1,"$46,469.00","$12,929.20",2.5%,2%,7.1%,Mitsubishi Heavy Industries
67,"$36,763.10","$14,125.40","$57,056.90","$41,987.70",38.4%,24.8%,33.6%,SK Hynix
68,"$36,696.00","$6,860.00","$88,190.00","$43,985.00",18.7%,7.8%,15.6%,Vale
69,"$36,534.20","$4,172.40","$56,969.80","$23,853.50",11.4%,7.3%,17.5%,Enterprise Products Partners
70,"$36,503.70",$199.3,"$16,891.80","$2,375.10",0.5%,1.2%,8.4%,XMXYG
71,"$36,465.70",$993.2,"$33,901.50","$12,170.40",2.7%,2.9%,8.2%,Aisin Seiki
72,"$36,440.90","$1,869.20","$33,173.70","$7,861.50",5.1%,5.6%,23.8%,Jiangsu Shagang Group
73,"$36,397.00","$1,933.00","$22,536.00","$9,812.00",5.3%,8.6%,19.7%,Nike
74,"$36,395.70","$2,381.20","$18,982.50","$14,958.30",6.5%,12.5%,15.9%,Publix Super Markets
75,"$36,193.00","$3,345.00","$45,408.00","$11,732.00",9.2%,7.4%,28.5%,General Dynamics
76,"$35,985.00","$2,010.00","$119,666.00","$30,764.00",5.6%,1.7%,6.5%,Exelon
77,"$35,796.90","$2,289.50","$44,662.40","$25,775.80",6.4%,5.1%,8.9%,Canon
78,"$35,785.00","$2,223.70","$122,221.00","$50,871.40",6.2%,1.8%,4.4%,Enbridge
79,"$35,721.30",$-152.8,"$33,772.30","$2,393.50",-0.4%,-0.5%,-6.4%,Jizhong Energy Group
80,"$35,703.60","$3,803.70","$62,092.30","$6,581.40",10.7%,6.1%,57.8%,E.ON
81,"$35,647.90",$943.1,"$28,055.00","$10,229.10",2.6%,3.4%,9.2%,Fujitsu
82,"$35,406.30",$870.9,"$1,814,332.90","$65,989.30",2.5%,-,1.3%,Mizuho Financial Group
83,"$35,386.40","$1,529.00","$50,352.50","$12,451.00",4.3%,3%,12.3%,Mitsubishi Chemical Holdings
84,"$35,361.20","$4,976.30","$157,392.80","$58,560.60",14.1%,3.2%,8.5%,CK Hutchison Holdings
85,"$35,251.90","$5,737.90","$1,015,661.30","$63,574.50",16.3%,0.6%,9%,Lloyds Banking Group
86,"$35,091.00",$734.6,"$26,116.40","$6,415.10",2.1%,2.8%,11.5%,Idemitsu Kosan
87,"$35,071.10","$1,651.10","$238,753.30","$9,264.00",4.7%,0.7%,17.8%,Poste Italiane
88,"$34,937.40","$1,474.70","$42,551.70","$17,731.40",4.2%,3.5%,8.3%,JFE Holdings
89,"$34,917.90","$1,612.30","$30,739.80","$13,397.90",4.6%,5.2%,12%,Suzuki Motor
90,"$34,870.00",$131.4,"$18,618.30","$3,245.60",0.4%,0.7%,4%,Jiangxi Copper
91,"$34,673.00",$486.6,"$58,038.30","$9,743.00",1.4%,0.8%,5%,CRRC Group
92,"$34,284.20","$2,069.90","$780,308.50","$44,572.80",6%,0.3%,4.6%,Credit Suisse Group
93,"$34,242.20",$578.6,"$8,522.60","$2,326.00",1.7%,6.8%,24.9%,Tsingshan Holding Group
94,"$34,229.20",$170.7,"$157,347.60","$10,799.10",0.5%,0.1%,1.6%,State Power Investment
95,"$34,218.20","$12,043.90","$67,999.50","$54,022.30",35.2%,17.7%,22.3%,Taiwan Semiconductor Manufacturing
96,"$34,176.50",$432.6,"$57,758.70","$5,089.20",1.3%,0.7%,8.5%,China Energy Engineering Group
97,"$34,102.60",$501.5,"$21,455.90","$4,388.90",1.5%,2.3%,11.4%,Quanta Computer
98,"$34,055.00",$334,"$26,830.00","$1,846.00",1%,1.2%,18.1%,Plains GP Holdings
99,"$33,895.80",$268.1,"$48,455.20","$9,046.80",0.8%,0.6%,3%,China South Industries Group
100,"$33,394.80",$613.6,"$51,585.30","$3,065.30",1.8%,1.2%,20%,Yango Longking Group
101,"$33,391.60",$234,"$16,925.30","$4,771.30",0.7%,1.4%,4.9%,Jinchuan Group
102,"$33,323.80","$1,755.20","$51,672.90","$20,585.10",5.3%,3.4%,8.5%,China Electronics Technology Group
103,"$33,312.80","$9,138.80","$38,830.30","$13,162.20",27.4%,23.5%,69.4%,Toshiba
104,"$33,252.60","$4,014.70","$647,708.50","$21,964.90",12.1%,0.6%,18.3%,Prudential
105,"$33,186.30","$7,228.00","$720,354.40","$49,718.90",21.8%,1%,14.5%,Commonwealth Bank of Australia
106,"$33,062.90","$2,641.70","$35,220.60","$23,504.50",8%,7.5%,11.2%,Bridgestone
107,"$33,055.70",$350.3,"$40,323.20","$6,317.40",1.1%,0.9%,5.5%,China Electronics
108,"$33,052.70",$639.5,"$17,531.20","$9,686.30",1.9%,3.6%,6.6%,GS Caltex
109,"$32,857.40","$1,322.50","$108,595.40","$9,524.30",4%,1.2%,13.9%,Sompo Holdings
110,"$32,825.00",$435.3,"$341,659.60","$7,608.90",1.3%,0.1%,5.7%,Sumitomo Life Insurance
111,"$32,815.00","$2,138.00","$70,507.00","$36,162.00",6.5%,3%,5.9%,Schlumberger
112,"$32,765.00","$5,349.00","$36,500.00","$9,796.00",16.3%,14.7%,54.6%,3M
113,"$32,753.00","$5,687.00","$59,352.00","$-8,446.00",17.4%,9.6%,-,AbbVie
114,"$32,717.00","$3,962.00","$167,771.00","$50,312.00",12.1%,2.4%,7.9%,Chubb
115,"$32,683.30",$775.9,"$16,381.20","$8,155.60",2.4%,4.7%,9.5%,CHS
116,"$32,667.00","$8,045.40","$186,351.90","$83,336.40",24.6%,4.3%,9.7%,British American Tobacco
117,"$32,619.40",$-254.5,"$49,469.60","$9,257.90",-0.8%,-0.5%,-2.7%,Ansteel Group
118,"$32,421.40",$464.4,"$118,796.50","$9,328.40",1.4%,0.4%,5%,China Huadian
119,"$32,377.00","$6,015.00","$372,538.00","$51,668.00",18.6%,1.6%,11.6%,Capital One Financial
120,"$32,369.00","$2,597.00","$229,806.00","$39,006.00",8%,1.1%,6.7%,AIA Group
121,"$32,150.80",$572.5,"$25,942.20","$10,160.80",1.8%,2.2%,5.6%,Mazda Motor
122,"$32,102.80",$295.7,"$13,007.40","$3,439.70",0.9%,2.3%,8.6%,Compal Electronics
123,"$31,979.00","$2,615.30","$46,575.00","$10,821.80",8.2%,5.6%,24.2%,Progressive
124,"$31,975.50",$972.5,"$592,911.80","$23,745.80",3%,0.2%,4.1%,DZ Bank
125,"$31,949.40","$1,716.90","$38,604.60","$27,454.10",5.4%,4.4%,6.3%,Hyundai Mobis
126,"$31,928.90","$1,137.60","$25,035.70","$9,682.40",3.6%,4.5%,11.7%,CPC
127,"$31,856.00","$6,434.00","$83,216.00","$16,981.00",20.2%,7.7%,37.9%,Coca-Cola
128,"$31,790.70","$4,597.20","$43,956.90","$30,779.20",14.5%,10.5%,14.9%,L’Oréal
129,"$31,625.00","$2,970.50","$40,202.70","$18,321.10",9.4%,7.4%,16.2%,CRH
130,"$31,589.30","$6,642.50","$760,409.00","$49,674.80",21%,0.9%,13.4%,Bank of Nova Scotia
131,"$31,400.00","$2,162.00","$48,797.00","$21,164.00",6.9%,4.4%,10.2%,Johnson Controls International
132,"$31,367.80","$2,291.90","$158,506.80","$31,179.40",7.3%,1.4%,7.4%,USAA
133,"$31,292.20",$482.7,"$33,212.20","$2,118.00",1.5%,1.5%,22.8%,Air France-KLM Group
134,"$31,103.80",$84.2,"$73,067.10","$17,612.40",0.3%,0.1%,0.5%,Shougang Group
135,"$30,878.80","$1,512.70","$16,443.50","$3,409.40",4.9%,9.2%,44.4%,Compass Group
136,"$30,852.00","$1,908.00","$55,493.00","$21,239.00",6.2%,3.4%,9%,Hewlett Packard Enterprise
137,"$30,743.00","$2,833.10","$60,302.70","$13,245.60",9.2%,4.7%,21.4%,BT Group
138,"$30,686.70","$4,042.30","$24,878.10","$16,811.40",13.2%,16.2%,24%,Inditex
139,"$30,579.50",$518.4,"$42,968.60","$6,841.30",1.7%,1.2%,7.6%,Veolia Environnement
140,"$30,578.00","$2,368.00","$67,173.00","$30,524.00",7.7%,3.5%,7.8%,Abbott Laboratories
141,"$30,391.00","$14,135.00","$43,376.00","$32,294.00",46.5%,32.6%,43.8%,Micron Technology
142,"$30,389.90","$1,539.10","$17,079.20","$9,513.20",5.1%,9%,16.2%,PKN ORLEN Group
143,"$30,353.90","$2,754.50","$48,302.00","$23,753.80",9.1%,5.7%,11.6%,Schneider Electric
144,"$30,296.00",$-174.5,"$9,599.50","$2,915.80",-0.6%,-1.8%,-6%,Phoenix Pharma
145,"$30,282.00","$2,523.00","$104,233.00","$22,894.00",8.3%,2.4%,11%,Travelers Cos.
146,"$30,239.40","$3,961.30","$36,592.70","$13,301.90",13.1%,10.8%,29.8%,Gree Electric Appliances
147,"$30,235.40",$483.7,"$20,665.70","$9,283.50",1.6%,2.3%,5.2%,Coop Group
148,"$30,095.00","$3,229.00","$37,653.00","$8,187.00",10.7%,8.6%,39.4%,Northrop Grumman
149,"$30,081.40","$2,540.90","$65,596.80","$32,223.90",8.4%,3.9%,7.9%,Suncor Energy
150,"$30,070.60","$3,703.70","$549,407.60","$33,658.50",12.3%,0.7%,11%,Manulife Financial
151,"$29,953.00","$3,104.00","$91,393.00","$50,720.00",10.4%,3.4%,6.1%,Medtronic
152,"$29,832.50","$1,037.90","$65,576.60","$13,001.20",3.5%,1.6%,8%,Kansai Electric Power
153,"$29,676.80",$716.2,"$17,784.40","$5,325.00",2.4%,4%,13.4%,Arrow Electronics
