,BoY,Born,Education,ceo,company_rank,Nationality
0,1957.0,"January 1957 (age 63 years), Johannesburg, South Africa","Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California",Ivan Glasenberg,16.0,Africa
1,1961.0,"1961 (age 59 years), South Africa","University of the Witwatersrand, Johannesburg",Steven H. Collis,27.0,Africa
2,1966.0,"October 17, 1966 (age 53 years), Memphis, TN","Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas",Doug McMillon,1.0,United States
3,1955.0,"September 14, 1955 (age 64 years), Queens, New York, NY","University of Illinois at Urbana-Champaign, MORE",Bob Dudley,7.0,United States
4,,"Wichita, KS","Kellogg School of Management, Texas A&M University",Darren Woods,8.0,United States
5,1960.0,"November 1, 1960 (age 59 years), Mobile, AL","The Fuqua School of Business (1988), MORE",Tim Cook,11.0,United States
6,1930.0,"August 30, 1930 (age 89 years), Omaha, NE","Columbia Business School (1950–1951), MORE",Warren Buffett,12.0,United States
7,1964.0,"January 12, 1964 (age 56 years), Albuquerque, NM","Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School",Jeff Bezos,13.0,United States
8,1956.0,"1956 (age 64 years), Pittsburgh, PA",University of Pittsburgh School of Pharmacy (1978),Larry J. Merlo,19.0,United States
9,1976.0,"April 1, 1976 (age 44 years), New York, NY",Polytechnic University of Turin,John Elkann,24.0,United States
10,1960.0,"April 22, 1960 (age 59 years), Oklahoma City, OK","The University of Oklahoma, University of Central Oklahoma",Randall L. Stephenson,25.0,United States
11,1955.0,"April 22, 1955 (age 64 years), Columbus, OH",University of Michigan (1977),Jim Hackett,30.0,United States
12,1961.0,"December 24, 1961 (age 58 years), Waterford, MI","Stanford Graduate School of Business (1988–1990), Kettering University, Mott High School",Mary T. Barra,32.0,United States
13,1952.0,"August 8, 1952 (age 67 years), California",San Diego State University (1975),W. Craig Jelinek,35.0,United States
14,1956.0,"March 13, 1956 (age 64 years), New York, NY","Harvard Business School (1982), Tufts University, Browning School",Jamie Dimon,41.0,United States
15,1960.0,"July 25, 1960 (age 59 years), Pineville, KY",University of Kentucky,Rodney McMullen,47.0,United States
16,1964.0,"1964 (age 56 years), Washington, D.C.","Washington College, Harvard Business School",H. Lawrence Culp Jr.,48.0,United States
17,1959.0,"October 9, 1959 (age 60 years), Marietta, OH","Notre Dame Law School (1984), Brown University (1981), University of Notre Dame",Brian Moynihan,58.0,United States
18,1967.0,"August 19, 1967 (age 52 years), Hyderabad, India","University of Wisconsin-Milwaukee (1990), MORE",Satya Nadella,60.0,United States
19,1958.0,"1958 (age 62 years), Flint, MI","Eli Broad College of Business, Central High School, Michigan State University",Craig Menear,62.0,United States
20,1957.0,"April 18, 1957 (age 62 years), Philadelphia, PA","Orefield Middle School, Pamplin College of Business, Virginia Polytechnic Institute and State University', ""Books: How Companies Win: Profiting from Demand-Driven Business Models No Matter What Business You're In"", ""Albums: Momentary Mutiny, Day Drinkin', Salmon Chanted Harbor"", 'Children: Corey Calhoun, Amy Calhoun, Jessica Calhoun, Devon Calhoun",Dave Calhoun,68.0,United States
21,1965.0,1965 (age 55 years),"New York University, Johns Hopkins University",Charles W. Scharf,69.0,United States
22,1960.0,"May 2, 1960 (age 59 years), Bristol, CT",Harvard University (1983),Michael Corbat,71.0,United States
