,Revenues_$M,Profits_$M,Assets_$M,Total Stockholder Equity_$M,company
190,"$27,076.10","$2,662.60","$75,537.00","$27,075.70",East Japan Railway
191,"$27,061.30","$1,789.10","$42,246.40","$13,607.40",OMV Group
192,"$27,058.00","$2,909.00","$31,864.00","$11,472.00",Raytheon
193,"$26,846.70",$-70.2,"$12,668.50","$1,221.50",TongLing Nonferrous Metals Group
194,"$26,840.50",$1.2,"$35,084.40","$4,240.00",Shanxi LuAn Mining Group
195,"$26,835.70",$250.9,"$28,439.10","$3,637.80",CJ Corp.
196,"$26,697.60",$-181.8,"$49,898.20","$6,393.90",Datong Coal Mine Group
197,"$26,692.80",$141.6,"$49,288.00","$5,802.80",Shanxi Coking Coal Group
198,"$26,628.10",$-401.3,"$45,167.90","$17,475.30",Nokia
199,"$26,608.10","$1,134.10","$47,955.70","$8,181.60",Heineken Holding
200,"$26,443.50","$2,049.10","$21,152.70","$10,388.30",Xiaomi
201,"$26,290.10",$-131.1,"$34,909.50","$3,761.40",Yangquan Coal Industry Group
202,"$26,277.00",$362.5,"$26,661.60","$7,767.10",NEC
203,"$26,276.50","$1,583.40","$251,010.50","$14,941.50",Fubon Financial Holding
204,"$26,268.00","$-10,192.00","$103,461.00","$51,657.00",Kraft Heinz
205,"$26,251.00",$237.6,"$8,036.40","$2,507.80",Hailiang Group
206,"$26,210.50",$93.4,"$13,499.40","$2,972.40",Flex
207,"$26,207.90",$103.6,"$20,671.30","$6,064.90",Xinxing Cathay International Group
208,"$26,147.70",$237.1,"$34,687.80","$10,114.90",Emirates Group
209,"$26,129.40",$-252.2,"$9,842.90",$796.7,Ceconomy
210,"$25,996.70","$1,979.10","$33,659.10","$13,881.70",Michelin
211,"$25,942.70","$4,220.60","$583,429.30","$38,123.90",National Australia Bank
212,"$25,938.00","$3,381.00","$62,729.00","$25,637.00",Mondelez International
213,"$25,920.00","$2,008.60","$17,844.50","$7,288.90",Adidas
214,"$25,844.70",$52.6,"$40,137.80","$6,321.40",Shanxi Jincheng Anthracite Coal Mining Group
215,"$25,823.30","$2,235.20","$674,869.50","$31,162.80",Rabobank Group
216,"$25,781.90",$-133.3,"$39,328.40","$2,494.90",Henan Energy & Chemical
217,"$25,779.10",$442.7,"$25,230.80","$5,785.90",China General Technology
218,"$25,775.00","$7,096.00","$467,374.00","$51,029.00",U.S. Bancorp
219,"$25,739.00","$1,108.00","$19,194.00","$6,436.00",Macy’s
220,"$25,679.00","$1,247.30","$29,270.30","$13,053.90",Fomento Económico Mexicano
221,"$25,625.00","$1,589.50","$13,204.00","$6,417.40",Dollar General
222,"$25,617.30","$1,338.50","$25,942.60","$15,311.50",LG Chem
223,"$25,606.00",$-663,"$45,417.00","$2,562.00",Onex
224,"$25,462.80","$1,993.40","$13,201.80","$10,988.40",Formosa Petrochemical
225,"$25,191.90","$1,514.20","$46,428.70","$13,664.60",Safran
226,"$25,180.10",$370.6,"$93,515.70","$11,083.70",Achmea
227,"$25,142.60",$184.8,"$4,163.80","$1,276.30",Rajesh Exports
228,"$25,067.30","$2,360.80","$17,920.60","$9,792.10",Nucor
229,"$25,002.70","$4,235.10","$589,481.40","$34,823.70",Bank of Montreal
230,"$24,931.70","$1,794.60","$117,398.30","$8,477.50",Taikang Insurance Group
231,"$24,816.00",$314.8,"$7,870.20","$2,438.00",Ultrapar Holdings
232,"$24,796.60","$2,494.20","$47,983.80","$20,326.10",Air Liquide
