,Revenues_$M,Profits_$M,Assets_$M,Total Stockholder Equity_$M,company
0,"$43,425.30",$880,"$311,449.30","$21,006.50",New York Life Insurance
1,"$43,332.90","$3,782.90","$360,361.10","$26,292.90",Banco do Brasil
2,"$43,281.00","$6,921.00","$188,602.00","$22,290.00",American Express
3,"$43,270.00",$512.6,"$214,141.90","$14,478.10",Nationwide
4,"$43,263.20","$1,079.90","$39,199.60","$5,015.80",ACS
5,"$43,008.40",$852.6,"$35,359.20","$10,256.00",Shandong Weiqiao Pioneering Group
6,"$42,960.00","$4,516.00","$958,489.00","$52,928.00",UBS Group
7,"$42,935.60","$1,115.70","$19,768.30","$5,596.40",Bharat Petroleum
8,"$42,879.00","$1,464.00","$12,901.00","$3,306.00",Best Buy
9,"$42,726.30",$631.3,"$36,868.00","$6,224.40",Xiamen C&D
10,"$42,685.00","$2,160.00","$125,989.00","$20,735.00",Liberty Mutual Insurance Group
11,"$42,607.70","$1,554.50","$117,702.00","$27,288.60",China COSCO Shipping
12,"$42,527.00","$1,732.00","$86,258.00","$26,342.00",Jardine Matheson
13,"$42,418.80",$90.8,"$72,966.00","$5,378.10",Shaanxi Coal & Chemical Industry
14,"$42,390.50",$829.7,"$186,170.70","$9,959.00",Talanx
15,"$42,370.90",$476.2,"$8,054.10","$2,996.20",China National Aviation Fuel Group
16,"$42,302.00","$2,552.70","$43,677.50","$10,816.20",Lufthansa Group
17,"$42,294.00","$6,220.00","$82,637.00","$26,701.00",Merck
18,"$42,280.90",$8.9,"$156,327.20","$11,817.20",China Huaneng Group
19,"$42,179.20","$1,547.20","$43,084.20","$11,116.80",Bouygues
20,"$42,104.90","$5,081.80","$127,339.30","$67,295.30",Sanofi
21,"$41,879.70","$1,890.80","$696,969.90","$19,192.10",China Everbright Group
22,"$41,802.00","$6,765.00","$57,773.00","$18,180.00",Honeywell International
23,"$41,437.50",$62.8,"$15,123.30","$1,259.90",Xiamen ITG Holding Group
24,"$41,395.40","$3,557.10","$129,202.30","$41,813.50",Iberdrola
25,"$41,303.00","$2,129.00","$44,792.00","$9,995.00",United Airlines Holdings
26,"$41,256.00","$3,169.00","$56,636.00","$32,621.00",Maersk Group
27,"$41,198.70","$8,751.50","$1,016,604.20","$60,198.80",Toronto-Dominion Bank
28,"$41,108.50","$4,832.30","$73,941.20","$5,552.00",GlaxoSmithKline
29,"$41,052.10","$1,560.50","$568,190.20","$38,126.30",TIAA
30,"$40,993.00","$4,059.90","$24,449.10","$10,364.80",Accenture
31,"$40,827.00","$2,296.00","$25,945.00","$10,701.00",Magna International
32,"$40,766.10","$2,044.20","$39,362.20","$21,685.60",Mitsubishi Electric
33,"$40,640.80",$844.7,"$20,932.80","$8,614.30",Cedar Holdings Group
34,"$40,571.00",$355,"$18,440.00","$5,026.00",Louis Dreyfus
35,"$40,522.00","$13,638.00","$90,949.00","$43,686.00",Rio Tinto Group
36,"$40,454.20",$380,"$8,322.90","$2,132.20",Edeka Zentrale
37,"$40,240.50","$2,833.30","$326,182.50","$20,964.00",Caixa Econômica Federal
38,"$40,052.00","$3,024.00","$29,109.00","$12,803.00",Tyson Foods
39,"$39,831.00","$3,825.00","$137,264.00","$45,726.00",Oracle
40,"$39,815.00","$2,252.00","$112,249.00","$21,312.00",Allstate
41,"$39,750.30",$127.7,"$5,676.90","$1,815.40",World Fuel Services
42,"$39,598.20","$5,618.80","$1,011,101.20","$56,063.00",ING Group
43,"$39,594.70",$244.1,"$26,177.30","$4,004.80",Centrica
44,"$39,581.60","$3,058.50","$38,408.50","$12,099.60",Midea Group
45,"$39,571.00","$2,392.20","$64,811.50","$17,614.80",Fresenius
46,"$39,267.20",$397.9,"$265,812.60","$15,609.80",Massachusetts Mutual Life Insurance
47,"$39,050.60","$4,779.70","$900,365.10","$61,739.10",Intesa Sanpaolo
48,"$39,004.00","$4,688.00","$28,278.00","$10,257.00",LyondellBasell Industries
49,"$38,972.90","$3,059.80","$14,326.00","$5,048.60",TJX
50,"$38,887.30",$-258,"$44,774.80","$3,398.00",Yankuang Group
51,"$38,727.00","$6,257.00","$69,980.00","$31,939.00",ConocoPhillips
52,"$38,278.30","$2,862.30","$1,443,122.60","$79,658.80",Barclays
53,"$38,064.00",$287.4,"$30,669.20","$10,370.30",J. Sainsbury
54,"$37,869.80","$1,846.40","$47,048.10","$18,100.80",China Aerospace Science & Industry
55,"$37,727.60","$2,463.70","$63,496.80","$27,835.00",China Aerospace Science & Technology
56,"$37,722.90","$2,070.60","$380,597.40","$12,917.60",Meiji Yasuda Life Insurance
57,"$37,474.80",$442.9,"$32,084.10","$5,887.50",George Weston
58,"$37,388.90","$5,313.10","$48,482.60","$10,687.10",SNCF Mobilités
59,"$37,371.20","$2,141.50","$39,161.80","$13,833.60",Daiwa House Industry
60,"$37,360.00","$2,173.00","$44,441.00","$13,952.00",ABB
61,"$37,357.70","$2,368.40","$70,108.00","$11,287.80",Deere
62,"$37,239.00",$340.6,"$12,986.60","$2,936.70",Tech Data
63,"$37,112.20","$1,033.20","$331,211.90","$11,070.60",Power Corp. of Canada
64,"$37,047.00",$462,"$207,570.00","$27,930.00",Swiss Re
65,"$37,032.20","$2,014.80","$29,052.70","$11,785.70",Suning.com Group
66,"$36,783.50",$914.1,"$46,469.00","$12,929.20",Mitsubishi Heavy Industries
67,"$36,763.10","$14,125.40","$57,056.90","$41,987.70",SK Hynix
68,"$36,696.00","$6,860.00","$88,190.00","$43,985.00",Vale
69,"$36,534.20","$4,172.40","$56,969.80","$23,853.50",Enterprise Products Partners
70,"$36,503.70",$199.3,"$16,891.80","$2,375.10",XMXYG
71,"$36,465.70",$993.2,"$33,901.50","$12,170.40",Aisin Seiki
72,"$36,440.90","$1,869.20","$33,173.70","$7,861.50",Jiangsu Shagang Group
73,"$36,397.00","$1,933.00","$22,536.00","$9,812.00",Nike
74,"$36,395.70","$2,381.20","$18,982.50","$14,958.30",Publix Super Markets
75,"$36,193.00","$3,345.00","$45,408.00","$11,732.00",General Dynamics
76,"$35,985.00","$2,010.00","$119,666.00","$30,764.00",Exelon
77,"$35,796.90","$2,289.50","$44,662.40","$25,775.80",Canon
78,"$35,785.00","$2,223.70","$122,221.00","$50,871.40",Enbridge
79,"$35,721.30",$-152.8,"$33,772.30","$2,393.50",Jizhong Energy Group
80,"$35,703.60","$3,803.70","$62,092.30","$6,581.40",E.ON
81,"$35,647.90",$943.1,"$28,055.00","$10,229.10",Fujitsu
82,"$35,406.30",$870.9,"$1,814,332.90","$65,989.30",Mizuho Financial Group
83,"$35,386.40","$1,529.00","$50,352.50","$12,451.00",Mitsubishi Chemical Holdings
84,"$35,361.20","$4,976.30","$157,392.80","$58,560.60",CK Hutchison Holdings
85,"$35,251.90","$5,737.90","$1,015,661.30","$63,574.50",Lloyds Banking Group
86,"$35,091.00",$734.6,"$26,116.40","$6,415.10",Idemitsu Kosan
87,"$35,071.10","$1,651.10","$238,753.30","$9,264.00",Poste Italiane
88,"$34,937.40","$1,474.70","$42,551.70","$17,731.40",JFE Holdings
89,"$34,917.90","$1,612.30","$30,739.80","$13,397.90",Suzuki Motor
90,"$34,870.00",$131.4,"$18,618.30","$3,245.60",Jiangxi Copper
91,"$34,673.00",$486.6,"$58,038.30","$9,743.00",CRRC Group
92,"$34,284.20","$2,069.90","$780,308.50","$44,572.80",Credit Suisse Group
93,"$34,242.20",$578.6,"$8,522.60","$2,326.00",Tsingshan Holding Group
94,"$34,229.20",$170.7,"$157,347.60","$10,799.10",State Power Investment
95,"$34,218.20","$12,043.90","$67,999.50","$54,022.30",Taiwan Semiconductor Manufacturing
96,"$34,176.50",$432.6,"$57,758.70","$5,089.20",China Energy Engineering Group
97,"$34,102.60",$501.5,"$21,455.90","$4,388.90",Quanta Computer
98,"$34,055.00",$334,"$26,830.00","$1,846.00",Plains GP Holdings
99,"$33,895.80",$268.1,"$48,455.20","$9,046.80",China South Industries Group
100,"$33,394.80",$613.6,"$51,585.30","$3,065.30",Yango Longking Group
101,"$33,391.60",$234,"$16,925.30","$4,771.30",Jinchuan Group
102,"$33,323.80","$1,755.20","$51,672.90","$20,585.10",China Electronics Technology Group
103,"$33,312.80","$9,138.80","$38,830.30","$13,162.20",Toshiba
104,"$33,252.60","$4,014.70","$647,708.50","$21,964.90",Prudential
105,"$33,186.30","$7,228.00","$720,354.40","$49,718.90",Commonwealth Bank of Australia
106,"$33,062.90","$2,641.70","$35,220.60","$23,504.50",Bridgestone
107,"$33,055.70",$350.3,"$40,323.20","$6,317.40",China Electronics
108,"$33,052.70",$639.5,"$17,531.20","$9,686.30",GS Caltex
109,"$32,857.40","$1,322.50","$108,595.40","$9,524.30",Sompo Holdings
110,"$32,825.00",$435.3,"$341,659.60","$7,608.90",Sumitomo Life Insurance
111,"$32,815.00","$2,138.00","$70,507.00","$36,162.00",Schlumberger
112,"$32,765.00","$5,349.00","$36,500.00","$9,796.00",3M
113,"$32,753.00","$5,687.00","$59,352.00","$-8,446.00",AbbVie
114,"$32,717.00","$3,962.00","$167,771.00","$50,312.00",Chubb
115,"$32,683.30",$775.9,"$16,381.20","$8,155.60",CHS
116,"$32,667.00","$8,045.40","$186,351.90","$83,336.40",British American Tobacco
117,"$32,619.40",$-254.5,"$49,469.60","$9,257.90",Ansteel Group
118,"$32,421.40",$464.4,"$118,796.50","$9,328.40",China Huadian
119,"$32,377.00","$6,015.00","$372,538.00","$51,668.00",Capital One Financial
120,"$32,369.00","$2,597.00","$229,806.00","$39,006.00",AIA Group
121,"$32,150.80",$572.5,"$25,942.20","$10,160.80",Mazda Motor
122,"$32,102.80",$295.7,"$13,007.40","$3,439.70",Compal Electronics
123,"$31,979.00","$2,615.30","$46,575.00","$10,821.80",Progressive
124,"$31,975.50",$972.5,"$592,911.80","$23,745.80",DZ Bank
125,"$31,949.40","$1,716.90","$38,604.60","$27,454.10",Hyundai Mobis
126,"$31,928.90","$1,137.60","$25,035.70","$9,682.40",CPC
127,"$31,856.00","$6,434.00","$83,216.00","$16,981.00",Coca-Cola
128,"$31,790.70","$4,597.20","$43,956.90","$30,779.20",L’Oréal
129,"$31,625.00","$2,970.50","$40,202.70","$18,321.10",CRH
130,"$31,589.30","$6,642.50","$760,409.00","$49,674.80",Bank of Nova Scotia
131,"$31,400.00","$2,162.00","$48,797.00","$21,164.00",Johnson Controls International
132,"$31,367.80","$2,291.90","$158,506.80","$31,179.40",USAA
133,"$31,292.20",$482.7,"$33,212.20","$2,118.00",Air France-KLM Group
134,"$31,103.80",$84.2,"$73,067.10","$17,612.40",Shougang Group
135,"$30,878.80","$1,512.70","$16,443.50","$3,409.40",Compass Group
136,"$30,852.00","$1,908.00","$55,493.00","$21,239.00",Hewlett Packard Enterprise
137,"$30,743.00","$2,833.10","$60,302.70","$13,245.60",BT Group
138,"$30,686.70","$4,042.30","$24,878.10","$16,811.40",Inditex
139,"$30,579.50",$518.4,"$42,968.60","$6,841.30",Veolia Environnement
140,"$30,578.00","$2,368.00","$67,173.00","$30,524.00",Abbott Laboratories
141,"$30,391.00","$14,135.00","$43,376.00","$32,294.00",Micron Technology
142,"$30,389.90","$1,539.10","$17,079.20","$9,513.20",PKN ORLEN Group
143,"$30,353.90","$2,754.50","$48,302.00","$23,753.80",Schneider Electric
144,"$30,296.00",$-174.5,"$9,599.50","$2,915.80",Phoenix Pharma
145,"$30,282.00","$2,523.00","$104,233.00","$22,894.00",Travelers Cos.
146,"$30,239.40","$3,961.30","$36,592.70","$13,301.90",Gree Electric Appliances
147,"$30,235.40",$483.7,"$20,665.70","$9,283.50",Coop Group
148,"$30,095.00","$3,229.00","$37,653.00","$8,187.00",Northrop Grumman
149,"$30,081.40","$2,540.90","$65,596.80","$32,223.90",Suncor Energy
150,"$30,070.60","$3,703.70","$549,407.60","$33,658.50",Manulife Financial
151,"$29,953.00","$3,104.00","$91,393.00","$50,720.00",Medtronic
152,"$29,832.50","$1,037.90","$65,576.60","$13,001.20",Kansai Electric Power
153,"$29,676.80",$716.2,"$17,784.40","$5,325.00",Arrow Electronics
154,"$29,625.00","$7,911.00","$39,801.00","$-12,459.00",Philip Morris International
155,"$29,592.30","$1,143.80","$23,570.70","$6,262.40",Koç Holding
156,"$29,509.50",$162.8,"$11,032.70","$2,243.10",Wistron
157,"$29,332.30","$4,593.70","$950,368.80","$63,825.80",UniCredit Group
158,"$29,305.80","$1,512.90","$259,413.50","$25,904.90",Samsung Life Insurance
159,"$29,159.60","$4,818.60","$58,854.20","$32,955.00",SAP
160,"$29,149.00",$941.8,"$298,904.80","$13,732.00",La Poste
161,"$29,124.00",$783,"$272,167.00","$22,134.00",Northwestern Mutual
162,"$29,123.00","$-3,330.40","$46,441.20","$12,513.60",Naturgy Energy Group
163,"$29,098.20",$511.3,"$67,587.80","$18,673.60",Migros Group
164,"$29,092.30","$2,772.20","$50,494.30","$18,681.20",Danone
165,"$29,027.90","$6,151.50","$636,296.90","$46,674.50",Westpac Banking
166,"$29,000.90","$2,782.50","$429,854.20","$32,001.40",KB Financial Group
167,"$28,803.20","$3,404.80","$32,042.90","$7,674.10",International Airlines Group
168,"$28,698.50",$309.9,"$14,619.20","$4,043.90",Medipal Holdings
169,"$28,662.90","$1,064.80","$27,588.90","$13,247.20",Sumitomo Electric Industries
170,"$28,654.90",$323.4,"$108,633.20","$13,515.50",China Datang
171,"$28,564.00",$137,"$38,415.20","$5,472.20",Xinjiang Guanghui Industry Investment
172,"$28,505.40","$1,333.10","$26,951.50","$14,703.70",Subaru
173,"$28,499.00","$1,628.90","$27,967.90","$6,170.00",Anhui Conch Group
174,"$28,492.80",$398.8,"$74,401.50","$2,403.20",Huaxia Life Insurance
175,"$28,457.10","$2,322.30","$84,234.70","$36,742.40",CFE
176,"$28,319.40","$1,556.90","$38,009.00","$17,878.10",Samsung C&T
177,"$28,167.10",$540.5,"$11,107.70","$4,093.10",Adecco Group
178,"$28,102.20",$830.8,"$11,359.10","$5,118.40",Randstad
179,"$28,088.80","$1,536.10","$60,579.50","$27,323.90",LafargeHolcim
180,"$27,713.60","$1,124.80","$24,280.10","$5,739.00",Haier Smart Home
181,"$27,622.70",$55.5,"$7,824.70",$505.3,INTL FCStone
182,"$27,610.00","$3,549.00","$52,196.00","$23,598.00",Anglo American
183,"$27,485.80",$434,"$96,189.10","$4,207.00",China Taiping Insurance Group
184,"$27,423.50",$624.1,"$76,913.40","$9,136.90",Mapfre Group
185,"$27,374.10",$716.3,"$54,102.50","$15,696.90",Chubu Electric Power
186,"$27,186.10",$128.3,"$8,005.40","$2,676.50",PBF Energy
187,"$27,183.40","$1,001.50","$207,944.90","$11,601.80",Cathay Life Insurance
188,"$27,172.70",$144.1,"$61,194.70","$4,359.40",Financière de l’Odet
189,"$27,147.90","$4,863.40","$681,894.20","$42,856.40",Australia & New Zealand Banking Group
