,Revenues_$M,Profits_$M,Assets_$M,Total Stockholder Equity_$M,company
52,"$115,042.80","$8,399.30","$238,864.10","$65,789.90",BMW Group
53,"$114,217.00","$5,595.00","$54,302.00","$24,653.00",Phillips 66
54,"$112,132.70","$1,240.90","$137,914.20","$12,529.10",China Railway Engineering Group
55,"$112,096.00","$11,745.30","$255,216.60","$143,530.50",China Mobile Communications
56,"$111,407.00","$3,122.00","$50,155.00","$21,667.00",Valero Energy
57,"$110,584.00","$28,147.00","$2,354,507.00","$265,325.00",Bank of America Corp.
58,"$110,455.90","$1,186.90","$134,180.20","$11,312.70",China Railway Construction
59,"$110,360.00","$16,571.00","$258,848.00","$82,718.00",Microsoft
60,"$109,030.40","$8,953.90","$96,973.70","$33,887.00",Huawei Investment & Holding
61,"$108,203.00","$11,121.00","$44,003.00","$-1,878.00",Home Depot
62,"$108,130.40","$7,331.10","$177,193.60","$77,493.20",China National Offshore Oil
63,"$107,146.90","$7,707.50","$201,456.10","$83,716.60",Nippon Telegraph & Telephone
64,"$104,627.30","$4,514.30","$91,250.60","$26,537.50",Itochu
65,"$104,390.60","$2,878.40","$171,251.00","$56,411.10",Nissan Motor
66,"$103,072.90","$16,744.30","$2,356,616.20","$186,139.90",China Development Bank
67,"$101,127.00","$10,460.00","$117,359.00",$339,Boeing
68,"$101,060.00","$22,393.00","$1,895,883.00","$196,166.00",Wells Fargo
69,"$98,802.00","$6,908.90","$161,335.90","$52,813.50",Siemens
70,"$97,120.00","$18,045.00","$1,917,383.00","$196,220.00",Citigroup
71,"$97,102.00","$2,780.00","$92,940.00","$35,175.00",Marathon Petroleum
72,"$95,904.50","$2,048.00","$107,069.10","$14,903.20",SK Holdings
73,"$95,584.00","$7,173.00","$222,068.00","$71,544.00",Petrobras
74,"$94,507.00","$11,731.00","$251,684.00","$71,613.00",Comcast
75,"$93,512.50","$10,364.80","$139,045.10","$58,212.90",Nestlé
76,"$92,601.90","$3,596.00","$95,616.50","$42,517.30",Bosch Group
77,"$92,260.80",$-533.4,"$57,841.50","$12,513.60",Uniper
78,"$92,105.00","$3,750.00","$71,571.00","$28,541.00",Anthem
79,"$91,986.00","$3,474.60","$209,651.50","$28,198.80",China Resources
80,"$91,955.20",$-662.1,"$54,153.10","$10,480.20",Carrefour
81,"$90,934.20","$1,599.70","$66,397.10","$13,446.30",Dongfeng Motor
82,"$90,799.80","$4,869.40","$135,300.30","$58,311.30",ENI
83,"$90,621.00","$-2,310.00","$111,820.00","$-5,765.00",Dell Technologies
84,"$90,531.90","$9,217.10","$1,667,946.80","$110,267.50",Banco Santander
85,"$90,055.00","$8,745.80","$189,980.10","$58,496.50",Rosneft Oil
86,"$89,804.70","$2,660.30","$66,682.90","$26,822.70",China FAW Group
87,"$89,358.10",$701.4,"$71,332.70","$7,449.80",Sinochem Group
88,"$89,305.70","$5,651.80","$189,079.60","$36,256.00",Enel
89,"$89,286.80","$2,556.20","$166,163.60","$35,326.70",Deutsche Telekom
90,"$88,325.00","$5,192.70","$1,856,682.30","$67,221.00",Crédit Agricole
91,"$88,157.40","$2,725.00","$589,590.30","$26,975.90",Assicurazioni Generali
92,"$88,140.90","$1,585.20","$198,943.70","$17,186.30",China Communications Construction
93,"$87,999.20","$1,370.80","$161,921.40","$60,925.00",Hyundai Motor
94,"$87,403.30","$-9,377.90","$105,384.40","$-74,136.90",Pemex
95,"$87,364.30","$3,336.30","$70,811.10","$19,528.20",Peugeot
96,"$86,622.60","$3,390.90","$58,175.00","$26,482.50",Pacific Construction Group
97,"$86,604.70","$12,727.90","$326,163.20","$68,866.70",SoftBank Group
98,"$86,131.00","$13,727.00","$2,558,124.00","$186,253.00",HSBC Holdings
99,"$85,977.00","$3,844.00","$188,030.00","$94,571.00",DuPont
100,"$85,627.90","$4,133.60","$1,429,122.30","$51,125.20",China Post Group
101,"$85,507.80","$2,007.20","$86,984.70","$29,480.50",Hitachi
102,"$84,270.60","$1,743.10","$65,227.60","$19,759.70",Tesco
103,"$83,973.70","$8,881.90","$2,332,675.50","$115,976.80",BNP Paribas
104,"$82,733.30","$2,907.10","$76,604.40","$24,558.10",JXTG Holdings
105,"$82,331.20","$5,660.80","$144,715.20","$55,886.50",Reliance Industries
106,"$81,977.70","$3,531.40","$259,644.40","$58,079.70",China Energy Investment
107,"$81,732.20","$8,788.40","$272,518.40","$100,877.70",State Farm Insurance Cos.
108,"$81,581.00","$15,297.00","$152,954.00","$59,752.00",Johnson & Johnson
109,"$81,403.30","$1,389.10","$323,662.20","$50,828.10",Electricité de France
110,"$80,963.60","$1,782.40","$118,705.60","$45,921.30",China Southern Power Grid
111,"$80,076.40",$-373.6,"$130,626.80","$6,622.80",China Minmetals
112,"$79,593.00","$7,535.00","$112,508.00","$42,970.00",Equinor
113,"$79,591.00","$8,728.00","$123,382.00","$16,796.00",International Business Machines
114,"$78,798.70","$5,555.10","$98,933.50","$40,066.70",BASF
115,"$78,157.70","$8,264.00","$189,586.90","$33,851.80",Sony
116,"$77,587.00","$2,484.70","$48,385.60","$16,236.90",Indian Oil
117,"$77,122.50",$214,"$90,293.60","$9,411.40",AEON
118,"$76,363.10","$1,483.00","$21,240.60","$12,950.70",Amer International Group
119,"$76,033.00","$5,149.00","$91,249.00","$42,086.00",ArcelorMittal
120,"$75,377.30","$1,952.00","$150,259.30","$22,292.40",People’s Insurance Co. of China
121,"$75,356.00","$2,937.00","$41,290.00","$11,297.00",Target
122,"$75,185.00","$3,604.20","$131,671.30","$11,114.50",Airbus
123,"$75,000.90","$2,448.80","$57,687.20","$15,533.40",Deutsche Post DHL Group
124,"$74,202.30","$2,514.50","$712,112.70","$17,892.90",Nippon Life Insurance
125,"$74,144.10","$1,219.10","$175,681.40","$40,634.80",Engie
126,"$74,103.90","$2,116.00","$38,097.30","$16,934.70",Royal Ahold Delhaize
127,"$73,598.00","$9,235.00","$2,063,060.00","$4,477.00",Freddie Mac
128,"$72,677.40","$1,097.70","$66,789.50","$10,811.30",Beijing Automotive Group
129,"$72,307.20","$3,704.40","$72,348.40","$26,878.10",PTT
130,"$72,178.40","$2,562.80","$54,341.10","$17,290.30",Panasonic
131,"$71,861.00","$4,791.00","$50,016.00","$3,021.00",United Parcel Service
132,"$71,309.00","$2,314.00","$34,508.00","$3,644.00",Lowe’s
133,"$71,223.30",$337.8,"$81,657.40","$11,879.00",COFCO
134,"$70,848.00","$21,053.00","$127,963.00","$74,563.00",Intel
135,"$70,660.00","$-3,913.00","$26,688.00","$-62,637.00",U.S. Postal Service
136,"$70,659.00","$4,566.00","$986,297.00","$48,767.20",CITIC Group
137,"$70,478.90","$5,652.60","$273,829.00","$19,370.90",China Evergrande Group
138,"$69,847.60",$-376.7,"$30,465.20","$8,705.70",JD.com
139,"$68,777.70",$966.4,"$57,675.40","$15,179.90",China North Industries Group
140,"$68,709.50","$1,664.60","$122,945.90","$53,533.10",China Telecommunications
141,"$67,941.00","$5,123.00","$687,538.00","$52,741.00",MetLife
142,"$67,764.10","$3,896.90","$131,440.40","$40,629.10",Renault
143,"$67,397.50","$-2,207.60","$116,353.60",$355.5,ChemChina
144,"$67,225.90","$2,726.20","$308,802.00","$30,139.80",Munich Re Group
145,"$66,832.00","$9,750.00","$118,310.00","$52,293.00",Procter & Gamble
146,"$66,753.50","$2,082.50","$61,526.00","$17,870.60",Marubeni
147,"$66,501.00","$5,269.00","$134,211.00","$38,446.00",United Technologies
148,"$66,310.00","$2,168.20","$103,676.10","$36,645.70",China Baowu Steel Group
149,"$65,644.80","$11,131.30","$1,388,230.00","$101,723.80",Bank of Communications
150,"$65,534.40",$695,"$138,082.70","$26,644.30",Aviation Industry Corp. of China
151,"$65,450.00","$4,572.00","$52,330.00","$19,416.00",FedEx
152,"$64,794.90","$2,029.60","$505,478.10","$15,440.60",Dai-ichi Life Holdings
153,"$64,661.00","$12,515.00","$77,648.00","$14,518.00",PepsiCo
154,"$64,341.00","$1,810.00","$40,833.00","$18,981.00",Archer Daniels Midland
155,"$62,992.00","$4,074.00","$815,078.00","$48,617.00",Prudential Financial
156,"$62,751.40","$3,735.90","$107,940.50","$38,521.40",Mitsui
157,"$62,230.60","$11,868.30","$154,071.20","$92,123.70",Petronas
158,"$61,486.50","$1,838.00","$52,069.20","$22,199.50",Seven & I Holdings
159,"$61,420.40","$4,360.60","$71,563.40","$31,492.50",Oil & Natural Gas
160,"$61,224.00",$803.8,"$123,815.20","$11,531.20",PowerChina
161,"$60,994.30","$1,196.10","$40,132.50","$10,805.30",Toyota Tsusho
162,"$60,846.20","$10,738.10","$79,680.30","$28,031.30",Roche Group
163,"$60,749.20","$-1,351.30","$41,073.70","$9,074.30",Auchan Holding
164,"$60,534.50",$131.1,"$20,776.60","$1,450.70",Albertsons Cos.
165,"$60,405.30","$7,871.00","$2,811,411.40","$120,178.50",Mitsubishi UFJ Financial Group
166,"$60,167.30","$11,080.60","$67,958.20","$13,226.80",Unilever
167,"$60,116.00",$900,"$30,901.00","$10,917.00",Centene
168,"$59,980.20",$884.4,"$49,823.40","$8,499.20",Sinopharm
169,"$59,434.00","$12,598.00","$98,598.00","$48,773.00",Walt Disney
170,"$59,223.20","$1,556.10","$70,607.70","$38,832.40",POSCO
171,"$58,727.30","$1,430.80","$18,070.40","$2,507.00",Sysco
172,"$58,472.00","$5,327.00","$34,622.00",$-639,HP
173,"$58,390.00","$4,560.20","$1,496,676.20","$69,752.70",Société Générale
174,"$57,933.60","$2,526.80","$64,718.50","$27,598.70",Pertamina
175,"$57,465.90","$3,931.10","$130,355.70","$20,513.40",Telefónica
176,"$57,308.70","$5,233.50","$237,367.50","$17,671.90",Country Garden Holdings
177,"$57,167.40","$2,096.10","$115,274.20","$26,110.10",Tokyo Electric Power
178,"$56,912.00","$1,683.00","$25,413.00","$10,161.00",Humana
179,"$56,771.00","$3,584.00","$256,281.00","$29,815.00",Brookfield Asset Management
180,"$56,198.60",$582.9,"$22,400.30","$4,077.70",Hengli Group
181,"$56,147.20","$13,094.40","$143,608.20","$73,250.30",Alibaba Group Holding
182,"$56,016.70",$465,"$91,563.40","$11,059.70",RWE
183,"$55,838.00","$22,112.00","$97,334.00","$84,127.00",Facebook
184,"$55,757.40","$1,127.20","$39,731.50","$12,775.20",LG Electronics
185,"$55,720.20","$2,265.30","$72,734.50","$29,193.00",Nippon Steel Corporation
186,"$55,262.60","$3,037.80","$88,320.80","$16,276.30",Christian Dior
187,"$55,063.50","$12,179.00","$982,526.00","$78,669.00",China Merchants Bank
188,"$55,037.20",$885.5,"$42,549.70","$6,205.30",Guangzhou Automobile Industry Group
189,"$54,722.00","$6,147.00","$78,509.00","$14,039.00",Caterpillar
190,"$54,662.50","$6,814.80","$400,690.80","$35,295.80",Itaú Unibanco Holding
191,"$54,619.00","$4,368.00","$232,103.00","$64,486.00",Anheuser-Busch InBev
192,"$54,567.90","$-1,194.90","$166,038.40","$62,511.40",Korea Electric Power
193,"$54,436.00","$1,694.00","$88,246.00","$20,559.00",Energy Transfer
194,"$53,985.30",$927.4,"$27,282.40","$16,808.40",Wesfarmers
195,"$53,977.60","$2,733.00","$72,580.00","$9,953.20",América Móvil
196,"$53,762.00","$5,046.00","$44,876.00","$1,394.00",Lockheed Martin
197,"$53,647.00","$11,153.00","$159,422.00","$63,407.00",Pfizer
198,"$53,572.10","$2,724.10","$194,584.50","$21,786.00",China Pacific Insurance (Group)
199,"$53,176.00","$2,762.80","$69,469.30","$35,007.80",Repsol
200,"$53,166.00","$12,611.00","$145,563.00","$78,614.00",Novartis
201,"$52,720.90","$1,719.60","$150,974.50","$10,210.80",Greenland Holding Group
202,"$52,610.60",$69.4,"$84,608.20","$5,957.30",China National Building Material Group
203,"$52,528.00","$10,459.00","$931,796.00","$90,185.00",Goldman Sachs Group
204,"$52,404.70","$3,419.30","$46,229.10","$20,403.00",Continental
205,"$52,345.20","$3,520.40","$86,133.10","$21,928.50",Vinci
206,"$52,272.00",$-208.9,"$45,172.50",$280,Finatis
207,"$52,004.10",$623.1,"$66,896.40","$15,356.20",Deutsche Bahn
208,"$51,728.00","$6,554.10","$1,840,238.10","$81,814.70",Sumitomo Mitsui Financial Group
209,"$51,394.40","$1,673.60","$23,140.60","$7,563.40",Alimentation Couche-Tard
210,"$51,245.60",$573,"$43,756.60","$9,385.60",Shandong Energy Group
211,"$51,037.90",$596.3,"$29,988.50","$3,396.50",Lenovo Group
212,"$50,991.40","$9,164.50","$977,563.40","$67,866.80",Industrial Bank
213,"$50,920.60",$-77.8,"$63,725.20","$10,247.70",HBIS Group
214,"$50,856.10",$9.5,"$39,334.30","$3,257.70",ThyssenKrupp
215,"$50,545.70","$8,453.00","$916,091.00","$68,683.70",Shanghai Pudong Development Bank
216,"$50,532.40","$-9,281.10","$160,391.20","$69,852.10",Vodafone Group
217,"$50,193.00","$8,748.00","$853,531.00","$80,246.00",Morgan Stanley
218,"$49,709.70",$6.9,"$29,454.70","$6,618.10",JBS
219,"$49,665.40","$1,969.30","$48,564.80","$8,418.20",Zhejiang Geely Holding Group
220,"$49,612.30","$4,537.50","$336,888.40","$32,068.60",Banco Bradesco
221,"$49,609.60","$1,738.00","$209,022.70","$14,303.90",MS&AD Insurance Group Holdings
222,"$49,529.30","$3,571.20","$1,456,097.40","$75,659.70",Groupe BPCE
223,"$49,395.70","$2,476.50","$203,590.90","$16,932.20",Tokio Marine Holdings
224,"$49,330.00",$110,"$108,784.00","$43,204.00",Cisco Systems
225,"$49,300.40",$495.7,"$50,340.00","$20,495.10",Saint-Gobain
226,"$49,238.40","$1,050.70","$46,416.20","$24,418.30",Kia Motors
227,"$48,836.50","$2,306.00","$110,404.70","$35,054.70",Orange
228,"$48,650.00","$2,637.00","$153,226.00","$41,028.00",Cigna
229,"$48,368.00","$2,295.60","$52,339.50","$32,490.20",Denso
230,"$48,155.70","$2,890.90","$71,532.70","$25,042.80",Sumitomo
231,"$47,981.30","$7,608.40","$873,155.30","$61,184.40",China Minsheng Banking
232,"$47,842.10","$1,335.70","$17,402.30","$7,742.30",Woolworths Group
233,"$47,608.00","$6,283.20","$773,455.50","$53,846.70",Banco Bilbao Vizcaya Argentaria
234,"$47,389.00",$-6,"$491,984.00","$56,361.00",American International Group
235,"$47,286.00",$328.8,"$561,369.60","$33,853.60",State Bank of India
236,"$47,272.70","$11,900.60","$105,382.00","$47,119.70",Tencent Holdings
237,"$47,180.00","$3,716.00","$395,342.00","$30,189.00",Zurich Insurance Group
238,"$46,969.50",$315.1,"$1,540,920.60","$71,431.80",Deutsche Bank
239,"$46,718.10","$2,000.40","$144,343.80","$52,551.70",Bayer
240,"$46,677.00","$3,787.00","$39,207.00","$-4,950.00",HCA Healthcare
241,"$46,207.10","$1,495.90","$158,364.30","$10,773.60",China Poly Group
242,"$46,114.40",$930.2,"$73,372.60","$20,844.00",China Shipbuilding Industry
243,"$45,925.70","$4,468.70","$203,620.60","$46,044.20",China Merchants Group
244,"$45,820.80","$5,570.90","$66,236.70","$37,801.50",KDDI
245,"$45,809.00","$3,705.00","$111,993.00","$55,592.00",BHP Group
246,"$45,743.00",$267,"$19,425.00","$6,173.00",Bunge
247,"$45,461.30","$1,612.90","$474,944.30","$20,323.20",CNP Assurances
248,"$45,435.00",$362.4,"$12,533.70","$3,476.40",Wuchan Zhongda Group
249,"$45,424.00",$487.8,"$57,450.70","$9,824.70",Sinomach
250,"$45,383.80",$112.7,"$93,408.30","$16,799.80",Aluminum Corp. of China
251,"$45,096.40","$5,738.30","$85,231.20","$46,142.30",SABIC
252,"$44,957.00","$2,863.90","$53,558.60","$13,921.50",Volvo
253,"$44,912.60","$5,105.70","$222,652.20","$22,687.30",China Vanke
254,"$44,898.40","$13,268.50","$450,270.00","$55,595.50",Sberbank
255,"$44,609.30","$9,635.80","$1,016,475.50","$60,818.70",Royal Bank of Canada
256,"$44,541.00","$1,412.00","$60,580.00",$-169,American Airlines Group
257,"$44,497.70","$1,128.00","$45,679.90","$16,048.80",Wilmar International
258,"$44,453.30",$368.7,"$19,011.90","$4,881.20",Pegatron
259,"$44,438.00","$3,935.00","$60,266.00","$13,687.00",Delta Air Lines
260,"$44,303.00",$425.8,"$151,966.10","$3,751.40",Hanwha
261,"$43,974.40",$616.9,"$78,908.50","$20,412.20",China United Network Communications
262,"$43,858.10",$306.5,"$53,958.10","$17,505.40",Shaanxi Yanchang Petroleum (Group)
263,"$43,634.00","$1,230.00","$146,130.00","$36,285.00",Charter Communications
264,"$43,599.20","$-4,122.00","$44,349.00","$8,688.00",Tata Motors
265,"$43,582.40","$1,064.50","$30,897.60","$8,170.20",ZF Friedrichshafen
