,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
195,Daniel Hajj Aboumrad,Telecommunications,Telecommunications,Mexico City,https://www.americamovil.com,13,"194,431",América Móvil
196,Marillyn A. Hewson,Aerospace & Defense,Aerospace and Defense,"Bethesda, Md.",https://www.lockheedmartin.com,25,"105,000",Lockheed Martin
197,Albert Bourla,Health Care,Pharmaceuticals,New York City,https://www.pfizer.com,25,"92,400",Pfizer
198,He Qing,Financials,"Insurance: Life, Health (stock)",Shanghai,https://www.cpic.com.cn,9,"107,741",China Pacific Insurance (Group)
199,Josu Jon Imaz San Miguel,Energy,Petroleum Refining,Madrid,https://www.repsol.com,25,"22,735",Repsol
200,Vasant Narasimhan,Health Care,Pharmaceuticals,"Basel, Switzerland",https://www.novartis.com,25,"125,161",Novartis
201,Zhang Yuliang,Financials,Real estate,Shanghai,https://www.ldjt.com.cn,8,"39,091",Greenland Holding Group
202,Song Zhiping,Materials,"Building Materials, Glass",Beijing,https://www.cnbm.com.cn,9,"207,958",China National Building Material Group
203,David M. Solomon,Financials,Banks: Commercial and Savings,New York City,https://www.goldmansachs.com,20,"36,600",Goldman Sachs Group
204,Elmar Degenhart,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hanover, Germany",https://www.continental-corporation.com,17,"243,226",Continental
205,Xavier Huillard,Engineering & Construction,"Engineering, Construction","Rueil-Malmaison, France",https://www.vinci.com,19,"211,233",Vinci
206,Didier Lévêque,Food & Drug Stores,Food and Drug Stores,Paris,https://www.finatis.fr,5,"218,923",Finatis
207,Richard Lutz,Transportation,Railroads,Berlin,https://www.deutschebahn.com,25,"318,528",Deutsche Bahn
208,Jun Ohta,Financials,Banks: Commercial and Savings,Tokyo,https://www.smfg.co.jp,25,"86,659",Sumitomo Mitsui Financial Group
209,Brian P. Hannasch,Food & Drug Stores,Food and Drug Stores,"Laval, Quebec, Canada",https://corpo.couche-tard.com,6,"130,000",Alimentation Couche-Tard
210,Li Weimin,Energy,"Mining, Crude-Oil Production","Jinan , China",https://www.snjt.com,8,"160,064",Shandong Energy Group
211,Yang Yuanqing,Technology,"Computers, Office Equipment",Hong Kong,https://www.lenovo.com,10,"57,000",Lenovo Group
212,Tao Yiping,Financials,Banks: Commercial and Savings,"Fuzhou, China",https://www.cib.com.cn,7,"59,659",Industrial Bank
213,Yu Yong,Materials,Metals,"Shijiazhuang, China",https://www.hbisco.com,11,"118,656",HBIS Group
214,Guido Kerkhoff,Materials,Metals,"Essen, Germany",https://www.thyssenkrupp.com,25,"161,096",ThyssenKrupp
215,Gao Guofu,Financials,Banks: Commercial and Savings,Shanghai,https://www.spdb.com.cn,7,"55,692",Shanghai Pudong Development Bank
216,Nick Read,Telecommunications,Telecommunications,"Newbury, Britain",https://www.vodafone.com,20,"98,996",Vodafone Group
217,James P. Gorman,Financials,Banks: Commercial and Savings,New York City,https://www.morganstanley.com,22,"60,348",Morgan Stanley
218,Gilberto Tomazoni,"Food, Beverages & Tobacco",Food Production,São Paulo,https://jbss.infoinvest.com.br/,10,"230,086",JBS
219,Li Shufu,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hangzhou, China",https://www.geely.com,8,"124,846",Zhejiang Geely Holding Group
220,Octavio de Lazari,Financials,Banks: Commercial and Savings,"Osasco, Brazil",https://www.bradesco.com.br,23,"86,772",Banco Bradesco
221,Yasuyoshi Karasawa,Financials,Insurance: Property and Casualty (Stock),Tokyo,https://www.ms-ad-hd.com,21,"41,467",MS&AD Insurance Group Holdings
222,Laurent Mignon,Financials,Banks: Commercial and Savings,Paris,https://www.groupebpce.com,10,"100,245",Groupe BPCE
223,Tsuyoshi Nagano,Financials,Insurance: Property and Casualty (Stock),Tokyo,https://www.tokiomarinehd.com,25,"40,848",Tokio Marine Holdings
224,Charles H. Robbins,Technology,Network and Other Communications Equipment,"San Jose, Calif.",https://www.cisco.com,20,"74,200",Cisco Systems
225,Pierre-André de Chalendar,Materials,"Building Materials, Glass","Courbevoie, France",https://www.saint-gobain.com,25,"181,001",Saint-Gobain
226,Han-Woo Park,Motor Vehicles & Parts,Motor Vehicles and Parts,Seoul,https://www.kia.com,8,"52,578",Kia Motors
227,Stéphane Richard,Telecommunications,Telecommunications,Paris,https://www.orange.com,25,"150,711",Orange
228,David M. Cordani,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, Conn.",https://www.cigna.com,24,"73,800",Cigna
229,Koji Arima,Motor Vehicles & Parts,Motor Vehicles and Parts,"Kariya, Japan",https://www.denso.com/global,25,"171,992",Denso
230,Masayuki Hyodo,Wholesalers,Trading,Tokyo,https://www.sumitomocorp.co.jp,25,"65,662",Sumitomo
231,Zheng Wanchun,Financials,Banks: Commercial and Savings,Beijing,https://www.cmbc.com.cn%20,7,"58,338",China Minsheng Banking
232,Brad Banducci,Food & Drug Stores,Food and Drug Stores,"Bella Vista, Australia",https://www.woolworthslimited.com.au,23,"201,522",Woolworths Group
233,Onur Genç,Financials,Banks: Commercial and Savings,"Bilbao, Spain",https://www.bbva.com,25,"125,627",Banco Bilbao Vizcaya Argentaria
234,Brian Duperreault,Financials,Insurance: Property and Casualty (Stock),New York City,https://www.aig.com,24,"49,600",American International Group
235,Rajnish Kumar,Financials,Banks: Commercial and Savings,Mumbai,https://www.sbi.co.in,14,"257,252",State Bank of India
236,Pony Ma,Technology,Internet Services and Retailing,"Shenzhen, China",https://www.tencent.com,3,"54,309",Tencent Holdings
237,Mario Greco,Financials,Insurance: Property and Casualty (Stock),Zurich,https://www.zurich.com,25,"52,267",Zurich Insurance Group
238,Christian Sewing,Financials,Banks: Commercial and Savings,Frankfurt,https://www.db.com,25,"91,737",Deutsche Bank
239,Werner Baumann,Health Care,Pharmaceuticals,"Leverkusen, Germany",https://www.bayer.com,25,"116,998",Bayer
240,Samuel N. Hazen,Health Care,Health Care: Medical Facilities,Nashville,https://www.hcahealthcare.com,25,"229,000",HCA Healthcare
241,Zhang Zhengao,Financials,Real estate,Beijing,https://www.poly.com.cn,5,"97,527",China Poly Group
242,Hu Wenming,Transportation,Shipping,Beijing,https://www.csic.com.cn,9,"165,274",China Shipbuilding Industry
243,Li Jianhong,Transportation,"Mail, Package, and Freight Delivery",Hong Kong,https://www.cmhk.com,2,"115,281",China Merchants Group
244,Makoto Takahashi,Telecommunications,Telecommunications,Tokyo,https://www.kddi.com,22,"41,996",KDDI
245,Andrew Mackenzie,Energy,"Mining, Crude-Oil Production",Melbourne,https://www.bhp.com,25,"27,161",BHP Group
246,Gregory A. Heckman,"Food, Beverages & Tobacco",Food Production,"White Plains, N.Y.",https://www.bunge.com,17,"31,000",Bunge
247,Antoine Lissowski,Financials,"Insurance: Life, Health (stock)",Paris,https://www.cnp.fr,25,"5,243",CNP Assurances
248,Wang Tingge,Wholesalers,Trading,"Hangzhou, China",https://www.wzgroup.com,9,"20,142",Wuchan Zhongda Group
249,Zhang Xiaolum,Industrials,Industrial Machinery,Beijing,https://www.sinomach.com.cn,9,"147,099",Sinomach
250,Yu Dehui,Materials,Metals,Beijing,https://www.chalco.com.cn,12,"124,965",Aluminum Corp. of China
251,Yousef Abdullah Al-Benyan,Chemicals,Chemicals,Riyadh,https://www.sabic.com,15,"33,000",SABIC
252,Martin Lundstedt,Motor Vehicles & Parts,Motor Vehicles and Parts,"Göteborg, Sweden",https://www.volvogroup.com,25,"98,652",Volvo
253,Zhu Jiusheng,Financials,Real estate,"Shenzhen, China",https://www.vanke.com,4,"104,300",China Vanke
254,Herman O. Gref,Financials,Banks: Commercial and Savings,Moscow,https://www.sberbank.ru,12,"293,752",Sberbank
255,David I. McKay,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",https://www.rbc.com,25,"81,870",Royal Bank of Canada
256,W. Douglas Parker,Transportation,Airlines,Fort Worth,https://www.aa.com,25,"128,900",American Airlines Group
257,Kuok Khoon Hong,"Food, Beverages & Tobacco",Food Production,Singapore,https://www.wilmar-international.com,11,"90,000",Wilmar International
258,Syh-Jang Liao,Technology,"Electronics, Electrical Equip.",Taipei,https://www.pegatroncorp.com,7,"156,477",Pegatron
