id,CEO,Sector,Industry,HQ Location,Employees,Website,Years on Global 500 List,company,year
412,Takashi Tsukioka,Energy,Petroleum Refining,"Tokyo, Japan","9,203",http://www.idemitsu.com,22,Idemitsu Kosan,2016
413,Willem A.J. van Duin,Financials,"Insurance: Life, Health (Mutual)","Zeist, Netherlands","15,412",http://www.achmea.nl,3,Achmea,2016
414,Lee Won-Joon,Retailing,General Merchandisers,"Seoul, South Korea","26,030",http://www.lotteshopping.com%20,3,Lotte Shopping,2016
415,Ian G. King,Aerospace & Defense,Aerospace and Defense,"London, Britain","75,000",http://www.baesystems.com,22,BAE Systems,2016
416,Oliver Windholz,Wholesalers,Wholesalers: Health Care,"Mannheim, Germany","24,842",http://www.phoenixgroup.eu,6,Phoenix Pharmahandel,2016
417,Murilo Pinto de Oliveira Ferreira,Energy,"Mining, Crude-Oil Production","Rio de Janeiro, Brazil","74,098",http://www.vale.com,10,Vale,2016
418,Philippe Wahl,Transportation,"Mail, Package, and Freight Delivery","Paris, France","245,424",http://www.laposte.fr,21,La Poste,2016
419,Levent Çakıroğlu,Energy,Energy,"Istanbul, Turkey","91,304",http://www.koc.com.tr,15,Koç Holding,2016
420,Stephen J. Easterbrook,"Hotels, Resturants & Leisure",Food Services,"Oak Brook, IL","420,000",http://www.aboutmcdonalds.com,22,McDonald’s,2016
421,William M. Walsh,Transportation,Airlines,"Hounslow, Britain","60,862",http://www.iairgroup.com,19,International Airlines Group,2016
422,Steven M. Mollenkopf,Technology,Network and Other Communications Equipment,"San Diego, CA","33,000",http://www.qualcomm.com,3,Qualcomm,2016
423,Rajesh J. Mehta,Wholesalers,Trading,"Bangalore, India",358,http://www.rajeshindia.com,1,Rajesh Exports,2016
424,Shuichi Watanabe,Wholesalers,Wholesalers: Health Care,"Tokyo, Japan","14,697",http://www.medipal.co.jp,14,Medipal Holdings,2016
425,Edward S. Lampert,Retailing,General Merchandisers,"Hoffman Estates, IL","178,000",http://www.shos.com,22,Sears Holdings,2016
426,Li Weimin,Energy,"Mining, Crude-Oil Production","Jinan , China","196,435",http://www.snjt.com,5,Shandong Energy Group,2016
427,Wan Feng,Financials,"Insurance: Life, Health (stock)","Beijing, China","52,474",http://www.newchinalife.com,1,New China Life Insurance,2016
428,Brian J. Porter,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada","89,214",http://www.scotiabank.com,19,Bank of Nova Scotia,2016
429,Sang-Beom Han,Technology,"Electronics, Electrical Equip.","Seoul, South Korea","49,205",http://www.lgdisplay.com,5,LG Display,2016
430,Richard D. Fairbank,Financials,Banks: Commercial and Savings,"McLean, VA","45,400",http://www.capitalone.com,6,Capital One Financial,2016
431,Jin-Soo Huh,Energy,Petroleum Refining,"Seoul, South Korea","3,969",http://www.gscaltex.com,5,GS Caltex,2016
432,Rainer Seele,Energy,Petroleum Refining,"Vienna, Austria","24,124",http://www.omv.com,11,OMV Group,2016
433,Emmanuel Faber,"Food, Beverages & Tobacco",Food Consumer Products,"Paris, France","99,781",http://www.danone.com,22,Danone,2016
434,Antonio Huertas Mejías,Financials,Insurance: Property and Casualty (Stock),"Madrid, Spain","38,405",http://www.mapfre.com,9,Mapfre Group,2016
435,Pascal Soriot,Health Care,Pharmaceuticals,"London, Britain","61,500",http://www.astrazeneca.com,18,AstraZeneca,2016
436,Joseph M. Tucci,Technology,"Computers, Office Equipment","Hopkinton, MA","72,000",http://www.emc.com,2,EMC,2016
437,David T. Potts,Food & Drug Stores,Food and Drug Stores,"Bradford, Britain","82,992",http://www.morrisons.com,12,Wm. Morrison Supermarkets,2016
438,Eric Olsen,Materials,"Building Materials, Glass","Jona, Switzerland","100,956",http://www.lafargeholcim.com,8,LafargeHolcim,2016
439,Chang-Soo Kim,Financials,"Insurance: Life, Health (stock)","Seoul, South Korea","5,348",http://www.samsunglife.com,20,Samsung Life Insurance,2016
440,Masayoshi Matsumoto,Motor Vehicles & Parts,Motor Vehicles and Parts,"Osaka, Japan","240,865",http://global-sei.com/,22,Sumitomo Electric Industries,2016
441,Michael M. McNamara,Technology,Semiconductors and Other Electronic Components,"Singapore, Singapore","200,000",http://www.flextronics.com,16,Flextronics International,2016
442,Alain Dehaze,Business Services,Temporary Help,"Glattbrugg, Switzerland","32,000",http://www.adecco.com,18,Adecco Group,2016
443,Lie-Way Chen,Energy,Petroleum Refining,"Taipei, Taiwan","14,685",http://www.cpc.com.tw,17,CPC,2016
444,Stuart Parker,Financials,Insurance: Property and Casualty (Stock),"San Antonio, TX","28,681",http://www.usaa.com,3,USAA,2016
445,Wiebe Draijer,Financials,Banks: Commercial and Savings,"Utrecht, Netherlands","45,658",http://www.rabobank.com,22,Rabobank Group,2016
446,Lynn J. Good,Energy,Utilities,"Charlotte, NC","29,188",http://www.duke-energy.com,13,Duke Energy,2016
447,Tetsuro Tomita,Transportation,Railroads,"Tokyo, Japan","86,127",http://www.jreast.co.jp,22,East Japan Railway,2016
448,Satoru Katsuno,Energy,Utilities,"Nagoya, Japan","30,659",http://www.chuden.co.jp,22,Chubu Electric Power,2016
449,David J. Lesar,Energy,"Oil and Gas Equipment, Services","Houston, TX","65,000",http://www.halliburton.com,14,Halliburton,2016
450,Wesley G. Bush,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA","65,000",http://www.northropgrumman.com,17,Northrop Grumman,2016
451,Jean-Dominique Senard,Motor Vehicles & Parts,Motor Vehicles and Parts,"Clermont-Ferrand, France","105,798",http://www.michelin.com,22,Michelin,2016
452,Takashi Niino,Technology,Information Technology Services,"Tokyo, Japan","98,726",http://www.nec.com,22,NEC,2016
453,Frank Mastiaux,Energy,Utilities,"Karlsruhe, Germany","18,763",http://www.enbw.com,10,Energie Baden-Württemberg,2016
454,Wojciech Jasinski,Energy,Petroleum Refining,"Plock, Poland","19,932",http://www.orlen.pl,10,PKN ORLEN Group,2016
455,Michael J. Long,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, CO","18,500",http://www.arrow.com,3,Arrow Electronics,2016
456,Mark Edward Tucker,Financials,"Insurance: Life, Health (stock)","Hong Kong, China","20,000",http://www.aia.com,2,AIA Group,2016
457,Thomas A. Kennedy,Aerospace & Defense,Aerospace and Defense,"Waltham, MA","61,000",http://www.raytheon.com,21,Raytheon,2016
458,Steven W. Williams,Energy,Petroleum Refining,"Calgary, Alberta, Canada","13,190",http://www.suncor.com,8,Suncor Energy,2016
459,Jean-François van Boxmeer,"Food, Beverages & Tobacco",Beverages,"Amsterdam, Netherlands","73,767",http://www.theheinekencompany.com,10,Heineken Holding,2016
460,Greg L. Armstrong,Energy,Pipelines,"Houston, TX","5,400",http://www.plainsallamerican.com,3,Plains GP Holdings,2016
461,Pietro Satriano,Wholesalers,Wholesalers: Food and Grocery,"Rosemont, IL","25,000",http://www.usfoods.com,1,US Foods Holding,2016
462,William R. McDermott,Technology,Computer Software,"Walldorf, Germany","76,986",http://www.sap.com,1,SAP,2016
463,Pablo Isla Alvarez de Tejera,Retailing,Specialty Retailers,"Arteixo, Spain","152,854",http://www.inditex.com,1,Inditex,2016
464,Seung-Hoon Lee,Energy,Energy,"Daegu, South Korea","3,412",http://www.kogas.or.kr,7,Korea Gas,2016
465,Xu Lirong,Transportation,Shipping,"Shanghai, China","82,708",http://www.coscocs.com,9,China COSCO Shipping,2016
466,Michel Landel,"Hotels, Resturants & Leisure",Food Services,"Issy-les-Moulineaux, France","422,844",http://www.sodexo.com,17,Sodexo,2016
467,Friedrich Joussen,Business Services,Miscellaneous,"Hanover, Germany","76,036",http://www.tuigroup.com,22,TUI,2016
468,Ming-Ho Hsiung,Financials,"Insurance: Life, Health (stock)","Taipei, Taiwan","32,296",http://www.cathaylife.com.tw,15,Cathay Life Insurance,2016
469,Richard A. Gonzalez,Health Care,Pharmaceuticals,"North Chicago, IL","28,000",http://www.abbvie.com,1,AbbVie,2016
470,Michael F. Neidorff,Health Care,Health Care: Insurance and Managed Care,"St. Louis, MO","18,200",http://www.centene.com,1,Centene,2016
471,John Pettigrew,Energy,Utilities,"London, Britain","25,068",http://www.nationalgrid.com,11,National Grid,2016
472,Sheikh Ahmed bin Saeed Al Maktoum,Transportation,Airlines,"Dubai, U.A.E.","61,205",http://www.theemiratesgroup.com,1,Emirates Group,2016
473,"Li Tzar Kuoi, Victor",Retailing,Specialty Retailers,"Hong Kong, China","270,000",http://www.ckh.com.hk,1,CK Hutchison Holdings,2016
474,Thilo Mannhardt,Energy,Energy,"São Paulo, Brazil","14,597",http://www.ultra.com.br,7,Ultrapar Holdings,2016
475,Wayne T. Smith,Health Care,Health Care: Medical Facilities,"Franklin, TN","123,000",http://www.chs.net,1,Community Health Systems,2016
476,Klaus Kleinfeld,Materials,Metals,"New York, NY","60,000",http://www.alcoa.com,21,Arconic,2016
477,Andrew Owens,Energy,Energy,"London, Britain",594,http://www.greenergy.com,2,Greenergy Fuels Holdings,2016
478,Andrey Leonidovich Kostin,Financials,Banks: Commercial and Savings,"Moscow, Russia","92,882",http://www.vtb.com,3,VTB Bank,2016
479,Mark S. Sutton,Materials,Miscellaneous,"Memphis, TN","56,000",http://www.internationalpaper.com,22,International Paper,2016
480,David N. Farr,Industrials,"Electronics, Electrical Equip.","St. Louis, MO","110,800",http://www.emerson.com,22,Emerson Electric,2016
481,Fang Hongbo,Industrials,"Electronics, Electrical Equip.","Foshan, China","93,299",http://www.midea.com,1,Midea Group,2016
482,Andrew R. Penn,Telecommunications,Telecommunications,"Melbourne, Australia","36,165",http://www.telstra.com.au,19,Telstra,2016
483,Gerald W. Schwartz,Technology,Semiconductors and Other Electronic Components,"Toronto, Ontario, Canada","144,000",http://www.onex.com,17,Onex,2016
484,Zhou Mingchun,Wholesalers,Wholesalers: Diversified,"Beijing, China","11,481",http://www.cnaf.com,6,China National Aviation Fuel Group,2016
485,Lance M. Fritz,Transportation,Railroads,"Omaha, NE","47,457",http://www.up.com,13,Union Pacific,2016
486,John W. Martin,Wholesalers,Wholesalers: Diversified,"Zug, Switzerland","38,464",http://www.wolseley.com,11,Wolseley,2016
487,Robert A. Bradway,Health Care,Pharmaceuticals,"Thousand Oaks, CA","17,900",http://www.amgen.com,1,Amgen,2016
488,Karl-Johan Persson,Retailing,Specialty Retailers,"Stockholm, Sweden","104,634",http://www.hm.com,1,H & M Hennes & Mauritz,2016
489,Zhang Gongyan,Materials,Metals,"Beijing, China","114,807",http://www.shougang.com.cn,6,Shougang Group,2016
490,Richard K. Davis,Financials,Banks: Commercial and Savings,"Minneapolis, MN","65,433",http://www.usbank.com,11,U.S. Bancorp,2016
491,Carlo Cimbri,Financials,"Insurance: Life, Health (stock)","Bologna, Italy","13,242",http://www.unipol.it,3,Unipol Group,2016
492,Taizo Kubo,Wholesalers,Wholesalers: Health Care,"Tokyo, Japan","11,788",http://www.alfresa.com,7,Alfresa Holdings,2016
493,Patrick Frost,Financials,"Insurance: Life, Health (stock)","Zurich, Switzerland","7,595",http://www.swisslife.com,15,Swiss Life,2016
494,Jacques van den Broek,Business Services,Temporary Help,"Diemen, Netherlands","29,750",http://www.randstad.com,4,Randstad Holding,2016
495,Wan Long,"Food, Beverages & Tobacco",Food Consumer Products,"Hong Kong, China","105,000",http://www.wh-group.com,1,WH Group,2016
496,Hui Kayan,Financials,Real estate,"Guangzhou, China","83,372",http://www.evergrande.com,1,Evergrande Real Estate Group,2016
497,Shira Goodman,Retailing,Specialty Retailers,"Framingham, MA","58,963",http://www.staples.com,14,Staples,2016
498,William T. Winters,Financials,Banks: Commercial and Savings,"London, Britain","84,076",http://www.sc.com,9,Standard Chartered,2016
499,Warren East,Aerospace & Defense,Aerospace and Defense,"London, Britain","50,500",http://www.rolls-royce.com,3,Rolls-Royce Holdings,2016
500,Bruce Hemphill,Financials,"Insurance: Life, Health (stock)","London, Britain","64,043",http://www.oldmutual.com,15,Old Mutual,2016
