id,CEO,Sector,Industry,HQ Location,Employees,Website,Years on Global 500 List,company,year
60,Hiroo Unoura,Telecommunications,Telecommunications,"Tokyo, Japan","241,450",http://www.ntt.co.jp,22,Nippon Telegraph & Telephone,2016
61,Dennis A. Muilenburg,Aerospace & Defense,Aerospace and Defense,"Chicago, IL","161,400",http://www.boeing.com,22,Boeing,2016
62,Meng Fengchao,Engineering & Construction,"Engineering, Construction","Beijing, China","284,100",http://www.crcc.cn,5,China Railway Construction,2016
63,Satya Nadella,Technology,Computer Software,"Redmond, WA","118,000",http://www.microsoft.com,19,Microsoft,2016
64,Brian T. Moynihan,Financials,Banks: Commercial and Savings,"Charlotte, NC","213,280",http://www.bankofamerica.com,22,Bank of America Corp.,2016
65,Claudio Descalzi,Energy,Petroleum Refining,"Rome, Italy","81,954",http://www.eni.com,22,ENI,2016
66,Paul Bulcke,"Food, Beverages & Tobacco",Food Consumer Products,"Vevey, Switzerland","335,000",http://www.nestle.com,22,Nestlé,2016
67,Timothy J. Sloan,Financials,Banks: Commercial and Savings,"San Francisco, CA","264,700",http://www.wellsfargo.com,19,Wells Fargo,2016
68,Stuart T. Gulliver,Financials,Banks: Commercial and Savings,"London, Britain","264,000",http://www.hsbc.com,22,HSBC Holdings,2016
69,Craig A. Menear,Retailing,Specialty Retailers,"Atlanta, GA","385,000",http://www.homedepot.com,22,Home Depot,2016
70,Michael L. Corbat,Financials,Banks: Commercial and Savings,"New York, NY","231,000",http://www.citigroup.com,22,Citigroup,2016
71,Josef Kaeser,Industrials,"Electronics, Electrical Equip.","Munich, Germany","348,000",http://www.siemens.com,22,Siemens,2016
72,David J. Lewis,Food & Drug Stores,Food and Drug Stores,"Welwyn Garden City, Britain","357,835",http://www.tescoplc.com,22,Tesco,2016
73,Georges Plassat,Food & Drug Stores,Food and Drug Stores,"Boulogne-Billancourt, France","380,920",http://www.carrefour.com,22,Carrefour,2016
74,Greg C. Garland,Energy,Petroleum Refining,"Houston, TX","14,000",http://www.phillips66.com,4,Phillips 66,2016
75,José Antonio Álvarez,Financials,Banks: Commercial and Savings,"Madrid, Spain","191,038",http://www.santander.com,22,Banco Santander,2016
76,Vagit Y. Alekperov,Energy,Petroleum Refining,"Moscow, Russia","106,200",http://www.lukoil.com,17,Lukoil,2016
77,Philippe Brassac,Financials,Banks: Commercial and Savings,"Paris, France","71,499",http://www.credit-agricole.com,22,Crédit Agricole,2016
78,Francesco Starace,Energy,Utilities,"Rome, Italy","67,914",http://www.enel.com,22,Enel,2016
79,Toshiaki Higashihara,Industrials,"Electronics, Electrical Equip.","Tokyo, Japan","335,244",http://www.hitachi.com,22,Hitachi,2016
80,Jean-Bernard Lévy,Energy,Utilities,"Paris, France","156,312",http://www.edf.fr,22,Électricité de France,2016
81,Zhu YanFeng,Motor Vehicles & Parts,Motor Vehicles and Parts,"Wuhan, China","191,950",http://www.dfmc.com.cn,7,Dongfeng Motor Group,2016
82,Virginia M. Rometty,Technology,Information Technology Services,"Armonk, NY","411,798",http://www.ibm.com,22,IBM,2016
83,Joseph Gorder,Energy,Petroleum Refining,"San Antonio, TX","10,103",http://www.valero.com,16,Valero Energy,2016
84,Mong-Koo Chung,Motor Vehicles & Parts,Motor Vehicles and Parts,"Seoul, South Korea","129,315",http://worldwide.hyundai.com,21,Hyundai Motor,2016
85,Joseph R. Swedish,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN","53,000",http://www.antheminc.com,15,Anthem,2016
86,David S. Taylor,Household Products,Household and Personal Products,"Cincinnati, OH","110,000",http://www.pg.com,22,Procter & Gamble,2016
87,Volkmar Denner,Motor Vehicles & Parts,Motor Vehicles and Parts,"Stuttgart, Germany","374,778",http://www.bosch.com,22,Robert Bosch,2016
88,Kurt W. Bock,Chemicals,Chemicals,"Ludwigshafen, Germany","108,048",http://www.basf.com,22,BASF,2016
89,Isabelle Kocher,Energy,Energy,"Courbevoie, France","154,935",http://www.engie.com,21,Engie,2016
90,Timotheus Höttges,Telecommunications,Telecommunications,"Bonn, Germany","226,000",http://www.telekom.com,22,Deutsche Telekom,2016
91,Xi Luo,Retailing,General Merchandisers,"Hong Kong, China","447,348",http://www.crc.com.hk,7,China Resources National,2016
92,Masayoshi Son,Telecommunications,Telecommunications,"Tokyo, Japan","63,591",http://www.softbank.jp,9,SoftBank Group,2016
93,Michael L. Tipsord,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL","70,425",http://www.statefarm.com,22,State Farm Insurance Cos.,2016
94,Larry Page,Technology,Internet Services and Retailing,"Mountain View, CA","61,814",http://www.abc.xyz,8,Alphabet,2016
95,Zhao Jianguo,Energy,Utilities,"Guangzhou, China","303,301",http://www.csg.cn,12,China Southern Power Grid,2016
96,Brian L. Roberts,Telecommunications,Telecommunications,"Philadelphia, PA","153,000",http://www.comcastcorporation.com,14,Comcast,2016
97,Brian C. Cornell,Retailing,General Merchandisers,"Minneapolis, MN","341,000",http://www.target.com,22,Target,2016
98,José Antonio González Anaya,Energy,"Mining, Crude-Oil Production","Mexico City, Mexico","130,447",http://www.pemex.com,22,Pemex,2016
99,Yan Hao,Engineering & Construction,"Engineering, Construction","Nanjing, China","351,679",http://www.cpcg.com.cn,3,Pacific Construction Group,2016
100,Thomas Enders,Aerospace & Defense,Aerospace and Defense,"Leiden, Netherlands","136,574",http://www.airbusgroup.com,22,Airbus Group,2016
101,Olaf Koch,Food & Drug Stores,Food and Drug Stores,"Düsseldorf, Germany","203,773",http://www.metrogroup.de,21,Metro,2016
102,Xu Liuping,Aerospace & Defense,Aerospace and Defense,"Beijing, China","238,287",http://www.chinasouth.com.cn,7,China South Industries Group,2016
103,Alex Gorsky,Health Care,Pharmaceuticals,"New Brunswick, NJ","127,100",http://www.jnj.com,16,Johnson & Johnson,2016
104,Steven A. Kandarian,Financials,"Insurance: Life, Health (stock)","New York, NY","69,000",http://www.metlife.com,22,MetLife,2016
105,Li Guohua,Transportation,"Mail, Package, and Freight Delivery","Beijing, China","938,494",http://www.chinapost.com.cn,6,China Post Group,2016
106,Nikolaus von Bomhard,Financials,Insurance: Property and Casualty (Stock),"Munich, Germany","43,554",http://www.munichre.com,22,Munich Re Group,2016
107,Megan J. Brennan,Transportation,"Mail, Package, and Freight Delivery","Washington, DC","556,850",http://www.usps.com,22,U.S. Postal Service,2016
108,Frank Appel,Transportation,"Mail, Package, and Freight Delivery","Bonn, Germany","450,508",http://www.dpdhl.com,22,Deutsche Post,2016
109,Yang Hua,Energy,"Mining, Crude-Oil Production","Beijing, China","110,200",http://www.cnooc.com.cn,10,China National Offshore Oil,2016
110,Liu Qitao,Engineering & Construction,"Engineering, Construction","Beijing, China","136,655",http://www.ccccltd.cn,9,China Communications Construction,2016
111,Motoya Okada,Retailing,General Merchandisers,"Chiba, Japan","265,736",http://www.aeon.info,22,AEON,2016
112,Juan R. Luciano,"Food, Beverages & Tobacco",Food Production,"Chicago, IL","32,300",http://www.adm.com,22,Archer Daniels Midland,2016
113,Kazuo Hirai,Technology,"Electronics, Electrical Equip.","Tokyo, Japan","125,300",http://www.sony.net,22,Sony,2016
114,Yoshinobu Tsutsui,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan","73,578",http://www.nissay.co.jp,22,Nippon Life Insurance,2016
115,Alexandre Corrêa Abreu,Financials,Banks: Commercial and Savings,"Brasília, Brazil","109,191",http://www.bb.com.br,22,Banco do Brasil,2016
116,William J. Randall,Wholesalers,Trading,"Hong Kong, China","1,500",http://www.thisisnoble.com,9,Noble Group,2016
117,Ralph Hamers,Financials,Banks: Commercial and Savings,"Amsterdam, Netherlands","57,553",http://www.ing.com,22,ING Group,2016
118,Igor I. Sechin,Energy,Petroleum Refining,"Moscow, Russia","261,500",http://www.rosneft.com,11,Rosneft Oil,2016
119,Wu Yan,Financials,Insurance: Property and Casualty (Stock),"Beijing, China","172,213",http://www.picc.com.cn,7,People’s Insurance Co. of China,2016
120,Gary R. Heminger,Energy,Petroleum Refining,"Findlay, OH","45,440",http://www.marathonpetroleum.com%20,5,Marathon Petroleum,2016
121,Yu Xubo,Wholesalers,Trading,"Beijing, China","121,767",http://www.cofco.com,22,COFCO,2016
122,Wang Yuzhu,Wholesalers,Trading,"Tianjin, China","17,860",http://www.tewoo.com,5,Tewoo Group,2016
123,Lakshmi N. Mittal,Materials,Metals,Luxembourg,"209,404",http://www.arcelormittal.com,12,ArcelorMittal,2016
124,Donald H. Layton,Financials,Diversified Financials,"McLean, VA","5,439",http://www.freddiemac.com,20,Freddie Mac,2016
125,Wan Zulkiflee Wan Ariffin,Energy,Petroleum Refining,"Kuala Lumpur, Malaysia","53,149",http://www.petronas.com.my,20,Petronas,2016
126,Michael A. Wells,Financials,"Insurance: Life, Health (stock)","London, Britain","23,924",http://www.prudential.co.uk,21,Prudential,2016
127,Indra K. Nooyi,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY","263,000",http://www.pepsico.com,22,PepsiCo,2016
128,Kazuhiro Tsuga,Technology,"Electronics, Electrical Equip.","Osaka, Japan","249,520",http://www.panasonic.com/global,22,Panasonic,2016
129,Ren Zhengfei,Technology,Network and Other Communications Equipment,"Shenzhen, China","170,000",http://www.huawei.com,7,Huawei Investment & Holding,2016
130,Xu Ping,Motor Vehicles & Parts,Motor Vehicles and Parts,"Changchun, China","132,083",http://www.faw.com.,12,China FAW Group,2016
131,Yukio Uchida,Energy,Petroleum Refining,"Tokyo, Japan","26,339",http://www.hd.jx-group.co.jp,22,JX Holdings,2016
132,Yang Jie,Telecommunications,Telecommunications,"Beijing, China","417,101",http://www.chinatelecom.com.cn,17,China Telecommunications,2016
133,Vittorio Colao,Telecommunications,Telecommunications,"Newbury, Britain","111,684",http://www.vodafone.com,17,Vodafone Group,2016
134,Yin Jiaxu,Aerospace & Defense,Aerospace and Defense,"Beijing, China","241,309",http://www.norincogroup.com.cn,7,China North Industries Group,2016
135,Koichiro Watanabe,Financials,"Insurance: Life, Health (stock)","Tokyo, Japan","54,617",http://www.dai-ichi-life.co.jp,22,Dai-ichi Life Insurance,2016
136,Gregory J. Hayes,Aerospace & Defense,Aerospace and Defense,"Farmington, CT","197,200",http://www.utc.com,22,United Technologies,2016
137,José María Álvarez-Pallete López,Telecommunications,Telecommunications,"Madrid, Spain","129,890",http://www.telefonica.com,22,Telefónica,2016
138,Fumiya Kokubu,Wholesalers,Trading,"Tokyo, Japan","39,914",http://www.marubeni.com,22,Marubeni,2016
139,Ning Gaoning,Wholesalers,Trading,"Beijing, China","53,432",http://www.sinochem.com,21,Sinochem Group,2016
140,Carlos Tavares,Motor Vehicles & Parts,Motor Vehicles and Parts,"Paris, France","187,347",http://www.psa-peugeot-citroen.com,22,Peugeot,2016
141,Mario Greco,Financials,Insurance: Property and Casualty (Stock),"Zurich, Switzerland","54,335",http://www.zurich.com,22,Zurich Insurance Group,2016
142,Mark T. Bertolini,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT","50,100",http://www.aetna.com,16,Aetna,2016
143,Tan Ruisong,Aerospace & Defense,Aerospace and Defense,"Beijing, China","542,236",http://www.avic.com.cn,8,Aviation Industry Corp. of China,2016
144,Vianney Mulliez,Food & Drug Stores,Food and Drug Stores,"Croix, France","337,737",http://www.auchan.com,20,Auchan Holding,2016
145,Eldar Saetre,Energy,Petroleum Refining,"Stavanger, Norway","21,581",http://www.statoil.com,22,Statoil,2016
146,Tevin Vongvanich,Energy,Petroleum Refining,"Bangkok, Thailand","24,790",http://www.pttplc.com,13,PTT,2016
147,Paul Polman,Household Products,Household and Personal Products,"London, Britain/Netherlands","171,000",http://www.unilever.com,22,Unilever,2016
148,Robert A. Niblock,Retailing,Specialty Retailers,"Mooresville, NC","225,000",http://www.lowes.com,19,Lowe’s,2016
149,David P. Abney,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA","341,240",http://www.ups.com,22,UPS,2016
150,Peter D. Hancock,Financials,Insurance: Property and Casualty (Stock),"New York, NY","66,400",http://www.aig.com,21,AIG,2016
151,Takehiko Kakiuchi,Wholesalers,Trading,"Tokyo, Japan","68,247",http://www.mitsubishicorp.com,22,Mitsubishi,2016
152,John R. Strangfeld Jr.,Financials,"Insurance: Life, Health (stock)","Newark, NJ","49,384",http://www.prudential.com,22,Prudential Financial,2016
153,Niu Ximing,Financials,Banks: Commercial and Savings,"Shanghai, China","93,770",http://www.bankcomm.com,8,Bank of Communications,2016
154,Daniel Hajj Aboumrad,Telecommunications,Telecommunications,"Mexico City, Mexico","195,475",http://www.americamovil.com,10,América Móvil,2016
155,François Pérol,Financials,Banks: Commercial and Savings,"Paris, France","102,886",http://www.groupebpce.fr,7,Groupe BPCE,2016
156,Chang Zhenming,Financials,Diversified Financials,"Beijing, China","194,795",http://www.group.citic,8,CITIC Group,2016
157,Gonzalo Ramirez Martiarena,"Food, Beverages & Tobacco",Food Production,"Rotterdam, Netherlands","17,555",http://www.ldcom.com,3,Louis Dreyfus,2016
158,Brian M. Krzanich,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA","107,300",http://www.intel.com,22,Intel,2016
159,Roberto Egydio Setubal,Financials,Banks: Commercial and Savings,"São Paulo, Brazil","90,320",http://www.itau.com.br,3,Itaú Unibanco Holding,2016
160,Xu Heyi,Motor Vehicles & Parts,Motor Vehicles and Parts,"Beijing, China","126,000",http://www.baicgroup.com.cn%20%20%20,4,Beijing Automotive Group,2016
161,B. Ashok,Energy,Petroleum Refining,"New Delhi, India","34,659",http://www.iocl.com,22,Indian Oil,2016
162,Bruce D. Broussard,Health Care,Health Care: Insurance and Managed Care,"Louisville, KY","50,100",http://www.humana.com,18,Humana,2016
163,Zhang Shiping,Apparel,Miscellaneous,"Shandong, China","140,358",http://www.weiqiaocy.com,5,Shandong Weiqiao Pioneering Group,2016
164,Robert A. Iger,Media,Entertainment,"Burbank, CA","185,000",http://www.disney.com,22,Disney,2016
165,Werner Baumann,Health Care,Pharmaceuticals,"Leverkusen, Germany","116,800",http://www.bayer.com,22,Bayer,2016
166,John Cryan,Financials,Banks: Commercial and Savings,"Frankfurt, Germany","101,104",http://www.db.com,22,Deutsche Bank,2016
167,Severin Schwan,Health Care,Pharmaceuticals,"Basel, Switzerland","91,747",http://www.roche.com,22,Roche Group,2016
168,Andrew Mackenzie,Energy,"Mining, Crude-Oil Production","Melbourne, Australia","42,829",http://www.bhpbilliton.com,22,BHP Billiton,2016
169,Satoshi Tsunakawa,Industrials,"Electronics, Electrical Equip.","Tokyo, Japan","188,000",http://www.toshiba.co.jp,22,Toshiba,2016
170,Didier Lévêque,Food & Drug Stores,Food and Drug Stores,"Paris, France","330,433",http://www.finatis.fr,2,Finatis,2016
171,Richard J.B. Goyder,Food & Drug Stores,Food and Drug Stores,"Perth, Australia","205,000",http://www.wesfarmers.com.au,8,Wesfarmers,2016
172,Hwan-Eik Cho,Energy,Utilities,"Jeollanam-do, South Korea","41,949",http://www.kepco.co.kr,22,Korea Electric Power,2016
173,Oh-Joon Kwon,Materials,Metals,"Seoul, South Korea","34,327",http://www.posco.com,22,POSCO,2016
174,Peter Terium,Energy,Utilities,"Essen, Germany","59,762",http://www.rwe.com,22,RWE,2016
175,Joseph Jimenez,Health Care,Pharmaceuticals,"Basel, Switzerland","118,700",http://www.novartis.com,22,Novartis,2016
176,Brad Banducci,Food & Drug Stores,Food and Drug Stores,"Bella Vista, Australia","197,000",http://www.woolworthslimited.com.au,20,Woolworths,2016
177,Naomi Hirose,Energy,Utilities,"Tokyo, Japan","42,855",http://www.tepco.co.jp,22,Tokyo Electric Power,2016
178,Carlos Ghosn,Motor Vehicles & Parts,Motor Vehicles and Parts,"Boulogne-Billancourt, France","120,136",http://www.groupe.renault.com,22,Renault,2016
179,Ryuichi Isaka,Food & Drug Stores,Food and Drug Stores,"Tokyo, Japan","53,993",http://www.7andi.com,11,Seven & I Holdings,2016
180,Do-Hyun Jung,Technology,"Electronics, Electrical Equip.","Seoul, South Korea","77,000",http://www.lg.com,16,LG Electronics,2016
181,James E. Staley,Financials,Banks: Commercial and Savings,"London, Britain","129,400",http://www.barclays.com,22,Barclays,2016
182,Frédéric Lavenir,Financials,"Insurance: Life, Health (stock)","Paris, France","4,740",http://www.cnp.fr,22,CNP Assurances,2016
183,Charles H. Robbins,Technology,Network and Other Communications Equipment,"San Jose, CA","71,833",http://www.cisco.com,17,Cisco Systems,2016
184,Heinrich Hiesinger,Materials,Metals,"Essen, Germany","154,906",http://www.thyssenkrupp.com,22,ThyssenKrupp,2016
185,Wesley Mendonça Batista,"Food, Beverages & Tobacco",Food Production,"São Paulo, Brazil","238,020",http://jbss.infoinvest.com.br,7,JBS,2016
186,Ian C. Read,Health Care,Pharmaceuticals,"New York, NY","97,900",http://www.pfizer.com,22,Pfizer,2016
187,Andrew N. Liveris,Chemicals,Chemicals,"Midland, MI","49,495",http://www.dow.com,22,Dow Chemical,2016
188,William J. DeLaney III,Wholesalers,Wholesalers: Food and Grocery,"Houston, TX","51,700",http://www.sysco.com,22,Sysco,2016
189,Tian Huiyu,Financials,Banks: Commercial and Savings,"Shenzhen, China","76,192",http://www.cmbchina.com,5,China Merchants Bank,2016
190,Wang Wenyin,Industrials,"Electronics, Electrical Equip.","Shenzhen, China","17,683",http://www.amer.com.cn,4,Amer International Group,2016
191,Nobuyuki Hirano,Financials,Banks: Commercial and Savings,"Tokyo, Japan","110,936",http://www.mufg.jp,15,Mitsubishi UFJ Financial Group,2016
192,Frederick W. Smith,Transportation,"Mail, Package, and Freight Delivery","Memphis, TN","323,035",http://www.fedex.com,22,FedEx,2016
193,António Horta-Osório,Financials,Banks: Commercial and Savings,"London, Britain","75,306",http://www.lloydsbankinggroup.com,22,Lloyds Banking Group,2016
194,D. James Umpleby III,Industrials,Construction and Farm Machinery,"Peoria, IL","112,200",http://www.caterpillar.com,22,Caterpillar,2016
195,Tao Yiping,Financials,Banks: Commercial and Savings,"Fuzhou, China","52,016",http://www.cib.com.cn,4,Industrial Bank,2016
196,Pierre-André de Chalendar,Materials,"Building Materials, Glass","Courbevoie, France","168,114",http://www.saint-gobain.com,22,Saint-Gobain,2016
197,Marillyn A. Hewson,Aerospace & Defense,Aerospace and Defense,"Bethesda, MD","126,000",http://www.lockheedmartin.com,22,Lockheed Martin,2016
198,Theodore A. Mathas,Financials,"Insurance: Life, Health (Mutual)","New York, NY","11,463",http://www.newyorklife.com,22,New York Life Insurance,2016
199,Herman O. Gref,Financials,Banks: Commercial and Savings,"Moscow, Russia","330,677",http://www.sberbank.ru,9,Sberbank,2016
200,Yan Zhiyong,Engineering & Construction,"Engineering, Construction","Beijing, China","196,368",http://www.powerchina.cn,5,PowerChina,2016
201,Yu Yong,Materials,Metals,"Shijiazhuang, China","128,798",http://www.hbisco.com,8,HeSteel Group,2016
202,Yang Yuanqing,Technology,"Computers, Office Equipment","Hong Kong, China","60,000",http://www.lenovo.com,7,Lenovo Group,2016
203,Rudiger Grube,Transportation,Railroads,"Berlin, Germany","297,202",http://www.deutschebahn.com,22,Deutsche Bahn,2016
204,Stéphane Richard,Telecommunications,Telecommunications,"Paris, France","156,191",http://www.orange.com,22,Orange,2016
205,She Lulin,Health Care,Pharmaceuticals,"Beijing, China","104,464",http://www.sinopharm.com,4,Sinopharm,2016
206,Muhtar Kent,"Food, Beverages & Tobacco",Beverages,"Atlanta, GA","123,200",http://www.coca-colacompany.com,22,Coca-Cola,2016
207,Wang Xiaochu,Telecommunications,Telecommunications,"Shanghai, China","231,299",http://www.chinaunicom-a.com,8,China United Network Communications,2016
208,Hyoung-Keun Lee,Motor Vehicles & Parts,Motor Vehicles and Parts,"Seoul, South Korea","50,348",http://www.kia.com,5,Kia Motors,2016
209,Luiz Carlos Trabuco Cappi,Financials,Banks: Commercial and Savings,"Osasco, Brazil","79,782",http://www.bradesco.com.br,20,Banco Bradesco,2016
210,Xavier Huillard,Engineering & Construction,"Engineering, Construction","Rueil-Malmaison, France","185,452",http://www.vinci.com,16,Vinci,2016
211,Carlos Brito,"Food, Beverages & Tobacco",Beverages,"Leuven, Belgium","152,321",http://www.ab-inbev.com,11,Anheuser-Busch InBev,2016
212,R. Milton Johnson,Health Care,Health Care: Medical Facilities,"Nashville, TN","203,500",http://www.hcahealthcare.com,22,HCA Holdings,2016
213,Elmar Degenhart,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hanover, Germany","207,899",http://www.continental-corporation.com,14,Continental,2016
214,Soren W. Schroder,"Food, Beverages & Tobacco",Food Production,"White Plains, NY","33,000",http://www.bunge.com,14,Bunge,2016
215,Mukesh D. Ambani,Energy,Petroleum Refining,"Mumbai, India","24,930",http://www.ril.com,13,Reliance Industries,2016
216,Alistair Phillips-Davies,Energy,Utilities,"Perth, Britain","21,118",http://www.sse.com,11,SSE,2016
217,Cao Peixi,Energy,Energy,"Beijing, China","142,910",http://www.chng.com.cn,8,China Huaneng Group,2016
218,Alain Monié,Wholesalers,Wholesalers: Electronics and Office Equipment,"Irvine, CA","27,700",http://www.ingrammicro.com,20,Ingram Micro,2016
219,Carlos Torres Vila,Financials,Banks: Commercial and Savings,"Bilbao, Spain","137,968",http://www.bbva.com,22,Banco Bilbao Vizcaya Argentaria,2016
220,Iain Conn,Energy,Utilities,"Windsor, Britain","38,848",http://www.centrica.com,19,Centrica,2016
221,Zheng Wanchun,Financials,Banks: Commercial and Savings,"Beijing, China","59,510",http://www.cmbc.com.cn%20,4,China Minsheng Banking,2016
222,Dick Boer,Food & Drug Stores,Food and Drug Stores,"Zaandam, Netherlands","129,000",http://www.ahold.com,22,Royal Ahold,2016
223,Masahiro Okafuji,Wholesalers,Trading,"Osaka, Japan","120,413",http://www.itochu.co.jp,22,Itochu,2016
224,Carlo Messina,Financials,Banks: Commercial and Savings,"Turin, Italy","90,807",http://www.group.intesasanpaolo.com,18,Intesa Sanpaolo,2016
225,John W. McReynolds,Energy,Pipelines,"Dallas, TX","30,078",http://www.energytransfer.com,3,Energy Transfer Equity,2016
226,Guenter Butschek,Motor Vehicles & Parts,Motor Vehicles and Parts,"Mumbai, India","76,500",http://www.tatamotors.com,7,Tata Motors,2016
227,Ji Xiaohui,Financials,Banks: Commercial and Savings,"Shanghai, China","48,427",http://www.spdb.com.cn,4,Shanghai Pudong Development Bank,2016
228,Sidney Toledano,Apparel,Apparel,"Paris, France","113,208",http://www.dior-finance.com,16,Christian Dior,2016
229,Chan Chauto,Energy,Energy,"Shanghai, China","23,055",http://www.cefc.co,3,CEFC China Energy,2016
230,Dwi Soetjipto,Energy,Petroleum Refining,"Jakarta, Indonesia","27,971",http://www.pertamina.com,4,Pertamina,2016
231,Yasuyoshi Karasawa,Financials,Insurance: Property and Casualty (Stock),"Tokyo, Japan","40,617",http://www.ms-ad-hd.com,18,MS&AD Insurance Group Holdings,2016
232,Arundhati Bhattacharya,Financials,Banks: Commercial and Savings,"Mumbai, India","293,459",http://www.sbi.co.in,11,State Bank of India,2016
233,Olivier Brandicourt,Health Care,Pharmaceuticals,"Paris, France","115,631",http://www.sanofi.com,12,Sanofi,2016
234,Ren Jianxin,Chemicals,Chemicals,"Beijing, China","129,836",http://www.chemchina.com,6,ChemChina,2016
235,Thomas P. Hayes,"Food, Beverages & Tobacco",Food Production,"Springdale, AR","113,000",http://www.tysonfoods.com,15,Tyson Foods,2016
236,W. Douglas Parker,Transportation,Airlines,"Fort Worth, TX","118,500",http://www.aa.com,22,American Airlines Group,2016
237,Kil-Seon Choi,Industrials,Industrial Machinery,"Ulsan, South Korea","35,195",http://www.hyundaiheavy.com,10,Hyundai Heavy Industries,2016
238,Kosei Shindo,Materials,Metals,"Tokyo, Japan","92,504",http://www.nssmc.com,22,Nippon Steel & Sumitomo Metal,2016
239,Edward H. Bastian,Transportation,Airlines,"Atlanta, GA","82,949",http://www.delta.com,22,Delta Air Lines,2016
240,Soren Skou,Transportation,Shipping,"Copenhagen, Denmark","88,355",http://www.maersk.com,13,Maersk Group,2016
241,Stephen S. Rasmussen,Financials,Insurance: Property and Casualty (Mutual),"Columbus, OH","34,032",http://www.nationwide.com,22,Nationwide,2016
242,Alex A. Molinaroli,Motor Vehicles & Parts,Motor Vehicles and Parts,"Milwaukee, WI","139,000",http://www.johnsoncontrols.com,20,Johnson Controls,2016
243,Koichi Miyata,Financials,Banks: Commercial and Savings,"Tokyo, Japan","73,652",http://www.smfg.co.jp,22,Sumitomo Mitsui Financial Group,2016
244,Hubert B. Joly,Retailing,Specialty Retailers,"Richfield, MN","125,000",http://www.bestbuy.com,18,Best Buy,2016
245,Tatsuo Yasunaga,Wholesalers,Trading,"Tokyo, Japan","43,611",http://www.mitsui.com,22,Mitsui,2016
246,Kenneth C. Frazier,Health Care,Pharmaceuticals,"Kenilworth, NJ","68,000",http://www.merck.com,22,Merck,2016
247,Yousef Abdullah Al-Benyan,Chemicals,Chemicals,"Riyadh, Saudi Arabia","40,000",http://www.sabic.com,12,SABIC,2016
248,Tatsuya Tanaka,Technology,Information Technology Services,"Tokyo, Japan","156,515",http://www.fujitsu.com,22,Fujitsu,2016
249,David H. Long,Financials,Insurance: Property and Casualty (Stock),"Boston, MA","50,000",http://www.libertymutual.com,22,Liberty Mutual Insurance Group,2016
250,Josu Jon Imaz San Miguel,Energy,Petroleum Refining,"Madrid, Spain","25,917",http://www.repsol.com,22,Repsol,2016
251,"Huo, Lianhong",Financials,"Insurance: Life, Health (stock)","Shanghai, China","91,761",http://www.cpic.com.cn,6,China Pacific Insurance (Group),2016
252,Lloyd C. Blankfein,Financials,Banks: Commercial and Savings,"New York, NY","36,800",http://www.gs.com,17,Goldman Sachs Group,2016
253,Alexander R. Wynaendts,Financials,"Insurance: Life, Health (stock)","The Hague, Netherlands","31,530",http://www.aegon.com,21,Aegon,2016
254,Kuok Khoon Hong,"Food, Beverages & Tobacco",Food Production,"Singapore, Singapore","92,000",http://www.wilmar-international.com,8,Wilmar International,2016
255,Florentino Pérez Rodríguez,Engineering & Construction,"Engineering, Construction","Madrid, Spain","127,362",http://www.grupoacs.com,12,ACS,2016
256,David M. Cote,Industrials,"Electronics, Electrical Equip.","Morris Plains, NJ","129,000",http://www.honeywell.com,22,Honeywell International,2016
257,Sergio P. Ermotti,Financials,Banks: Commercial and Savings,"Zurich, Switzerland","60,099",http://www.ubs.com,22,UBS Group,2016
258,Roger W. Crandall,Financials,"Insurance: Life, Health (Mutual)","Springfield, MA","11,593",http://www.massmutual.com,20,Massachusetts Mutual Life Insurance,2016
259,Jian-Jong Cheng,Technology,"Computers, Office Equipment","Taipei, Taiwan","196,251",http://www.pegatroncorp.com,4,Pegatron,2016
260,Safra A. Catz,Technology,Computer Software,"Redwood City, CA","132,000",http://www.oracle.com,10,Oracle,2016
261,Tsuyoshi Nagano,Financials,Insurance: Property and Casualty (Stock),"Tokyo, Japan","36,902",http://www.tokiomarinehd.com,22,Tokio Marine Holdings,2016
262,Yu Dehui,Materials,Metals,"Beijing, China","133,799",http://www.chalco.com.cn,9,Aluminum Corp. of China,2016
263,James P. Gorman,Financials,Banks: Commercial and Savings,"New York, NY","56,218",http://www.morganstanley.com,19,Morgan Stanley,2016
264,David M. Cordani,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, CT","39,300",http://www.cigna.com,21,Cigna,2016
265,Oscar Munoz,Transportation,Airlines,"Chicago, IL","84,000",http://www.unitedcontinentalholdings.com,21,United Continental Holdings,2016
266,Cui Dianguo,Industrials,Industrial Machinery,"Beijing, China","186,963",http://www.crrcgc.cc,1,CRRC,2016
267,Yang GuoZhan,Energy,"Mining, Crude-Oil Production","Xingtai, China","128,372",http://www.jznyjt.com,6,Jizhong Energy Group,2016
268,Koji Arima,Motor Vehicles & Parts,Motor Vehicles and Parts,"Kariya, Japan","151,775",http://www.globaldenso.com,22,Denso,2016
