id,CEO,Industry,Sector,HQ Location,Website,Years on Global 500 List,company,year
449,D.K. Sarraf,"Mining, Crude-Oil Production",Energy,"Dehradun, India",http://www.ongcindia.com,11,Oil & Natural Gas,2015
450,Mark S. Sutton,"Packaging, Containers",Materials,"Memphis, TN",http://www.internationalpaper.com,21,International Paper,2015
451,Zhang Guangning,Metals,Materials,"Anshan, China",http://www.ansteel.cn,4,Ansteel Group,2015
452,Yasuyuki Yoshinaga,Motor Vehicles and Parts,Motor Vehicles & Parts,"Tokyo, Japan",http://www.fhi.co.jp,13,Fuji Heavy Industries,2015
453,Michael M. McNamara,Semiconductors and Other Electronic Components,Technology,"Singapore, Singapore",http://www.flextronics.com,15,Flextronics International,2015
454,Shuichi Watanabe,Wholesalers: Health Care,Health Care,"Tokyo, Japan",http://www.medipal.co.jp,13,Medipal Holdings,2015
455,Pascal Soriot,Pharmaceuticals,Health Care,"London, Britain",http://www.astrazeneca.com,17,AstraZeneca,2015
456,Chang-Soo Kim,"Insurance: Life, Health (stock)",Financials,"Seoul, South Korea",http://www.samsunglife.com,19,Samsung Life Insurance,2015
457,Zhang Zhengao,Real estate,Financials,"Beijing, China",http://www.poly.com.cn,1,China Poly Group,2015
458,Jean-Dominique Senard,Motor Vehicles and Parts,Motor Vehicles & Parts,"Clermont-Ferrand, France",http://www.michelin.com,21,Michelin,2015
459,Stephen I. Chazen,"Mining, Crude-Oil Production",Energy,"Houston, TX",http://www.oxy.com,15,Occidental Petroleum,2015
460,Gertjan J. Lankhorst,Energy,Energy,"Groningen, Netherlands",http://www.gasterra.nl,10,GasTerra,2015
461,Masayoshi Matsumoto,"Electronics, Electrical Equip.",Industrials,"Osaka, Japan",http://global-sei.com/,21,Sumitomo Electric Industries,2015
462,Lynn J. Good,Utilities: Gas and Electric,Energy,"Charlotte, NC",http://www.duke-energy.com,12,Duke Energy,2015
463,Jean-François van Boxmeer,Beverages,"Food, Beverages & Tobacco","Amsterdam, Netherlands",http://www.heinekenholding.com,9,Heineken Holding,2015
464,Li Xianhua,Airlines,Transportation,"Haikou City, China",http://www.hnagroup.com,1,HNA Group,2015
465,Takeo Higuchi,"Engineering, Construction",Engineering & Construction,"Osaka, Japan",http://www.daiwahouse.co.jp,11,Daiwa House Industry,2015
466,Julian V.F. Roberts,"Insurance: Life, Health (stock)",Financials,"London, Britain",http://www.oldmutual.com,14,Old Mutual,2015
467,Mark Edward Tucker,"Insurance: Life, Health (stock)",Financials,"Hong Kong, China",http://www.aia.com,1,AIA Group,2015
468,Ian G. King,Aerospace and Defense,Aerospace & Defense,"London, Britain",http://www.baesystems.com,21,BAE Systems,2015
469,Friedrich Joussen,Travel Services,"Hotels, Resturants & Leisure","Hanover, Germany",http://www.tui-group.com,21,TUI,2015
470,Kozo Takahashi,"Electronics, Electrical Equip.",Technology,"Osaka, Japan",http://www.sharp.co.jp,21,Sharp,2015
471,Ming-Ho Hsiung,"Insurance: Life, Health (stock)",Financials,"Taipei, Taiwan",http://www.cathaylife.com.tw,14,Cathay Life Insurance,2015
472,Mark Liu,Semiconductors and Other Electronic Components,Technology,"Hsinchu, Taiwan",http://www.tsmc.com,1,Taiwan Semiconductor,2015
473,Sang-Beom Han,"Electronics, Electrical Equip.",Technology,"Seoul, South Korea",http://www.lgdisplay.com,4,LG Display,2015
474,Andrew Owens,Energy,Energy,"London, Britain",http://www.greenergy.com,1,Greenergy Fuels Holdings,2015
475,Albert Manifold,"Building Materials, Glass",Materials,"Dublin, Ireland",http://www.crh.com,12,CRH,2015
476,Tetsuro Tomita,Railroads,Transportation,"Tokyo, Japan",http://www.jreast.co.jp,21,East Japan Railway,2015
477,Li Shufu,Motor Vehicles and Parts,Motor Vehicles & Parts,"Hangzhou, China",http://www.geely.com,4,Zhejiang Geely Holding Group,2015
478,John F. Milligan,Pharmaceuticals,Health Care,"Foster City, CA",http://www.gilead.com,1,Gilead Sciences,2015
479,William T. Winters,Banks: Commercial and Savings,Financials,"London, Britain",http://www.sc.com,8,Standard Chartered,2015
480,Sofyan Basir,Utilities: Gas and Electric,Energy,"Jakarta, Indonesia",http://www.pln.co.id,2,Perusahaan Listrik Negara,2015
481,Andrew Penn,Telecommunications,Telecommunications,"Melbourne, Australia",http://www.telstra.com.au,18,Telstra,2015
482,Patrick Kron,Industrial Machinery,Industrials,"Levallois-Perret, France",http://www.alstom.com,17,Alstom,2015
483,Martin S. Craighead,"Oil and Gas Equipment, Services",Energy,"Houston, TX",http://www.bakerhughes.com,1,Baker Hughes,2015
484,David N. Farr,"Electronics, Electrical Equip.",Industrials,"St. Louis, MO",http://www.emerson.com,21,Emerson Electric,2015
485,Michel Landel,Food Services,"Hotels, Resturants & Leisure","Issy-les-Moulineaux, France",http://www.sodexo.com,16,Sodexo,2015
486,Steven J. Holliday,Utilities,Energy,"London, Britain",http://www.nationalgrid.com,10,National Grid,2015
487,Joseph M. Tucci,Computer Peripherals,Technology,"Hopkinton, MA",http://www.emc.com,1,EMC,2015
488,Stefan Sommer,Motor Vehicles and Parts,Motor Vehicles & Parts,"Friedrichshafen, Germany",http://www.zf.com,2,ZF Friedrichshafen,2015
489,Hans-Jörg Vetter,Banks: Commercial and Savings,Financials,"Stuttgart, Germany",http://www.lbbw.de,16,Landesbank Baden-Württemberg,2015
490,Gerald W. Schwartz,Semiconductors and Other Electronic Components,Technology,"Toronto, Ontario, Canada",http://www.onex.com,16,Onex,2015
491,Magnus Hall,Utilities,Energy,"Solna, Sweden",http://www.vattenfall.com,13,Vattenfall,2015
492,Stuart Parker,Insurance: Property and Casualty (Stock),Financials,"San Antonio, TX",http://www.usaa.com,2,United Services Auto. Assn.,2015
493,Lance M. Fritz,Railroads,Transportation,"Omaha, NE",http://www.up.com,12,Union Pacific,2015
494,Wesley G. Bush,Aerospace and Defense,Aerospace & Defense,"Falls Church, VA",http://www.northropgrumman.com,16,Northrop Grumman,2015
495,Klaus Kleinfeld,Metals,Materials,"New York, NY",http://www.alcoa.com,20,Alcoa,2015
496,Richard D. Fairbank,Commercial Banks,Financials,"McLean, VA",http://www.capitalone.com,5,Capital One Financial,2015
497,Jorge Andueza Fouque,Energy,Energy,"Santiago, Chile",http://www.antarchile.cl,2,AntarChile,2015
498,Warren East,Aerospace and Defense,Aerospace & Defense,"London, Britain",http://www.rolls-royce.com,2,Rolls-Royce Holdings,2015
499,Keizo Morikawa,Petroleum Refining,Energy,"Tokyo, Japan",http://www.cosmo-oil.co.jp,20,Cosmo Oil,2015
500,Deng Qilin,Metals,Materials,"Wuhan, China",http://www.wisco.com.cn,6,Wuhan Iron & Steel,2015
