id,CEO,Industry,Sector,HQ Location,Website,Years on Global 500 List,company,year
290,Tsuyoshi Nagano,Insurance: Property and Casualty (Stock),Financials,"Tokyo, Japan",http://www.tokiomarinehd.com,21,Tokio Marine Holdings,2015
291,Masaki Sakuyama,"Electronics, Electrical Equip.",Industrials,"Tokyo, Japan",http://www.mitsubishielectric.com,21,Mitsubishi Electric,2015
292,Herbert K. Haas,Insurance: Property and Casualty (Stock),Financials,"Hanover, Germany",http://www.talanx.com,2,Talanx,2015
293,Koji Arima,Motor Vehicles and Parts,Motor Vehicles & Parts,"Kariya, Japan",http://www.globaldenso.com,21,Denso,2015
294,Oscar Munoz,Airlines,Transportation,"Chicago, IL",http://www.unitedcontinentalholdings.com,20,United Continental Holdings,2015
295,Wolfgang Kirsch,Banks: Commercial and Savings,Financials,"Frankfurt, Germany",http://www.dzbank.com,21,DZ Bank,2015
296,Ji Xiaohui,Banks: Commercial and Savings,Financials,"Shanghai, China",http://www.spdb.com.cn,3,Shanghai Pudong Devel. Bank,2015
297,Theodore A. Mathas,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",http://www.newyorklife.com,21,New York Life Insurance,2015
298,Paul Desmarais,"Insurance: Life, Health (stock)",Financials,"Montreal, Quebec, Canada",http://www.powercorporation.com,17,Power Corp. of Canada,2015
299,David McKay,Banks: Commercial and Savings,Financials,"Toronto, Ontario, Canada",http://www.rbc.com,21,Royal Bank of Canada,2015
300,Safra A. Catz,Computer Software,Technology,"Redwood City, CA",http://www.oracle.com,9,Oracle,2015
301,Michael Coupe,Food and Drug Stores,Food & Drug Stores,"London, Britain",http://www.j-sainsbury.co.uk,21,Sainsbury’s,2015
302,Jin-Soo Huh,Petroleum Refining,Energy,"Seoul, South Korea",http://www.gscaltex.com,4,GS Caltex,2015
303,Ross McEwan,Banks: Commercial and Savings,Financials,"Edinburgh, Britain",http://www.rbs.com,17,Royal Bank of Scotland Group,2015
304,Lv Chunfeng,Metals,Materials,"Tianjin, China",http://www.bohaisteel.com,2,Bohai Steel Group,2015
305,Brian P. Hannasch,Specialty Retailers,Retailing,"Laval, Quebec, Canada",http://www.couche-tard.com,2,Alimentation Couche-Tard,2015
