,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
209,"$51,728.00 ","$6,554.10 ","$1,840,238.10 ","$81,814.70 ",12.70%,0.40%,8%,Sumitomo Mitsui Financial Group,2019
210,"$51,394.40 ","$1,673.60 ","$23,140.60 ","$7,563.40 ",3.30%,7.20%,22.10%,Alimentation Couche-Tard,2019
211,"$51,245.60 ",$573 ,"$43,756.60 ","$9,385.60 ",1.10%,1.30%,6.10%,Shandong Energy Group,2019
212,"$51,037.90 ",$596.30 ,"$29,988.50 ","$3,396.50 ",1.20%,2%,17.60%,Lenovo Group,2019
213,"$50,991.40 ","$9,164.50 ","$977,563.40 ","$67,866.80 ",18%,0.90%,13.50%,Industrial Bank,2019
214,"$50,920.60 ",($77.80),"$63,725.20 ","$10,247.70 ",-0.20%,-0.10%,-0.80%,HBIS Group,2019
215,"$50,856.10 ",$9.50 ,"$39,334.30 ","$3,257.70 ",-,-,0.30%,ThyssenKrupp,2019
216,"$50,545.70 ","$8,453.00 ","$916,091.00 ","$68,683.70 ",16.70%,0.90%,12.30%,Shanghai Pudong Development Bank,2019
217,"$50,532.40 ","($9,281.10)","$160,391.20 ","$69,852.10 ",-18.40%,-5.80%,-13.30%,Vodafone Group,2019
218,"$50,193.00 ","$8,748.00 ","$853,531.00 ","$80,246.00 ",17.40%,1%,10.90%,Morgan Stanley,2019
219,"$49,709.70 ",$6.90 ,"$29,454.70 ","$6,618.10 ",-,-,0.10%,JBS,2019
220,"$49,665.40 ","$1,969.30 ","$48,564.80 ","$8,418.20 ",4%,4.10%,23.40%,Zhejiang Geely Holding Group,2019
221,"$49,612.30 ","$4,537.50 ","$336,888.40 ","$32,068.60 ",9.10%,1.30%,14.10%,Banco Bradesco,2019
222,"$49,609.60 ","$1,738.00 ","$209,022.70 ","$14,303.90 ",3.50%,0.80%,12.20%,MS&AD Insurance Group Holdings,2019
223,"$49,529.30 ","$3,571.20 ","$1,456,097.40 ","$75,659.70 ",7.20%,0.20%,4.70%,Groupe BPCE,2019
224,"$49,395.70 ","$2,476.50 ","$203,590.90 ","$16,932.20 ",5%,1.20%,14.60%,Tokio Marine Holdings,2019
225,"$49,330.00 ",$110 ,"$108,784.00 ","$43,204.00 ",0.20%,0.10%,0.30%,Cisco Systems,2019
226,"$49,300.40 ",$495.70 ,"$50,340.00 ","$20,495.10 ",1%,1%,2.40%,Saint-Gobain,2019
227,"$49,238.40 ","$1,050.70 ","$46,416.20 ","$24,418.30 ",2.10%,2.30%,4.30%,Kia Motors,2019
228,"$48,836.50 ","$2,306.00 ","$110,404.70 ","$35,054.70 ",4.70%,2.10%,6.60%,Orange,2019
229,"$48,650.00 ","$2,637.00 ","$153,226.00 ","$41,028.00 ",5.40%,1.70%,6.40%,Cigna,2019
230,"$48,368.00 ","$2,295.60 ","$52,339.50 ","$32,490.20 ",4.70%,4.40%,7.10%,Denso,2019
231,"$48,155.70 ","$2,890.90 ","$71,532.70 ","$25,042.80 ",6%,4%,11.50%,Sumitomo,2019
232,"$47,981.30 ","$7,608.40 ","$873,155.30 ","$61,184.40 ",15.90%,0.90%,12.40%,China Minsheng Banking,2019
233,"$47,842.10 ","$1,335.70 ","$17,402.30 ","$7,742.30 ",2.80%,7.70%,17.30%,Woolworths Group,2019
234,"$47,608.00 ","$6,283.20 ","$773,455.50 ","$53,846.70 ",13.20%,0.80%,11.70%,Banco Bilbao Vizcaya Argentaria,2019
235,"$47,389.00 ",($6),"$491,984.00 ","$56,361.00 ",-,-,-,American International Group,2019
236,"$47,286.00 ",$328.80 ,"$561,369.60 ","$33,853.60 ",0.70%,0.10%,1%,State Bank of India,2019
237,"$47,272.70 ","$11,900.60 ","$105,382.00 ","$47,119.70 ",25.20%,11.30%,25.30%,Tencent Holdings,2019
238,"$47,180.00 ","$3,716.00 ","$395,342.00 ","$30,189.00 ",7.90%,0.90%,12.30%,Zurich Insurance Group,2019
239,"$46,969.50 ",$315.10 ,"$1,540,920.60 ","$71,431.80 ",0.70%,-,0.40%,Deutsche Bank,2019
240,"$46,718.10 ","$2,000.40 ","$144,343.80 ","$52,551.70 ",4.30%,1.40%,3.80%,Bayer,2019
241,"$46,677.00 ","$3,787.00 ","$39,207.00 ","($4,950.00)",8.10%,9.70%,-,HCA Healthcare,2019
242,"$46,207.10 ","$1,495.90 ","$158,364.30 ","$10,773.60 ",3.20%,0.90%,13.90%,China Poly Group,2019
243,"$46,114.40 ",$930.20 ,"$73,372.60 ","$20,844.00 ",2%,1.30%,4.50%,China Shipbuilding Industry,2019
244,"$45,925.70 ","$4,468.70 ","$203,620.60 ","$46,044.20 ",9.70%,2.20%,9.70%,China Merchants Group,2019
245,"$45,820.80 ","$5,570.90 ","$66,236.70 ","$37,801.50 ",12.20%,8.40%,14.70%,KDDI,2019
246,"$45,809.00 ","$3,705.00 ","$111,993.00 ","$55,592.00 ",8.10%,3.30%,6.70%,BHP Group,2019
247,"$45,743.00 ",$267 ,"$19,425.00 ","$6,173.00 ",0.60%,1.40%,4.30%,Bunge,2019
248,"$45,461.30 ","$1,612.90 ","$474,944.30 ","$20,323.20 ",3.50%,0.30%,7.90%,CNP Assurances,2019
249,"$45,435.00 ",$362.40 ,"$12,533.70 ","$3,476.40 ",0.80%,2.90%,10.40%,Wuchan Zhongda Group,2019
250,"$45,424.00 ",$487.80 ,"$57,450.70 ","$9,824.70 ",1.10%,0.80%,5%,Sinomach,2019
251,"$45,383.80 ",$112.70 ,"$93,408.30 ","$16,799.80 ",0.20%,0.10%,0.70%,Aluminum Corp. of China,2019
252,"$45,096.40 ","$5,738.30 ","$85,231.20 ","$46,142.30 ",12.70%,6.70%,12.40%,SABIC,2019
253,"$44,957.00 ","$2,863.90 ","$53,558.60 ","$13,921.50 ",6.40%,5.30%,20.60%,Volvo,2019
254,"$44,912.60 ","$5,105.70 ","$222,652.20 ","$22,687.30 ",11.40%,2.30%,22.50%,China Vanke,2019
255,"$44,898.40 ","$13,268.50 ","$450,270.00 ","$55,595.50 ",29.60%,2.90%,23.90%,Sberbank,2019
256,"$44,609.30 ","$9,635.80 ","$1,016,475.50 ","$60,818.70 ",21.60%,0.90%,15.80%,Royal Bank of Canada,2019
257,"$44,541.00 ","$1,412.00 ","$60,580.00 ",($169),3.20%,2.30%,-,American Airlines Group,2019
258,"$44,497.70 ","$1,128.00 ","$45,679.90 ","$16,048.80 ",2.50%,2.50%,7%,Wilmar International,2019
259,"$44,453.30 ",$368.70 ,"$19,011.90 ","$4,881.20 ",0.80%,1.90%,7.60%,Pegatron,2019
260,"$44,438.00 ","$3,935.00 ","$60,266.00 ","$13,687.00 ",8.90%,6.50%,28.70%,Delta Air Lines,2019
261,"$44,303.00 ",$425.80 ,"$151,966.10 ","$3,751.40 ",1%,0.30%,11.30%,Hanwha,2019
262,"$43,974.40 ",$616.90 ,"$78,908.50 ","$20,412.20 ",1.40%,0.80%,3%,China United Network Communications,2019
263,"$43,858.10 ",$306.50 ,"$53,958.10 ","$17,505.40 ",0.70%,0.60%,1.80%,Shaanxi Yanchang Petroleum (Group),2019
264,"$43,634.00 ","$1,230.00 ","$146,130.00 ","$36,285.00 ",2.80%,0.80%,3.40%,Charter Communications,2019
265,"$43,599.20 ","($4,122.00)","$44,349.00 ","$8,688.00 ",-9.50%,-9.30%,-47.40%,Tata Motors,2019
266,"$43,582.40 ","$1,064.50 ","$30,897.60 ","$8,170.20 ",2.40%,3.40%,13%,ZF Friedrichshafen,2019
268,"$43,425.30 ",$880 ,"$311,449.30 ","$21,006.50 ",2%,0.30%,4.20%,New York Life Insurance,2019
269,"$43,332.90 ","$3,782.90 ","$360,361.10 ","$26,292.90 ",8.70%,1%,14.40%,Banco do Brasil,2019
270,"$43,281.00 ","$6,921.00 ","$188,602.00 ","$22,290.00 ",16%,3.70%,31%,American Express,2019
271,"$43,270.00 ",$512.60 ,"$214,141.90 ","$14,478.10 ",1.20%,0.20%,3.50%,Nationwide,2019
272,"$43,263.20 ","$1,079.90 ","$39,199.60 ","$5,015.80 ",2.50%,2.80%,21.50%,ACS,2019
273,"$43,008.40 ",$852.60 ,"$35,359.20 ","$10,256.00 ",2%,2.40%,8.30%,Shandong Weiqiao Pioneering Group,2019
274,"$42,960.00 ","$4,516.00 ","$958,489.00 ","$52,928.00 ",10.50%,0.50%,8.50%,UBS Group,2019
275,"$42,935.60 ","$1,115.70 ","$19,768.30 ","$5,596.40 ",2.60%,5.60%,19.90%,Bharat Petroleum,2019
276,"$42,879.00 ","$1,464.00 ","$12,901.00 ","$3,306.00 ",3.40%,11.30%,44.30%,Best Buy,2019
277,"$42,726.30 ",$631.30 ,"$36,868.00 ","$6,224.40 ",1.50%,1.70%,10.10%,Xiamen C&D,2019
278,"$42,685.00 ","$2,160.00 ","$125,989.00 ","$20,735.00 ",5.10%,1.70%,10.40%,Liberty Mutual Insurance Group,2019
279,"$42,607.70 ","$1,554.50 ","$117,702.00 ","$27,288.60 ",3.60%,1.30%,5.70%,China COSCO Shipping,2019
280,"$42,527.00 ","$1,732.00 ","$86,258.00 ","$26,342.00 ",4.10%,2%,6.60%,Jardine Matheson,2019
281,"$42,418.80 ",$90.80 ,"$72,966.00 ","$5,378.10 ",0.20%,0.10%,1.70%,Shaanxi Coal & Chemical Industry,2019
282,"$42,390.50 ",$829.70 ,"$186,170.70 ","$9,959.00 ",2%,0.40%,8.30%,Talanx,2019
283,"$42,370.90 ",$476.20 ,"$8,054.10 ","$2,996.20 ",1.10%,5.90%,15.90%,China National Aviation Fuel Group,2019
284,"$42,302.00 ","$2,552.70 ","$43,677.50 ","$10,816.20 ",6%,5.80%,23.60%,Lufthansa Group,2019
285,"$42,294.00 ","$6,220.00 ","$82,637.00 ","$26,701.00 ",14.70%,7.50%,23.30%,Merck,2019
286,"$42,280.90 ",$8.90 ,"$156,327.20 ","$11,817.20 ",-,-,0.10%,China Huaneng Group,2019
287,"$42,179.20 ","$1,547.20 ","$43,084.20 ","$11,116.80 ",3.70%,3.60%,13.90%,Bouygues,2019
288,"$42,104.90 ","$5,081.80 ","$127,339.30 ","$67,295.30 ",12.10%,4%,7.60%,Sanofi,2019
289,"$41,879.70 ","$1,890.80 ","$696,969.90 ","$19,192.10 ",4.50%,0.30%,9.90%,China Everbright Group,2019
290,"$41,802.00 ","$6,765.00 ","$57,773.00 ","$18,180.00 ",16.20%,11.70%,37.20%,Honeywell International,2019
291,"$41,437.50 ",$62.80 ,"$15,123.30 ","$1,259.90 ",0.20%,0.40%,5%,Xiamen ITG Holding Group,2019
292,"$41,395.40 ","$3,557.10 ","$129,202.30 ","$41,813.50 ",8.60%,2.80%,8.50%,Iberdrola,2019
293,"$41,303.00 ","$2,129.00 ","$44,792.00 ","$9,995.00 ",5.20%,4.80%,21.30%,United Airlines Holdings,2019
294,"$41,256.00 ","$3,169.00 ","$56,636.00 ","$32,621.00 ",7.70%,5.60%,9.70%,Maersk Group,2019
295,"$41,198.70 ","$8,751.50 ","$1,016,604.20 ","$60,198.80 ",21.20%,0.90%,14.50%,Toronto-Dominion Bank,2019
296,"$41,108.50 ","$4,832.30 ","$73,941.20 ","$5,552.00 ",11.80%,6.50%,87%,GlaxoSmithKline,2019
297,"$41,052.10 ","$1,560.50 ","$568,190.20 ","$38,126.30 ",3.80%,0.30%,4.10%,TIAA,2019
298,"$40,993.00 ","$4,059.90 ","$24,449.10 ","$10,364.80 ",9.90%,16.60%,39.20%,Accenture,2019
299,"$40,827.00 ","$2,296.00 ","$25,945.00 ","$10,701.00 ",5.60%,8.80%,21.50%,Magna International,2019
300,"$40,766.10 ","$2,044.20 ","$39,362.20 ","$21,685.60 ",5%,5.20%,9.40%,Mitsubishi Electric,2019
301,"$40,640.80 ",$844.70 ,"$20,932.80 ","$8,614.30 ",2.10%,4%,9.80%,Cedar Holdings Group,2019
302,"$40,571.00 ",$355 ,"$18,440.00 ","$5,026.00 ",0.90%,1.90%,7.10%,Louis Dreyfus,2019
303,"$40,522.00 ","$13,638.00 ","$90,949.00 ","$43,686.00 ",33.70%,15%,31.20%,Rio Tinto Group,2019
304,"$40,454.20 ",$380 ,"$8,322.90 ","$2,132.20 ",0.90%,4.60%,17.80%,Edeka Zentrale,2019
305,"$40,240.50 ","$2,833.30 ","$326,182.50 ","$20,964.00 ",7%,0.90%,13.50%,Caixa Econ??mica Federal,2019
306,"$40,052.00 ","$3,024.00 ","$29,109.00 ","$12,803.00 ",7.60%,10.40%,23.60%,Tyson Foods,2019
307,"$39,831.00 ","$3,825.00 ","$137,264.00 ","$45,726.00 ",9.60%,2.80%,8.40%,Oracle,2019
308,"$39,815.00 ","$2,252.00 ","$112,249.00 ","$21,312.00 ",5.70%,2%,10.60%,Allstate,2019
309,"$39,750.30 ",$127.70 ,"$5,676.90 ","$1,815.40 ",0.30%,2.20%,7%,World Fuel Services,2019
310,"$39,598.20 ","$5,618.80 ","$1,011,101.20 ","$56,063.00 ",14.20%,0.60%,10%,ING Group,2019
311,"$39,594.70 ",$244.10 ,"$26,177.30 ","$4,004.80 ",0.60%,0.90%,6.10%,Centrica,2019
312,"$39,581.60 ","$3,058.50 ","$38,408.50 ","$12,099.60 ",7.70%,8%,25.30%,Midea Group,2019
313,"$39,571.00 ","$2,392.20 ","$64,811.50 ","$17,614.80 ",6%,3.70%,13.60%,Fresenius,2019
314,"$39,267.20 ",$397.90 ,"$265,812.60 ","$15,609.80 ",1%,0.10%,2.50%,Massachusetts Mutual Life Insurance,2019
315,"$39,050.60 ","$4,779.70 ","$900,365.10 ","$61,739.10 ",12.20%,0.50%,7.70%,Intesa Sanpaolo,2019
316,"$39,004.00 ","$4,688.00 ","$28,278.00 ","$10,257.00 ",12%,16.60%,45.70%,LyondellBasell Industries,2019
317,"$38,972.90 ","$3,059.80 ","$14,326.00 ","$5,048.60 ",7.90%,21.40%,60.60%,TJX,2019
318,"$38,887.30 ",($258),"$44,774.80 ","$3,398.00 ",-0.70%,-0.60%,-7.60%,Yankuang Group,2019
319,"$38,727.00 ","$6,257.00 ","$69,980.00 ","$31,939.00 ",16.20%,8.90%,19.60%,ConocoPhillips,2019
320,"$38,278.30 ","$2,862.30 ","$1,443,122.60 ","$79,658.80 ",7.50%,0.20%,3.60%,Barclays,2019
321,"$38,064.00 ",$287.40 ,"$30,669.20 ","$10,370.30 ",0.80%,0.90%,2.80%,J. Sainsbury,2019
322,"$37,869.80 ","$1,846.40 ","$47,048.10 ","$18,100.80 ",4.90%,3.90%,10.20%,China Aerospace Science & Industry,2019
323,"$37,727.60 ","$2,463.70 ","$63,496.80 ","$27,835.00 ",6.50%,3.90%,8.90%,China Aerospace Science & Technology,2019
324,"$37,722.90 ","$2,070.60 ","$380,597.40 ","$12,917.60 ",5.50%,0.50%,16%,Meiji Yasuda Life Insurance,2019
325,"$37,474.80 ",$442.90 ,"$32,084.10 ","$5,887.50 ",1.20%,1.40%,7.50%,George Weston,2019
326,"$37,388.90 ","$5,313.10 ","$48,482.60 ","$10,687.10 ",14.20%,11%,49.70%,SNCF Mobilit??s,2019
327,"$37,371.20 ","$2,141.50 ","$39,161.80 ","$13,833.60 ",5.70%,5.50%,15.50%,Daiwa House Industry,2019
328,"$37,360.00 ","$2,173.00 ","$44,441.00 ","$13,952.00 ",5.80%,4.90%,15.60%,ABB,2019
329,"$37,357.70 ","$2,368.40 ","$70,108.00 ","$11,287.80 ",6.30%,3.40%,21%,Deere,2019
330,"$37,239.00 ",$340.60 ,"$12,986.60 ","$2,936.70 ",0.90%,2.60%,11.60%,Tech Data,2019
331,"$37,112.20 ","$1,033.20 ","$331,211.90 ","$11,070.60 ",2.80%,0.30%,9.30%,Power Corp. of Canada,2019
332,"$37,047.00 ",$462 ,"$207,570.00 ","$27,930.00 ",1.20%,0.20%,1.70%,Swiss Re,2019
333,"$37,032.20 ","$2,014.80 ","$29,052.70 ","$11,785.70 ",5.40%,6.90%,17.10%,Suning.com Group,2019
334,"$36,783.50 ",$914.10 ,"$46,469.00 ","$12,929.20 ",2.50%,2%,7.10%,Mitsubishi Heavy Industries,2019
335,"$36,763.10 ","$14,125.40 ","$57,056.90 ","$41,987.70 ",38.40%,24.80%,33.60%,SK Hynix,2019
336,"$36,696.00 ","$6,860.00 ","$88,190.00 ","$43,985.00 ",18.70%,7.80%,15.60%,Vale,2019
337,"$36,534.20 ","$4,172.40 ","$56,969.80 ","$23,853.50 ",11.40%,7.30%,17.50%,Enterprise Products Partners,2019
338,"$36,503.70 ",$199.30 ,"$16,891.80 ","$2,375.10 ",0.50%,1.20%,8.40%,XMXYG,2019
339,"$36,465.70 ",$993.20 ,"$33,901.50 ","$12,170.40 ",2.70%,2.90%,8.20%,Aisin Seiki,2019
340,"$36,440.90 ","$1,869.20 ","$33,173.70 ","$7,861.50 ",5.10%,5.60%,23.80%,Jiangsu Shagang Group,2019
341,"$36,397.00 ","$1,933.00 ","$22,536.00 ","$9,812.00 ",5.30%,8.60%,19.70%,Nike,2019
342,"$36,395.70 ","$2,381.20 ","$18,982.50 ","$14,958.30 ",6.50%,12.50%,15.90%,Publix Super Markets,2019
343,"$36,193.00 ","$3,345.00 ","$45,408.00 ","$11,732.00 ",9.20%,7.40%,28.50%,General Dynamics,2019
344,"$35,985.00 ","$2,010.00 ","$119,666.00 ","$30,764.00 ",5.60%,1.70%,6.50%,Exelon,2019
345,"$35,796.90 ","$2,289.50 ","$44,662.40 ","$25,775.80 ",6.40%,5.10%,8.90%,Canon,2019
346,"$35,785.00 ","$2,223.70 ","$122,221.00 ","$50,871.40 ",6.20%,1.80%,4.40%,Enbridge,2019
347,"$35,721.30 ",($152.80),"$33,772.30 ","$2,393.50 ",-0.40%,-0.50%,-6.40%,Jizhong Energy Group,2019
348,"$35,703.60 ","$3,803.70 ","$62,092.30 ","$6,581.40 ",10.70%,6.10%,57.80%,E.ON,2019
349,"$35,647.90 ",$943.10 ,"$28,055.00 ","$10,229.10 ",2.60%,3.40%,9.20%,Fujitsu,2019
350,"$35,406.30 ",$870.90 ,"$1,814,332.90 ","$65,989.30 ",2.50%,-,1.30%,Mizuho Financial Group,2019
351,"$35,386.40 ","$1,529.00 ","$50,352.50 ","$12,451.00 ",4.30%,3%,12.30%,Mitsubishi Chemical Holdings,2019
352,"$35,361.20 ","$4,976.30 ","$157,392.80 ","$58,560.60 ",14.10%,3.20%,8.50%,CK Hutchison Holdings,2019
353,"$35,251.90 ","$5,737.90 ","$1,015,661.30 ","$63,574.50 ",16.30%,0.60%,9%,Lloyds Banking Group,2019
354,"$35,091.00 ",$734.60 ,"$26,116.40 ","$6,415.10 ",2.10%,2.80%,11.50%,Idemitsu Kosan,2019
355,"$35,071.10 ","$1,651.10 ","$238,753.30 ","$9,264.00 ",4.70%,0.70%,17.80%,Poste Italiane,2019
356,"$34,937.40 ","$1,474.70 ","$42,551.70 ","$17,731.40 ",4.20%,3.50%,8.30%,JFE Holdings,2019
357,"$34,917.90 ","$1,612.30 ","$30,739.80 ","$13,397.90 ",4.60%,5.20%,12%,Suzuki Motor,2019
358,"$34,870.00 ",$131.40 ,"$18,618.30 ","$3,245.60 ",0.40%,0.70%,4%,Jiangxi Copper,2019
359,"$34,673.00 ",$486.60 ,"$58,038.30 ","$9,743.00 ",1.40%,0.80%,5%,CRRC Group,2019
360,"$34,284.20 ","$2,069.90 ","$780,308.50 ","$44,572.80 ",6%,0.30%,4.60%,Credit Suisse Group,2019
361,"$34,242.20 ",$578.60 ,"$8,522.60 ","$2,326.00 ",1.70%,6.80%,24.90%,Tsingshan Holding Group,2019
362,"$34,229.20 ",$170.70 ,"$157,347.60 ","$10,799.10 ",0.50%,0.10%,1.60%,State Power Investment,2019
363,"$34,218.20 ","$12,043.90 ","$67,999.50 ","$54,022.30 ",35.20%,17.70%,22.30%,Taiwan Semiconductor Manufacturing,2019
364,"$34,176.50 ",$432.60 ,"$57,758.70 ","$5,089.20 ",1.30%,0.70%,8.50%,China Energy Engineering Group,2019
365,"$34,102.60 ",$501.50 ,"$21,455.90 ","$4,388.90 ",1.50%,2.30%,11.40%,Quanta Computer,2019
366,"$34,055.00 ",$334 ,"$26,830.00 ","$1,846.00 ",1%,1.20%,18.10%,Plains GP Holdings,2019
367,"$33,895.80 ",$268.10 ,"$48,455.20 ","$9,046.80 ",0.80%,0.60%,3%,China South Industries Group,2019
368,"$33,394.80 ",$613.60 ,"$51,585.30 ","$3,065.30 ",1.80%,1.20%,20%,Yango Longking Group,2019
369,"$33,391.60 ",$234 ,"$16,925.30 ","$4,771.30 ",0.70%,1.40%,4.90%,Jinchuan Group,2019
370,"$33,323.80 ","$1,755.20 ","$51,672.90 ","$20,585.10 ",5.30%,3.40%,8.50%,China Electronics Technology Group,2019
371,"$33,312.80 ","$9,138.80 ","$38,830.30 ","$13,162.20 ",27.40%,23.50%,69.40%,Toshiba,2019
372,"$33,252.60 ","$4,014.70 ","$647,708.50 ","$21,964.90 ",12.10%,0.60%,18.30%,Prudential,2019
373,"$33,186.30 ","$7,228.00 ","$720,354.40 ","$49,718.90 ",21.80%,1%,14.50%,Commonwealth Bank of Australia,2019
374,"$33,062.90 ","$2,641.70 ","$35,220.60 ","$23,504.50 ",8%,7.50%,11.20%,Bridgestone,2019
375,"$33,055.70 ",$350.30 ,"$40,323.20 ","$6,317.40 ",1.10%,0.90%,5.50%,China Electronics,2019
376,"$33,052.70 ",$639.50 ,"$17,531.20 ","$9,686.30 ",1.90%,3.60%,6.60%,GS Caltex,2019
377,"$32,857.40 ","$1,322.50 ","$108,595.40 ","$9,524.30 ",4%,1.20%,13.90%,Sompo Holdings,2019
378,"$32,825.00 ",$435.30 ,"$341,659.60 ","$7,608.90 ",1.30%,0.10%,5.70%,Sumitomo Life Insurance,2019
379,"$32,815.00 ","$2,138.00 ","$70,507.00 ","$36,162.00 ",6.50%,3%,5.90%,Schlumberger,2019
380,"$32,765.00 ","$5,349.00 ","$36,500.00 ","$9,796.00 ",16.30%,14.70%,54.60%,3M,2019
381,"$32,753.00 ","$5,687.00 ","$59,352.00 ","($8,446.00)",17.40%,9.60%,-,AbbVie,2019
382,"$32,717.00 ","$3,962.00 ","$167,771.00 ","$50,312.00 ",12.10%,2.40%,7.90%,Chubb,2019
383,"$32,683.30 ",$775.90 ,"$16,381.20 ","$8,155.60 ",2.40%,4.70%,9.50%,CHS,2019
384,"$32,667.00 ","$8,045.40 ","$186,351.90 ","$83,336.40 ",24.60%,4.30%,9.70%,British American Tobacco,2019
385,"$32,619.40 ",($254.50),"$49,469.60 ","$9,257.90 ",-0.80%,-0.50%,-2.70%,Ansteel Group,2019
386,"$32,421.40 ",$464.40 ,"$118,796.50 ","$9,328.40 ",1.40%,0.40%,5%,China Huadian,2019
387,"$32,377.00 ","$6,015.00 ","$372,538.00 ","$51,668.00 ",18.60%,1.60%,11.60%,Capital One Financial,2019
388,"$32,369.00 ","$2,597.00 ","$229,806.00 ","$39,006.00 ",8%,1.10%,6.70%,AIA Group,2019
389,"$32,150.80 ",$572.50 ,"$25,942.20 ","$10,160.80 ",1.80%,2.20%,5.60%,Mazda Motor,2019
390,"$32,102.80 ",$295.70 ,"$13,007.40 ","$3,439.70 ",0.90%,2.30%,8.60%,Compal Electronics,2019
391,"$31,979.00 ","$2,615.30 ","$46,575.00 ","$10,821.80 ",8.20%,5.60%,24.20%,Progressive,2019
392,"$31,975.50 ",$972.50 ,"$592,911.80 ","$23,745.80 ",3%,0.20%,4.10%,DZ Bank,2019
393,"$31,949.40 ","$1,716.90 ","$38,604.60 ","$27,454.10 ",5.40%,4.40%,6.30%,Hyundai Mobis,2019
394,"$31,928.90 ","$1,137.60 ","$25,035.70 ","$9,682.40 ",3.60%,4.50%,11.70%,CPC,2019
395,"$31,856.00 ","$6,434.00 ","$83,216.00 ","$16,981.00 ",20.20%,7.70%,37.90%,Coca-Cola,2019
396,"$31,790.70 ","$4,597.20 ","$43,956.90 ","$30,779.20 ",14.50%,10.50%,14.90%,L?€?Or??al,2019
397,"$31,625.00 ","$2,970.50 ","$40,202.70 ","$18,321.10 ",9.40%,7.40%,16.20%,CRH,2019
398,"$31,589.30 ","$6,642.50 ","$760,409.00 ","$49,674.80 ",21%,0.90%,13.40%,Bank of Nova Scotia,2019
399,"$31,400.00 ","$2,162.00 ","$48,797.00 ","$21,164.00 ",6.90%,4.40%,10.20%,Johnson Controls International,2019
400,"$31,367.80 ","$2,291.90 ","$158,506.80 ","$31,179.40 ",7.30%,1.40%,7.40%,USAA,2019
401,"$31,292.20 ",$482.70 ,"$33,212.20 ","$2,118.00 ",1.50%,1.50%,22.80%,Air France-KLM Group,2019
402,"$31,103.80 ",$84.20 ,"$73,067.10 ","$17,612.40 ",0.30%,0.10%,0.50%,Shougang Group,2019
403,"$30,878.80 ","$1,512.70 ","$16,443.50 ","$3,409.40 ",4.90%,9.20%,44.40%,Compass Group,2019
404,"$30,852.00 ","$1,908.00 ","$55,493.00 ","$21,239.00 ",6.20%,3.40%,9%,Hewlett Packard Enterprise,2019
405,"$30,743.00 ","$2,833.10 ","$60,302.70 ","$13,245.60 ",9.20%,4.70%,21.40%,BT Group,2019
406,"$30,686.70 ","$4,042.30 ","$24,878.10 ","$16,811.40 ",13.20%,16.20%,24%,Inditex,2019
407,"$30,579.50 ",$518.40 ,"$42,968.60 ","$6,841.30 ",1.70%,1.20%,7.60%,Veolia Environnement,2019
408,"$30,578.00 ","$2,368.00 ","$67,173.00 ","$30,524.00 ",7.70%,3.50%,7.80%,Abbott Laboratories,2019
409,"$30,391.00 ","$14,135.00 ","$43,376.00 ","$32,294.00 ",46.50%,32.60%,43.80%,Micron Technology,2019
410,"$30,389.90 ","$1,539.10 ","$17,079.20 ","$9,513.20 ",5.10%,9%,16.20%,PKN ORLEN Group,2019
411,"$30,353.90 ","$2,754.50 ","$48,302.00 ","$23,753.80 ",9.10%,5.70%,11.60%,Schneider Electric,2019
412,"$30,296.00 ",($174.50),"$9,599.50 ","$2,915.80 ",-0.60%,-1.80%,-6%,Phoenix Pharma,2019
413,"$30,282.00 ","$2,523.00 ","$104,233.00 ","$22,894.00 ",8.30%,2.40%,11%,Travelers Cos.,2019
414,"$30,239.40 ","$3,961.30 ","$36,592.70 ","$13,301.90 ",13.10%,10.80%,29.80%,Gree Electric Appliances,2019
415,"$30,235.40 ",$483.70 ,"$20,665.70 ","$9,283.50 ",1.60%,2.30%,5.20%,Coop Group,2019
416,"$30,095.00 ","$3,229.00 ","$37,653.00 ","$8,187.00 ",10.70%,8.60%,39.40%,Northrop Grumman,2019
417,"$30,081.40 ","$2,540.90 ","$65,596.80 ","$32,223.90 ",8.40%,3.90%,7.90%,Suncor Energy,2019
418,"$30,070.60 ","$3,703.70 ","$549,407.60 ","$33,658.50 ",12.30%,0.70%,11%,Manulife Financial,2019
419,"$29,953.00 ","$3,104.00 ","$91,393.00 ","$50,720.00 ",10.40%,3.40%,6.10%,Medtronic,2019
420,"$29,832.50 ","$1,037.90 ","$65,576.60 ","$13,001.20 ",3.50%,1.60%,8%,Kansai Electric Power,2019
421,"$29,676.80 ",$716.20 ,"$17,784.40 ","$5,325.00 ",2.40%,4%,13.40%,Arrow Electronics,2019
422,"$29,625.00 ","$7,911.00 ","$39,801.00 ","($12,459.00)",26.70%,19.90%,-,Philip Morris International,2019
423,"$29,592.30 ","$1,143.80 ","$23,570.70 ","$6,262.40 ",3.90%,4.90%,18.30%,Ko?? Holding,2019
424,"$29,509.50 ",$162.80 ,"$11,032.70 ","$2,243.10 ",0.60%,1.50%,7.30%,Wistron,2019
425,"$29,332.30 ","$4,593.70 ","$950,368.80 ","$63,825.80 ",15.70%,0.50%,7.20%,UniCredit Group,2019
