,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
49,"$120,101.00 ","$15,959.00 ","$3,418,318.00 ","$6,240.00 ",13.30%,0.50%,255.80%,Fannie Mae,2019
50,"$119,145.00 ","$9,863.70 ","$82,734.80 ","$58,677.80 ",8.30%,11.90%,16.80%,Lukoil,2019
51,"$116,171.50 ","($2,566.90)","$580,331.60 ","$10,762.40 ",-2.20%,-0.40%,-23.90%,China Life Insurance,2019
52,"$115,220.50 ","$4,324.00 ","$2,585,802.00 ","$95,812.00 ",3.80%,0.20%,4.50%,Japan Post Holdings,2019
53,"$115,042.80 ","$8,399.30 ","$238,864.10 ","$65,789.90 ",7.30%,3.50%,12.80%,BMW Group,2019
54,"$114,217.00 ","$5,595.00 ","$54,302.00 ","$24,653.00 ",4.90%,10.30%,22.70%,Phillips 66,2019
55,"$112,132.70 ","$1,240.90 ","$137,914.20 ","$12,529.10 ",1.10%,0.90%,9.90%,China Railway Engineering Group,2019
56,"$112,096.00 ","$11,745.30 ","$255,216.60 ","$143,530.50 ",10.50%,4.60%,8.20%,China Mobile Communications,2019
57,"$111,407.00 ","$3,122.00 ","$50,155.00 ","$21,667.00 ",2.80%,6.20%,14.40%,Valero Energy,2019
58,"$110,584.00 ","$28,147.00 ","$2,354,507.00 ","$265,325.00 ",25.50%,1.20%,10.60%,Bank of America Corp.,2019
59,"$110,455.90 ","$1,186.90 ","$134,180.20 ","$11,312.70 ",1.10%,0.90%,10.50%,China Railway Construction,2019
60,"$110,360.00 ","$16,571.00 ","$258,848.00 ","$82,718.00 ",15%,6.40%,20%,Microsoft,2019
61,"$109,030.40 ","$8,953.90 ","$96,973.70 ","$33,887.00 ",8.20%,9.20%,26.40%,Huawei Investment & Holding,2019
62,"$108,203.00 ","$11,121.00 ","$44,003.00 ","($1,878.00)",10.30%,25.30%,-,Home Depot,2019
63,"$108,130.40 ","$7,331.10 ","$177,193.60 ","$77,493.20 ",6.80%,4.10%,9.50%,China National Offshore Oil,2019
64,"$107,146.90 ","$7,707.50 ","$201,456.10 ","$83,716.60 ",7.20%,3.80%,9.20%,Nippon Telegraph & Telephone,2019
65,"$104,627.30 ","$4,514.30 ","$91,250.60 ","$26,537.50 ",4.30%,4.90%,17%,Itochu,2019
66,"$104,390.60 ","$2,878.40 ","$171,251.00 ","$56,411.10 ",2.80%,1.70%,5.10%,Nissan Motor,2019
67,"$103,072.90 ","$16,744.30 ","$2,356,616.20 ","$186,139.90 ",16.20%,0.70%,9%,China Development Bank,2019
68,"$101,127.00 ","$10,460.00 ","$117,359.00 ",$339 ,10.30%,8.90%,3085.50%,Boeing,2019
69,"$101,060.00 ","$22,393.00 ","$1,895,883.00 ","$196,166.00 ",22.20%,1.20%,11.40%,Wells Fargo,2019
70,"$98,802.00 ","$6,908.90 ","$161,335.90 ","$52,813.50 ",7%,4.30%,13.10%,Siemens,2019
71,"$97,120.00 ","$18,045.00 ","$1,917,383.00 ","$196,220.00 ",18.60%,0.90%,9.20%,Citigroup,2019
72,"$97,102.00 ","$2,780.00 ","$92,940.00 ","$35,175.00 ",2.90%,3%,7.90%,Marathon Petroleum,2019
73,"$95,904.50 ","$2,048.00 ","$107,069.10 ","$14,903.20 ",2.10%,1.90%,13.70%,SK Holdings,2019
74,"$95,584.00 ","$7,173.00 ","$222,068.00 ","$71,544.00 ",7.50%,3.20%,10%,Petrobras,2019
75,"$94,507.00 ","$11,731.00 ","$251,684.00 ","$71,613.00 ",12.40%,4.70%,16.40%,Comcast,2019
76,"$93,512.50 ","$10,364.80 ","$139,045.10 ","$58,212.90 ",11.10%,7.50%,17.80%,Nestl??,2019
77,"$92,601.90 ","$3,596.00 ","$95,616.50 ","$42,517.30 ",3.90%,3.80%,8.50%,Bosch Group,2019
78,"$92,260.80 ",($533.40),"$57,841.50 ","$12,513.60 ",-0.60%,-0.90%,-4.30%,Uniper,2019
79,"$92,105.00 ","$3,750.00 ","$71,571.00 ","$28,541.00 ",4.10%,5.20%,13.10%,Anthem,2019
80,"$91,986.00 ","$3,474.60 ","$209,651.50 ","$28,198.80 ",3.80%,1.70%,12.30%,China Resources,2019
81,"$91,955.20 ",($662.10),"$54,153.10 ","$10,480.20 ",-0.70%,-1.20%,-6.30%,Carrefour,2019
82,"$90,934.20 ","$1,599.70 ","$66,397.10 ","$13,446.30 ",1.80%,2.40%,11.90%,Dongfeng Motor,2019
83,"$90,799.80 ","$4,869.40 ","$135,300.30 ","$58,311.30 ",5.40%,3.60%,8.40%,ENI,2019
84,"$90,621.00 ","($2,310.00)","$111,820.00 ","($5,765.00)",-2.50%,-2.10%,-,Dell Technologies,2019
85,"$90,531.90 ","$9,217.10 ","$1,667,946.80 ","$110,267.50 ",10.20%,0.60%,8.40%,Banco Santander,2019
86,"$90,055.00 ","$8,745.80 ","$189,980.10 ","$58,496.50 ",9.70%,4.60%,15%,Rosneft Oil,2019
87,"$89,804.70 ","$2,660.30 ","$66,682.90 ","$26,822.70 ",3%,4%,9.90%,China FAW Group,2019
88,"$89,358.10 ",$701.40 ,"$71,332.70 ","$7,449.80 ",0.80%,1%,9.40%,Sinochem Group,2019
89,"$89,305.70 ","$5,651.80 ","$189,079.60 ","$36,256.00 ",6.30%,3%,15.60%,Enel,2019
90,"$89,286.80 ","$2,556.20 ","$166,163.60 ","$35,326.70 ",2.90%,1.50%,7.20%,Deutsche Telekom,2019
91,"$88,325.00 ","$5,192.70 ","$1,856,682.30 ","$67,221.00 ",5.90%,0.30%,7.70%,Cr??dit Agricole,2019
92,"$88,157.40 ","$2,725.00 ","$589,590.30 ","$26,975.90 ",3.10%,0.50%,10.10%,Assicurazioni Generali,2019
93,"$88,140.90 ","$1,585.20 ","$198,943.70 ","$17,186.30 ",1.80%,0.80%,9.20%,China Communications Construction,2019
94,"$87,999.20 ","$1,370.80 ","$161,921.40 ","$60,925.00 ",1.60%,0.80%,2.30%,Hyundai Motor,2019
95,"$87,403.30 ","($9,377.90)","$105,384.40 ","($74,136.90)",-10.70%,-8.90%,-,Pemex,2019
96,"$87,364.30 ","$3,336.30 ","$70,811.10 ","$19,528.20 ",3.80%,4.70%,17.10%,Peugeot,2019
