Country,Country Name,Performance Oriented,Autocratic,Modesty,Charismatic 3: Self-sacrifice,Team 1: Collaborative Team Orientation,Decisive,Diplomatic,Face-saver,Charismatic 1: Visionary,Humane-oriented,Integrity,"Bureaucratic, Originally Labeled ¡°Procedural¡±",Administratively Competent,Self-centred,Autonomous,Status Conscious,Charismatic 2: Inspirational,Malevolent,Team 2: Team Integrator,"Internally Competitive, Originally Labeled ¡°Conflict Inducer¡±",Participative,Charismatic/Value-based Global Leadership Dimension,Team-Oriented Global Leadership Dimension,Self-Protective Global Leadership Dimension,Participative Global Leadership Dimension,Humane-Oriented Global Leadership Dimension,Autonomous Global Leadership Dimension,Country Cluster
17,Israel,6.34,2.88,4.89,5.52,5.67,6.24,5.52,2.34,6.45,4.44,6.47,3.87,5.73,2.33,4.26,5.13,6.40,1.62,6.19,4.59,4.80,6.23,5.91,3.64,4.96,4.68,4.26,Latin Europe
18,Hungary,6.15,2.56,4.85,4.83,5.37,6.05,5.44,2.45,6.27,4.61,6.22,3.43,6.13,2.08,3.23,4.59,5.93,1.58,6.20,3.74,5.01,5.91,5.91,3.24,5.22,4.73,3.23,Eastern Europe
19,Russia,5.92,3.86,4.25,4.28,5.19,5.95,5.35,3.40,6.07,3.91,5.72,3.21,6.01,2.48,4.63,5.06,5.93,2.02,5.68,4.43,5.18,5.66,5.63,3.69,4.67,4.08,4.63,Eastern Europe
20,Zambia,6.10,2.54,5.43,4.91,5.68,6.02,5.24,2.97,6.10,5.08,6.10,4.43,6.27,2.14,3.43,4.83,6.25,1.85,6.02,4.03,5.13,5.92,5.86,3.66,5.29,5.27,3.43,Sub-Sahara Africa 
21,Indonesia,6.36,3.27,5.58,5.54,5.93,6.19,5.70,3.71,6.23,5.24,6.34,4.87,5.95,2.13,4.19,5.32,6.29,1.77,5.83,4.71,4.47,6.15,5.92,4.12,4.60,5.43,4.19,Southern Asia
22,Kazakhstan,5.97,2.94,4.14,4.50,4.90,5.76,5.92,2.89,5.88,4.46,5.65,3.64,5.85,2.29,4.58,3.55,5.46,1.85,5.83,4.23,5.13,5.54,5.73,3.35,5.10,4.26,4.58,Eastern Europe
23,Zimbabwe,6.16,2.35,5.39,5.31,5.59,6.29,5.59,2.34,6.27,4.92,6.14,3.73,6.08,1.87,3.37,4.34,6.46,1.61,6.21,3.79,5.50,6.11,5.97,3.20,5.57,5.18,3.37,Sub-Sahara Africa 
24,Qatar,4.51,3.12,4.34,4.52,4.42,3.62,4.49,3.57,4.62,5.47,4.83,4.13,4.74,2.65,3.38,4.24,5.04,2.03,4.10,4.81,4.62,4.51,4.74,3.91,4.75,4.66,3.38,Middle East
26,South Korea,5.18,3.77,5.10,5.30,5.28,5.63,5.28,3.29,5.76,4.60,5.62,3.94,5.62,2.25,4.21,4.43,5.74,2.16,5.64,4.45,5.58,5.53,5.52,3.67,4.92,4.87,4.21,Confucian Asia
27,Morocco,5.10,2.75,4.31,4.10,4.75,4.70,5.13,2.76,4.84,3.88,5.03,3.75,5.16,2.17,3.34,3.74,5.09,2.30,4.99,3.74,5.39,4.81,5.15,3.26,5.32,4.10,3.34,Middle East
28,Portugal,6.18,2.30,4.78,4.33,5.72,5.31,5.77,2.30,6.11,4.45,6.21,3.19,5.55,1.97,3.19,4.33,6.27,1.67,6.18,3.81,5.26,5.75,5.92,3.10,5.48,4.62,3.19,Latin Europe
29,China,5.64,2.66,5.03,4.70,5.71,5.29,5.05,3.97,5.85,5.40,5.98,3.94,5.88,2.22,4.07,4.47,5.92,2.04,5.36,4.40,4.76,5.56,5.57,3.80,5.04,5.19,4.07,Confucian Asia
31,Japan,5.73,3.18,4.93,4.57,5.14,5.70,5.28,3.39,5.63,4.39,5.55,3.90,5.89,2.28,3.67,4.00,5.74,2.12,5.67,4.34,5.31,5.49,5.56,3.60,5.07,4.68,3.67,Confucian Asia
32,Colombia,6.39,2.44,5.43,5.21,5.90,5.52,5.63,2.50,6.36,4.56,6.43,3.78,6.11,1.91,3.34,4.51,6.34,1.59,6.30,4.19,5.46,6.04,6.07,3.37,5.51,5.05,3.34,Latin America
34,Albania,5.74,3.39,5.41,5.12,5.66,6.20,5.88,4.63,5.97,5.03,5.94,4.65,6.16,3.16,3.98,5.74,5.84,1.70,5.73,4.93,4.39,5.79,5.94,4.62,4.50,5.24,3.98,Eastern Europe
35,Turkey,5.91,3.22,4.82,5.03,5.70,6.29,5.74,2.99,6.25,5.02,6.16,4.02,6.13,1.93,3.83,4.91,6.08,1.76,6.28,4.17,5.38,5.95,6.01,3.57,5.09,4.90,3.83,Middle East
37,Finland,6.04,2.11,4.52,4.22,5.54,5.97,5.41,2.05,6.29,4.06,6.52,2.87,5.32,1.55,4.08,3.15,6.42,1.47,6.35,3.10,5.92,5.94,5.85,2.55,5.91,4.30,4.08,Nordic Europe
38,Poland,5.87,3.21,5.00,4.61,5.55,6.00,6.01,3.10,6.03,4.03,5.58,3.89,6.11,2.10,4.34,4.54,5.87,1.77,6.03,4.05,5.28,5.67,5.98,3.52,5.04,4.56,4.34,Eastern Europe
41,Egypt,5.79,3.25,5.22,5.11,5.20,5.60,5.65,3.28,5.52,5.06,6.05,4.37,5.81,3.41,4.49,5.25,5.50,2.35,5.50,4.63,4.63,5.57,5.55,4.21,4.69,5.15,4.49,Middle East
42,Spain,6.25,2.60,4.76,4.80,5.72,5.95,5.73,2.48,5.91,4.57,6.11,4.11,5.66,1.84,3.54,4.23,6.34,1.77,6.26,4.24,4.83,5.90,5.93,3.38,5.11,4.66,3.54,Latin Europe
43,South Africa (Black Sample),5.47,2.89,4.54,4.33,5.12,4.83,4.91,3.18,5.39,5.15,5.36,4.16,5.59,2.76,3.94,3.97,5.56,2.67,5.32,3.85,4.98,5.16,5.23,3.62,5.04,4.79,3.94,Anglo
46,Guatemala,6.09,2.35,5.27,5.71,5.87,5.77,5.23,3.05,6.06,4.68,6.24,4.38,6.12,1.87,3.38,5.17,6.25,1.59,6.09,4.55,5.25,6.00,5.94,3.77,5.45,5.00,3.38,Latin America
