"company_info_id";"rank";"company";"employees";"sector";"industry";"change in rank 500";"HQ Location";"Website";"Years on Global 500 List";"revenues_$m";"profit_$m";"assets_$m";"total_stockholder_equity_$m";"profit_as_%_of_revenues";"profits_as_%_of_assets";"profits_as_%_of_stockholder_equity";"ceo";"Born";"BoY";"education";"country";"g_leadership_id";"Country Name";"Performance Oriented";"Autocratic";"Modesty";"Charismatic 3: Self-sacrifice";"Team 1: Collaborative Team Orientation";"Decisive";"Diplomatic";"Face-saver";"Charismatic 1: Visionary";"Humane-oriented";"Integrity";"Bureaucratic, Originally Labeled ??Procedural??";"Administratively Competent";"Self-centred";"Autonomous";"Status Conscious";"Charismatic 2: Inspirational";"Malevolent";"Team 2: Team Integrator";"Internally Competitive, Originally Labeled ??Conflict Inducer??";"Participative";"Charismatic/Value-based Global Leadership Dimension";"Team-Oriented Global Leadership Dimension";"Self-Protective Global Leadership Dimension";"Participative Global Leadership Dimension";"Humane-Oriented Global Leadership Dimension";"Autonomous Global Leadership Dimension";"Country Cluster";"g_societal_culture_id";"Country Name";"Uncertainty Avoidance Societal Practices";"Future Orientation Societal Practices";"Power Distance Societal Practices";"Collectivism I Societal Practices (Institutional Collectivism)";"Humane Orientation Societal Practices";"Performance Orientation Societal Practices";"Collectivism II Societal Practices (In-group Collectivism)";"Gender Egalitarianism Societal Practices";"Assertiveness Societal Practices";"Uncertainty Avoidance Societal Values";"Future Orientation Societal Values";"Power Distance Societal Values";"Collectivism I Societal Values (Institutional Collectivism)";"Human Orientation Societal Values";"Performance Orientation Societal Values";"Collectivism II Societal Values (In-group Collectivism)";"Gender Egalitarianism Societal Values";"Assertiveness Societal Values";"Country Cluster";"hofstede_id";"ctr";"country";"pdi";"idv";"mas";"uai";"ltowvs";"ivr"
"11";"11";"Apple";"132,000";"Technology";"Computers, Office Equipment";"-";"Cupertino, Calif.";"https://www.apple.com";"17";"$265,595.00";"$59,531.00";"$365,725.00";"$107,147.00";"22.4%";"16.3%";"55.6%";"Tim Cook";"November 1, 1960 (age 59 years), Mobile, AL";"1960";"The Fuqua School of Business (1988), MORE";"American";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"12";"12";"Berkshire Hathaway";"389,000";"Financials";"Insurance: Property and Casualty (Stock)";"-2";"Omaha";"https://www.berkshirehathaway.com";"23";"$247,837.00";"$4,021.00";"$707,794.00";"$348,703.00";"1.6%";"0.6%";"1.2%";"Warren Buffett";"August 30, 1930 (age 89 years), Omaha, NE";"1930";"Columbia Business School (1950–1951), MORE";"American";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"13";"13";"Amazon.com";"647,500";"Retailing";"Internet Services and Retailing";"5";"Seattle";"https://www.amazon.com";"11";"$232,887.00";"$10,073.00";"$162,648.00";"$43,549.00";"4.3%";"6.2%";"23.1%";"Jeff Bezos";"January 12, 1964 (age 56 years), Albuquerque, NM";"1964";"Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School";"American";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"14";"14";"UnitedHealth Group";"300,000";"Health Care";"Health Care: Insurance and Managed Care";"1";"Minnetonka, Minn.";"https://www.unitedhealthgroup.com";"23";"$226,247.00";"$11,986.00";"$152,221.00";"$51,696.00";"5.3%";"7.9%";"23.2%";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"15";"15";"Samsung Electronics";"309,630";"Technology";"Electronics, Electrical Equip.";"-3";"Suwon, South Korea";"https://www.samsung.com";"25";"$221,579.40";"$39,895.20";"$304,165.30";"$215,173.40";"18%";"13.1%";"18.5%";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"16";"16";"Glencore";"85,504";"Energy";"Mining, Crude-Oil Production";"-2";"Baar, Switzerland";"https://www.glencore.com";"9";"$219,754.00";"$3,408.00";"$128,672.00";"$45,738.00";"1.6%";"2.6%";"7.5%";"Ivan Glasenberg";"January 1957 (age 63 years), Johannesburg, South Africa";"1957";"Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California";"Africa";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"17";"17";"McKesson";"70,000";"Health Care";"Wholesalers: Health Care";"-4";"Irving, Texas";"https://www.mckesson.com";"25";"$214,319.00";"$34";"$59,672.00";"$8,094.00";"-";"0.1%";"0.4%";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"18";"18";"Daimler";"298,683";"Motor Vehicles & Parts";"Motor Vehicles and Parts";"-2";"Stuttgart, Germany";"https://www.daimler.com";"25";"$197,515.30";"$8,555.00";"$321,890.50";"$73,914.40";"4.3%";"2.7%";"11.6%";"Ola Källenius";"June 11, 1969 (age 50 years), Västervik, Sweden";"1969";"University of St. Gallen, Stockholm School of Economics, Danderyds gymnasium";"Swedish";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"19";"19";"CVS Health";"295,000";"Health Care";"Health Care: Pharmacy and Other Services";"-2";"Woonsocket, R.I.";"https://www.cvshealth.com";"24";"$194,579.00";"$-594";"$196,456.00";"$58,225.00";"-0.3%";"-0.3%";"-1%";"Larry J. Merlo";"1956 (age 64 years), Pittsburgh, PA";"1956";"University of Pittsburgh School of Pharmacy (1978)";"American";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"20";"20";"Total";"104,460";"Energy";"Petroleum Refining";"8";"Courbevoie, France";"https://www.total.com";"25";"$184,106.00";"$11,446.00";"$256,762.00";"$115,640.00";"6.2%";"4.5%";"9.9%";"Patrick Pouyanné";"June 24, 1963 (age 56 years), Le Petit-Quevilly, France";"1963";"École Polytechnique";"France";"57";"Germany (EAST)";"6.33";"2.06";"4.81";"5.08";"5.08";"5.81";"5.10";"2.46";"5.86";"4.36";"6.11";"3.40";"5.74";"2.20";"4.35";"4.45";"6.10";"1.71";"5.37";"4.14";"5.47";"5.87";"5.51";"3.32";"5.70";"4.60";"4.35";"Germanic Europe";"57";"Germany (EAST)";"5.16";"3.95";"5.54";"3.56";"3.40";"4.09";"4.52";"3.06";"4.73";"3.94";"5.23";"2.69";"4.68";"5.44";"6.09";"5.22";"4.90";"3.23";"Germanic Europe";"38";"FRA";"France";"68";"71";"43";"86";"63";"48"
